,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021년12월_계_총인구수,"313,819","18,204","24,176","16,386","20,901","8,867","27,174","49,028","20,360","31,814","26,351","29,794","16,673","14,310","9,781"
2021년12월_계_연령구간인구수,"313,819","18,204","24,176","16,386","20,901","8,867","27,174","49,028","20,360","31,814","26,351","29,794","16,673","14,310","9,781"
2021년12월_계_0~9세,"22,540",772,"1,872","1,235","1,699",446,"1,549","3,410","1,118","1,995","2,057","3,217","1,491","1,065",614
2021년12월_계_10~19세,"29,145","1,062","3,054","1,204","2,281",580,"1,984","4,246","1,580","3,312","3,042","3,282","1,797","1,207",514
2021년12월_계_20~29세,"43,368","2,356","3,061","2,024","2,741","1,357","4,072","7,773","2,977","5,641","3,474","3,137","2,076","1,751",928
2021년12월_계_30~39세,"40,846","2,205","2,674","2,046","2,599","1,271","3,854","7,689","2,253","3,497","3,118","4,262","2,251","1,859","1,268"
2021년12월_계_40~49세,"49,604","2,339","4,238","2,475","3,548","1,381","4,050","8,254","2,757","4,906","4,122","5,433","2,543","2,264","1,294"
2021년12월_계_50~59세,"60,666","3,460","4,679","3,252","3,753","1,683","5,206","9,361","4,591","6,726","5,428","4,818","3,212","2,701","1,796"
2021년12월_계_60~69세,"43,790","3,627","2,872","2,610","2,705","1,323","4,197","5,850","3,224","3,775","3,519","3,592","2,282","2,298","1,916"
2021년12월_계_70~79세,"17,133","1,746","1,284","1,096","1,157",599,"1,527","1,825","1,276","1,343","1,141","1,511",763,837,"1,028"
2021년12월_계_80~89세,"5,993",574,393,387,361,207,664,539,519,553,403,494,224,298,377
2021년12월_계_90~99세,721,57,49,57,57,20,69,81,64,66,47,47,32,30,45
2021년12월_계_100세 이상,13,6,0,0,0,0,2,0,1,0,0,1,2,0,1
2021년12월_남_총인구수,"160,055","9,169","12,357","8,339","10,558","4,747","13,706","25,492","10,400","16,327","13,230","14,877","8,339","7,379","5,135"
2021년12월_남_연령구간인구수,"160,055","9,169","12,357","8,339","10,558","4,747","13,706","25,492","10,400","16,327","13,230","14,877","8,339","7,379","5,135"
2021년12월_남_0~9세,"11,593",400,989,625,876,220,792,"1,736",621,"1,034","1,077","1,632",739,545,307
2021년12월_남_10~19세,"15,408",542,"1,644",642,"1,189",309,"1,058","2,247",831,"1,718","1,663","1,699",939,644,283
2021년12월_남_20~29세,"24,203","1,321","1,736","1,114","1,492",790,"2,214","4,291","1,676","3,297","1,988","1,687","1,121",952,524
2021년12월_남_30~39세,"21,901","1,235","1,392","1,080","1,402",737,"2,118","4,248","1,238","1,886","1,589","2,096","1,147","1,009",724
2021년12월_남_40~49세,"24,419","1,271","1,970","1,291","1,701",747,"2,037","4,086","1,408","2,291","1,824","2,670","1,191","1,181",751
2021년12월_남_50~59세,"30,324","1,669","2,407","1,639","1,881",877,"2,524","4,730","2,246","3,338","2,598","2,447","1,591","1,376","1,001"
2021년12월_남_60~69세,"21,792","1,726","1,447","1,285","1,309",689,"2,028","2,999","1,632","1,929","1,776","1,733","1,144","1,149",946
2021년12월_남_70~79세,"8,144",783,609,504,558,297,701,953,561,627,568,722,382,427,452
2021년12월_남_80~89세,"2,141",213,156,149,139,79,219,185,176,195,140,178,80,91,141
2021년12월_남_90~99세,130,9,7,10,11,2,15,17,11,12,7,13,5,5,6
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"153,764","9,035","11,819","8,047","10,343","4,120","13,468","23,536","9,960","15,487","13,121","14,917","8,334","6,931","4,646"
2021년12월_여_연령구간인구수,"153,764","9,035","11,819","8,047","10,343","4,120","13,468","23,536","9,960","15,487","13,121","14,917","8,334","6,931","4,646"
2021년12월_여_0~9세,"10,947",372,883,610,823,226,757,"1,674",497,961,980,"1,585",752,520,307
2021년12월_여_10~19세,"13,737",520,"1,410",562,"1,092",271,926,"1,999",749,"1,594","1,379","1,583",858,563,231
2021년12월_여_20~29세,"19,165","1,035","1,325",910,"1,249",567,"1,858","3,482","1,301","2,344","1,486","1,450",955,799,404
2021년12월_여_30~39세,"18,945",970,"1,282",966,"1,197",534,"1,736","3,441","1,015","1,611","1,529","2,166","1,104",850,544
2021년12월_여_40~49세,"25,185","1,068","2,268","1,184","1,847",634,"2,013","4,168","1,349","2,615","2,298","2,763","1,352","1,083",543
2021년12월_여_50~59세,"30,342","1,791","2,272","1,613","1,872",806,"2,682","4,631","2,345","3,388","2,830","2,371","1,621","1,325",795
2021년12월_여_60~69세,"21,998","1,901","1,425","1,325","1,396",634,"2,169","2,851","1,592","1,846","1,743","1,859","1,138","1,149",970
2021년12월_여_70~79세,"8,989",963,675,592,599,302,826,872,715,716,573,789,381,410,576
2021년12월_여_80~89세,"3,852",361,237,238,222,128,445,354,343,358,263,316,144,207,236
2021년12월_여_90~99세,591,48,42,47,46,18,54,64,53,54,40,34,27,25,39
2021년12월_여_100세 이상,13,6,0,0,0,0,2,0,1,0,0,1,2,0,1
