카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020년03월_계_총인구수,"256,772","49,090","4,544","14,140","51,299","38,747","29,906","24,323","23,486","8,048","3,752","9,437"
2020년03월_계_연령구간인구수,"256,772","49,090","4,544","14,140","51,299","38,747","29,906","24,323","23,486","8,048","3,752","9,437"
2020년03월_계_0~9세,"30,013","3,546",250,933,"6,319","6,471","5,555","2,581","2,592",433,125,"1,208"
2020년03월_계_10~19세,"23,545","4,800",182,"1,577","5,804","3,396","3,245","1,685","1,698",515,125,518
2020년03월_계_20~29세,"29,204","6,612",476,"1,957","5,918","4,012","2,491","2,611","3,191",702,314,920
2020년03월_계_30~39세,"42,541","5,479",560,"1,476","7,778","9,020","6,730","3,947","4,616",692,283,"1,960"
2020년03월_계_40~49세,"42,589","7,480",560,"2,742","9,500","6,760","5,706","3,412","3,670",995,344,"1,420"
2020년03월_계_50~59세,"40,645","9,939",925,"3,024","7,934","4,922","2,883","4,292","3,256","1,392",864,"1,214"
2020년03월_계_60~69세,"28,009","6,651",835,"1,423","4,893","2,756","2,089","3,433","2,460","1,611",820,"1,038"
2020년03월_계_70~79세,"13,435","3,157",473,639,"2,224","1,036",801,"1,612","1,325",990,509,669
2020년03월_계_80~89세,"6,028","1,253",249,332,826,327,358,680,607,610,341,445
2020년03월_계_90~99세,735,163,33,34,103,45,45,70,68,104,26,44
2020년03월_계_100세 이상,28,10,1,3,0,2,3,0,3,4,1,1
2020년03월_남_총인구수,"130,445","24,500","2,482","7,456","25,441","19,805","15,071","12,315","12,276","4,002","2,031","5,066"
2020년03월_남_연령구간인구수,"130,445","24,500","2,482","7,456","25,441","19,805","15,071","12,315","12,276","4,002","2,031","5,066"
2020년03월_남_0~9세,"15,262","1,829",131,469,"3,149","3,299","2,850","1,344","1,320",210,62,599
2020년03월_남_10~19세,"12,315","2,476",93,827,"3,056","1,796","1,664",894,895,277,65,272
2020년03월_남_20~29세,"16,097","3,658",288,"1,164","3,154","2,121","1,316","1,433","1,822",407,194,540
2020년03월_남_30~39세,"22,134","2,853",343,786,"3,833","4,626","3,325","2,068","2,620",353,169,"1,158"
2020년03월_남_40~49세,"22,248","3,618",347,"1,472","4,750","3,617","3,003","1,794","2,025",535,222,865
2020년03월_남_50~59세,"20,276","4,807",526,"1,646","3,791","2,405","1,410","2,125","1,646",732,504,684
2020년03월_남_60~69세,"13,937","3,336",462,746,"2,329","1,364","1,015","1,701","1,202",792,474,516
2020년03월_남_70~79세,"6,058","1,415",203,246,"1,052",481,370,736,553,470,236,296
2020년03월_남_80~89세,"1,959",459,83,96,307,90,103,207,180,202,102,130
2020년03월_남_90~99세,151,44,6,4,20,6,14,13,12,23,3,6
2020년03월_남_100세 이상,8,5,0,0,0,0,1,0,1,1,0,0
2020년03월_여_총인구수,"126,327","24,590","2,062","6,684","25,858","18,942","14,835","12,008","11,210","4,046","1,721","4,371"
2020년03월_여_연령구간인구수,"126,327","24,590","2,062","6,684","25,858","18,942","14,835","12,008","11,210","4,046","1,721","4,371"
2020년03월_여_0~9세,"14,751","1,717",119,464,"3,170","3,172","2,705","1,237","1,272",223,63,609
2020년03월_여_10~19세,"11,230","2,324",89,750,"2,748","1,600","1,581",791,803,238,60,246
2020년03월_여_20~29세,"13,107","2,954",188,793,"2,764","1,891","1,175","1,178","1,369",295,120,380
2020년03월_여_30~39세,"20,407","2,626",217,690,"3,945","4,394","3,405","1,879","1,996",339,114,802
2020년03월_여_40~49세,"20,341","3,862",213,"1,270","4,750","3,143","2,703","1,618","1,645",460,122,555
2020년03월_여_50~59세,"20,369","5,132",399,"1,378","4,143","2,517","1,473","2,167","1,610",660,360,530
2020년03월_여_60~69세,"14,072","3,315",373,677,"2,564","1,392","1,074","1,732","1,258",819,346,522
2020년03월_여_70~79세,"7,377","1,742",270,393,"1,172",555,431,876,772,520,273,373
2020년03월_여_80~89세,"4,069",794,166,236,519,237,255,473,427,408,239,315
2020년03월_여_90~99세,584,119,27,30,83,39,31,57,56,81,23,38
2020년03월_여_100세 이상,20,5,1,3,0,2,2,0,2,3,1,1
