,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년12월_계_총인구수,"502,916","230,422","7,568","30,633","54,839","3,500","9,908","4,117","1,887","24,820","17,256","12,507","4,694","2,839","30,440","25,414","272,494","40,604","2,873","4,827","2,490","4,920","2,126",593,"1,290","15,743","17,199","19,707","22,295","32,339","23,189","72,758","9,541"
2020년12월_계_연령구간인구수,"502,916","230,422","7,568","30,633","54,839","3,500","9,908","4,117","1,887","24,820","17,256","12,507","4,694","2,839","30,440","25,414","272,494","40,604","2,873","4,827","2,490","4,920","2,126",593,"1,290","15,743","17,199","19,707","22,295","32,339","23,189","72,758","9,541"
2020년12월_계_0~9세,"39,673","17,468",146,"2,374","5,709",65,567,71,31,"1,183",612,427,199,160,"3,671","2,253","22,205","3,905",68,111,29,86,39,6,19,567,"1,220",786,"1,462","3,046","1,656","8,289",916
2020년12월_계_10~19세,"46,753","21,242",239,"3,712","5,873",144,773,126,74,"1,514",786,713,266,196,"3,795","3,031","25,511","3,625",79,208,87,192,56,15,40,795,"1,867",932,"2,048","3,093","2,457","8,876","1,141"
2020년12월_계_20~29세,"56,450","26,193",469,"3,635","6,317",279,"1,002",198,98,"3,211","1,678","1,046",595,625,"3,486","3,554","30,257","4,072",179,320,163,293,66,33,52,"1,663","2,161","2,320","2,398","3,929","2,939","8,786",883
2020년12월_계_30~39세,"59,577","26,979",443,"3,080","8,192",262,967,186,82,"2,954","1,613","1,039",516,342,"3,894","3,409","32,598","5,119",131,259,105,228,72,15,58,"1,738","1,880","2,309","2,220","4,451","2,502","10,309","1,202"
2020년12월_계_40~49세,"77,130","35,625",759,"5,198","10,131",314,"1,257",296,177,"3,358","2,198","1,440",533,350,"5,217","4,397","41,505","6,272",216,472,186,369,128,39,102,"1,967","2,691","2,503","3,281","4,886","3,329","13,387","1,677"
2020년12월_계_50~59세,"90,149","41,381","1,434","5,993","8,545",704,"1,807",716,328,"4,499","3,381","2,348",810,479,"5,411","4,926","48,768","7,122",473,897,469,903,392,111,203,"2,760","3,452","3,483","4,144","6,041","4,708","12,131","1,479"
2020년12월_계_60~69세,"78,580","36,601","1,943","4,204","6,269",919,"1,841",978,463,"5,076","4,131","3,146",965,406,"3,729","2,531","41,979","5,809",768,"1,128",619,"1,226",598,194,359,"3,308","2,564","4,185","4,101","4,449","3,629","7,626","1,416"
2020년12월_계_70~79세,"36,999","17,237","1,341","1,677","2,539",534,"1,123",837,381,"2,370","2,164","1,693",596,201,898,883,"19,762","2,958",507,857,475,903,421,113,255,"2,055",972,"2,326","1,864","1,687","1,387","2,371",611
