,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년06월_계_총인구수,"433,658","16,698","23,006","15,506","14,858","24,220","14,925","15,479","18,375","23,222","15,101","25,095","35,672","16,629","39,049","26,647","19,568","24,382","13,771","16,188","35,267"
2021년06월_계_연령구간인구수,"433,658","16,698","23,006","15,506","14,858","24,220","14,925","15,479","18,375","23,222","15,101","25,095","35,672","16,629","39,049","26,647","19,568","24,382","13,771","16,188","35,267"
2021년06월_계_0~9세,"28,368",760,"1,059",557,780,"1,949",435,966,"1,399","1,469",579,"1,556","3,802","1,403","2,589","2,004","1,047","1,766",575,"1,729","1,944"
2021년06월_계_10~19세,"36,669","1,168","1,826",953,"1,264","2,792",835,928,"1,753","1,827",947,"2,113","4,887","1,435","3,628","2,574","1,452","1,912",862,"1,353","2,160"
2021년06월_계_20~29세,"66,183","2,761","4,196","4,447","1,995","2,941","5,103","2,609","2,271","3,240","3,030","3,278","3,412","2,058","5,682","3,082","3,456","3,394","1,982","2,070","5,176"
2021년06월_계_30~39세,"59,249","2,466","3,236","2,502","1,955","2,952","2,021","2,591","2,620","3,121","1,847","3,108","4,423","2,407","5,077","3,547","2,706","3,398","1,768","2,600","4,904"
2021년06월_계_40~49세,"68,737","2,534","3,512","1,990","2,080","4,385","1,612","2,368","3,120","3,521","1,854","4,137","7,794","2,877","6,308","4,521","2,803","3,711","1,899","2,642","5,069"
2021년06월_계_50~59세,"69,033","2,750","3,657","1,952","2,684","4,100","1,980","2,500","2,851","3,754","2,333","4,136","5,052","2,747","6,300","4,217","2,983","4,234","2,396","2,539","5,868"
2021년06월_계_60~69세,"56,027","2,088","2,778","1,519","2,194","2,776","1,479","1,931","2,280","3,383","2,266","3,625","3,294","2,118","4,887","3,626","2,728","3,391","2,237","1,942","5,485"
2021년06월_계_70~79세,"32,776","1,307","1,787","1,039","1,259","1,471",948,"1,068","1,364","1,966","1,443","2,124","2,052","1,089","2,853","2,119","1,592","1,739","1,404",932,"3,220"
2021년06월_계_80~89세,"14,528",712,839,465,574,720,451,454,634,826,696,879,835,437,"1,489",855,699,747,572,343,"1,301"
2021년06월_계_90~99세,"1,983",135,102,69,69,131,56,60,80,111,104,134,117,55,228,102,98,88,74,33,137
2021년06월_계_100세 이상,105,17,14,13,4,3,5,4,3,4,2,5,4,3,8,0,4,2,2,5,3
2021년06월_남_총인구수,"209,210","7,794","10,968","6,530","6,948","11,471","7,496","7,458","8,841","11,271","7,465","12,121","16,990","8,014","19,336","12,875","9,431","11,946","6,807","7,983","17,465"
2021년06월_남_연령구간인구수,"209,210","7,794","10,968","6,530","6,948","11,471","7,496","7,458","8,841","11,271","7,465","12,121","16,990","8,014","19,336","12,875","9,431","11,946","6,807","7,983","17,465"
2021년06월_남_0~9세,"14,483",371,553,270,382,976,221,479,736,764,296,819,"1,948",728,"1,330","1,005",557,885,292,889,982
2021년06월_남_10~19세,"18,632",609,950,414,612,"1,403",433,450,880,945,484,"1,103","2,402",762,"1,976","1,238",728,996,427,674,"1,146"
2021년06월_남_20~29세,"31,759","1,263","1,881","1,449",921,"1,423","2,624","1,257","1,117","1,616","1,673","1,693","1,645",961,"3,022","1,463","1,494","1,731",976,993,"2,557"
2021년06월_남_30~39세,"29,576","1,173","1,582","1,145",971,"1,391","1,138","1,338","1,296","1,606","1,052","1,502","1,981","1,168","2,553","1,755","1,400","1,774",932,"1,275","2,544"
2021년06월_남_40~49세,"33,885","1,214","1,722",953,963,"2,064",835,"1,181","1,498","1,740",911,"2,033","3,741","1,382","3,113","2,257","1,420","1,849","1,028","1,348","2,633"
