카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년01월_계_총인구수,"2,956,119","136,013","64,337","408,394","367,321","532,569","510,362","302,832","544,608","69,197","20,486"
2020년01월_계_연령구간인구수,"2,956,119","136,013","64,337","408,394","367,321","532,569","510,362","302,832","544,608","69,197","20,486"
2020년01월_계_0~9세,"241,048","12,153","4,293","29,070","36,220","45,349","36,284","20,347","53,009","3,329",994
2020년01월_계_10~19세,"282,326","12,383","5,351","33,062","41,539","51,719","46,097","28,469","57,736","4,789","1,181"
2020년01월_계_20~29세,"407,195","18,823","6,854","57,272","50,898","72,371","73,282","45,884","73,476","5,608","2,727"
2020년01월_계_30~39세,"419,066","20,891","7,619","57,738","54,414","76,706","72,003","39,610","82,587","5,491","2,007"
2020년01월_계_40~49세,"490,378","24,012","10,369","64,756","65,220","90,331","80,798","47,950","96,469","7,985","2,488"
2020년01월_계_50~59세,"516,278","19,646","10,412","68,435","62,135","91,258","93,193","62,113","93,079","12,291","3,716"
2020년01월_계_60~69세,"341,815","14,984","9,735","53,203","34,000","61,416","62,360","35,385","53,544","13,452","3,736"
2020년01월_계_70~79세,"171,847","8,985","6,506","30,590","14,766","29,620","30,739","15,059","23,271","10,024","2,287"
2020년01월_계_80~89세,"73,779","3,476","2,715","12,243","6,911","11,785","13,387","6,940","9,789","5,423","1,110"
2020년01월_계_90~99세,"11,487",586,406,"1,850","1,166","1,896","2,026","1,014","1,548",765,230
2020년01월_계_100세 이상,900,74,77,175,52,118,193,61,100,40,10
2020년01월_남_총인구수,"1,481,749","70,468","32,485","205,847","182,794","264,835","252,799","151,252","274,954","34,682","11,633"
2020년01월_남_연령구간인구수,"1,481,749","70,468","32,485","205,847","182,794","264,835","252,799","151,252","274,954","34,682","11,633"
2020년01월_남_0~9세,"123,695","6,279","2,257","14,847","18,544","23,319","18,550","10,349","27,327","1,716",507
2020년01월_남_10~19세,"145,302","6,409","2,772","17,125","21,348","26,412","23,840","14,712","29,576","2,466",642
2020년01월_남_20~29세,"212,668","9,573","3,712","30,369","26,430","37,433","37,753","23,967","38,202","3,242","1,987"
2020년01월_남_30~39세,"216,207","11,239","4,007","30,935","26,893","39,311","37,136","20,475","42,054","2,908","1,249"
2020년01월_남_40~49세,"250,389","13,216","5,625","34,131","31,986","45,965","40,615","23,801","49,114","4,346","1,590"
2020년01월_남_50~59세,"258,261","10,763","5,450","34,253","30,891","44,940","45,766","30,491","47,320","6,250","2,137"
2020년01월_남_60~69세,"169,693","7,420","4,729","25,524","17,544","29,761","30,464","18,310","27,263","6,702","1,976"
2020년01월_남_70~79세,"77,745","4,147","2,874","13,831","6,683","13,337","13,739","6,690","10,615","4,720","1,109"
2020년01월_남_80~89세,"25,007","1,249",935,"4,361","2,192","3,940","4,462","2,209","3,147","2,128",384
2020년01월_남_90~99세,"2,542",147,100,425,268,390,431,234,307,192,48
2020년01월_남_100세 이상,240,26,24,46,15,27,43,14,29,12,4
2020년01월_여_총인구수,"1,474,370","65,545","31,852","202,547","184,527","267,734","257,563","151,580","269,654","34,515","8,853"
2020년01월_여_연령구간인구수,"1,474,370","65,545","31,852","202,547","184,527","267,734","257,563","151,580","269,654","34,515","8,853"
2020년01월_여_0~9세,"117,353","5,874","2,036","14,223","17,676","22,030","17,734","9,998","25,682","1,613",487
2020년01월_여_10~19세,"137,024","5,974","2,579","15,937","20,191","25,307","22,257","13,757","28,160","2,323",539
2020년01월_여_20~29세,"194,527","9,250","3,142","26,903","24,468","34,938","35,529","21,917","35,274","2,366",740
2020년01월_여_30~39세,"202,859","9,652","3,612","26,803","27,521","37,395","34,867","19,135","40,533","2,583",758
2020년01월_여_40~49세,"239,989","10,796","4,744","30,625","33,234","44,366","40,183","24,149","47,355","3,639",898
2020년01월_여_50~59세,"258,017","8,883","4,962","34,182","31,244","46,318","47,427","31,622","45,759","6,041","1,579"
2020년01월_여_60~69세,"172,122","7,564","5,006","27,679","16,456","31,655","31,896","17,075","26,281","6,750","1,760"
2020년01월_여_70~79세,"94,102","4,838","3,632","16,759","8,083","16,283","17,000","8,369","12,656","5,304","1,178"
2020년01월_여_80~89세,"48,772","2,227","1,780","7,882","4,719","7,845","8,925","4,731","6,642","3,295",726
2020년01월_여_90~99세,"8,945",439,306,"1,425",898,"1,506","1,595",780,"1,241",573,182
2020년01월_여_100세 이상,660,48,53,129,37,91,150,47,71,28,6
