,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년05월_계_총인구수,"132,659","6,741","1,926","1,278","2,028","2,197",712,"3,308","4,612","18,721","9,982","5,873","4,900","10,276","18,084","11,155","15,568","15,298"
2021년05월_계_연령구간인구수,"132,659","6,741","1,926","1,278","2,028","2,197",712,"3,308","4,612","18,721","9,982","5,873","4,900","10,276","18,084","11,155","15,568","15,298"
2021년05월_계_0~9세,"8,468",259,39,25,39,70,19,80,99,"1,524",800,240,190,778,"1,303",732,662,"1,609"
2021년05월_계_10~19세,"11,540",336,87,44,65,192,33,128,199,"2,308","1,083",400,294,908,"1,831","1,152","1,108","1,372"
2021년05월_계_20~29세,"14,696",483,115,70,78,73,35,179,346,"2,284","1,285",669,565,"1,046","2,711","1,352","1,880","1,525"
2021년05월_계_30~39세,"12,748",418,97,63,77,82,38,134,231,"1,925","1,023",459,400,"1,115","2,157","1,023","1,380","2,126"
2021년05월_계_40~49세,"18,093",687,141,78,131,180,65,237,407,"3,230","1,613",729,540,"1,452","2,677","1,703","1,873","2,350"
2021년05월_계_50~59세,"23,672","1,264",368,261,388,365,142,600,863,"3,445","1,787","1,009",891,"1,739","3,122","2,148","2,876","2,404"
2021년05월_계_60~69세,"23,650","1,741",554,366,602,591,197,"1,007","1,260","2,368","1,376","1,250","1,111","1,690","2,486","1,638","3,316","2,097"
2021년05월_계_70~79세,"12,384",921,276,215,383,387,95,533,707,"1,084",615,747,633,993,"1,092",896,"1,657","1,150"
2021년05월_계_80~89세,"6,503",556,211,144,240,221,71,355,430,496,340,325,254,483,633,439,709,596
2021년05월_계_90~99세,839,76,33,12,21,36,15,53,65,52,57,41,21,56,70,65,101,65
2021년05월_계_100세 이상,66,0,5,0,4,0,2,2,5,5,3,4,1,16,2,7,6,4
2021년05월_남_총인구수,"66,598","3,461","1,028",655,"1,056","1,116",364,"1,688","2,416","9,222","4,926","2,906","2,448","5,153","9,015","5,587","7,818","7,739"
2021년05월_남_연령구간인구수,"66,598","3,461","1,028",655,"1,056","1,116",364,"1,688","2,416","9,222","4,926","2,906","2,448","5,153","9,015","5,587","7,818","7,739"
2021년05월_남_0~9세,"4,340",142,26,16,21,40,8,42,46,777,433,111,99,416,649,375,331,808
2021년05월_남_10~19세,"5,987",171,54,20,34,101,17,73,113,"1,176",545,210,150,482,928,606,606,701
2021년05월_남_20~29세,"8,180",273,72,40,56,46,25,105,215,"1,220",689,348,328,589,"1,484",760,"1,072",858
2021년05월_남_30~39세,"6,724",235,57,42,51,43,22,77,152,964,504,270,225,556,"1,153",532,774,"1,067"
2021년05월_남_40~49세,"9,314",388,83,47,83,115,37,138,254,"1,549",783,378,296,778,"1,313",825,976,"1,271"
2021년05월_남_50~59세,"12,080",685,210,135,202,192,80,308,446,"1,721",899,504,453,874,"1,570","1,130","1,405","1,266"
2021년05월_남_60~69세,"11,783",904,307,194,321,306,102,533,669,"1,173",679,586,504,821,"1,272",821,"1,580","1,011"
2021년05월_남_70~79세,"5,602",439,137,103,191,190,40,263,338,459,263,350,291,433,440,362,792,511
2021년05월_남_80~89세,"2,383",212,72,57,89,77,27,137,162,174,115,137,96,184,190,161,261,232
2021년05월_남_90~99세,184,12,9,1,5,6,4,12,19,9,15,10,6,13,16,13,20,14
2021년05월_남_100세 이상,21,0,1,0,3,0,2,0,2,0,1,2,0,7,0,2,1,0
2021년05월_여_총인구수,"66,061","3,280",898,623,972,"1,081",348,"1,620","2,196","9,499","5,056","2,967","2,452","5,123","9,069","5,568","7,750","7,559"
2021년05월_여_연령구간인구수,"66,061","3,280",898,623,972,"1,081",348,"1,620","2,196","9,499","5,056","2,967","2,452","5,123","9,069","5,568","7,750","7,559"
2021년05월_여_0~9세,"4,128",117,13,9,18,30,11,38,53,747,367,129,91,362,654,357,331,801
2021년05월_여_10~19세,"5,553",165,33,24,31,91,16,55,86,"1,132",538,190,144,426,903,546,502,671
2021년05월_여_20~29세,"6,516",210,43,30,22,27,10,74,131,"1,064",596,321,237,457,"1,227",592,808,667
2021년05월_여_30~39세,"6,024",183,40,21,26,39,16,57,79,961,519,189,175,559,"1,004",491,606,"1,059"
2021년05월_여_40~49세,"8,779",299,58,31,48,65,28,99,153,"1,681",830,351,244,674,"1,364",878,897,"1,079"
2021년05월_여_50~59세,"11,592",579,158,126,186,173,62,292,417,"1,724",888,505,438,865,"1,552","1,018","1,471","1,138"
2021년05월_여_60~69세,"11,867",837,247,172,281,285,95,474,591,"1,195",697,664,607,869,"1,214",817,"1,736","1,086"
2021년05월_여_70~79세,"6,782",482,139,112,192,197,55,270,369,625,352,397,342,560,652,534,865,639
2021년05월_여_80~89세,"4,120",344,139,87,151,144,44,218,268,322,225,188,158,299,443,278,448,364
2021년05월_여_90~99세,655,64,24,11,16,30,11,41,46,43,42,31,15,43,54,52,81,51
2021년05월_여_100세 이상,45,0,4,0,1,0,0,2,3,5,2,2,1,9,2,5,5,4
