카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년08월_계_총인구수,"27,005","6,719","6,066","2,323","3,609","8,288",0
2021년08월_계_연령구간인구수,"27,005","6,719","6,066","2,323","3,609","8,288",0
2021년08월_계_0~9세,"1,302",518,174,53,123,434,0
2021년08월_계_10~19세,"1,615",523,337,100,178,477,0
2021년08월_계_20~29세,"2,656",823,475,126,348,884,0
2021년08월_계_30~39세,"2,300",743,335,134,289,799,0
2021년08월_계_40~49세,"3,065",828,589,195,361,"1,092",0
2021년08월_계_50~59세,"4,797","1,108","1,094",412,634,"1,549",0
2021년08월_계_60~69세,"5,564","1,072","1,415",627,809,"1,641",0
2021년08월_계_70~79세,"3,430",645,967,414,510,894,0
2021년08월_계_80~89세,"1,935",384,569,222,312,448,0
2021년08월_계_90~99세,329,72,110,39,42,66,0
2021년08월_계_100세 이상,12,3,1,1,3,4,0
2021년08월_남_총인구수,"13,899","3,520","3,026","1,133","1,861","4,359",0
2021년08월_남_연령구간인구수,"13,899","3,520","3,026","1,133","1,861","4,359",0
2021년08월_남_0~9세,665,265,91,25,60,224,0
2021년08월_남_10~19세,869,288,170,59,90,262,0
2021년08월_남_20~29세,"1,702",520,318,74,214,576,0
2021년08월_남_30~39세,"1,312",414,188,74,181,455,0
2021년08월_남_40~49세,"1,670",435,318,128,211,578,0
2021년08월_남_50~59세,"2,603",607,629,210,330,827,0
2021년08월_남_60~69세,"2,846",548,693,325,419,861,0
2021년08월_남_70~79세,"1,480",293,397,164,230,396,0
2021년08월_남_80~89세,671,128,200,66,113,164,0
2021년08월_남_90~99세,78,21,22,8,13,14,0
2021년08월_남_100세 이상,3,1,0,0,0,2,0
2021년08월_여_총인구수,"13,106","3,199","3,040","1,190","1,748","3,929",0
2021년08월_여_연령구간인구수,"13,106","3,199","3,040","1,190","1,748","3,929",0
2021년08월_여_0~9세,637,253,83,28,63,210,0
2021년08월_여_10~19세,746,235,167,41,88,215,0
2021년08월_여_20~29세,954,303,157,52,134,308,0
2021년08월_여_30~39세,988,329,147,60,108,344,0
2021년08월_여_40~49세,"1,395",393,271,67,150,514,0
2021년08월_여_50~59세,"2,194",501,465,202,304,722,0
2021년08월_여_60~69세,"2,718",524,722,302,390,780,0
2021년08월_여_70~79세,"1,950",352,570,250,280,498,0
2021년08월_여_80~89세,"1,264",256,369,156,199,284,0
2021년08월_여_90~99세,251,51,88,31,29,52,0
2021년08월_여_100세 이상,9,2,1,1,3,2,0
