,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년11월_계_총인구수,"413,363","20,563","26,124","32,400","30,876","26,774","2,810","34,358","15,750","22,166","19,159","20,915","16,893","19,499","18,786","23,530","43,170","21,967","17,623"
2021년11월_계_연령구간인구수,"413,363","20,563","26,124","32,400","30,876","26,774","2,810","34,358","15,750","22,166","19,159","20,915","16,893","19,499","18,786","23,530","43,170","21,967","17,623"
2021년11월_계_0~9세,"31,915","1,364","2,339","1,751","2,813","1,963",134,"3,259","1,707","1,856","1,626","1,405","1,073","1,118","1,319","1,582","3,458","1,325","1,823"
2021년11월_계_10~19세,"44,569","1,890","2,415","2,816","4,162","3,377",466,"3,826","2,834","3,025","2,207","2,819","1,330","1,611","1,845","2,698","4,356","1,560","1,332"
2021년11월_계_20~29세,"52,284","2,832","3,482","5,463","3,509","3,365",340,"4,198","1,333","2,405","2,215","2,617","2,344","2,584","2,253","3,039","5,123","3,323","1,859"
2021년11월_계_30~39세,"59,772","3,458","4,929","5,486","3,400","3,401",226,"5,615","1,320","2,439","2,481","2,329","2,836","2,999","2,467","3,325","6,329","4,253","2,479"
2021년11월_계_40~49세,"75,310","3,713","4,829","5,066","6,183","5,141",551,"7,073","3,617","4,474","3,577","3,872","2,736","2,994","2,909","4,326","7,527","3,676","3,046"
2021년11월_계_50~59세,"62,606","3,018","3,491","4,941","4,886","4,582",533,"4,574","2,224","3,626","2,943","3,510","2,483","3,029","3,094","3,677","6,230","3,344","2,421"
2021년11월_계_60~69세,"48,117","2,386","2,629","3,753","3,136","2,871",294,"3,338","1,378","2,319","2,333","2,316","2,165","2,881","2,770","2,457","5,826","2,703","2,562"
2021년11월_계_70~79세,"26,781","1,308","1,459","2,153","1,870","1,380",187,"1,787",928,"1,352","1,234","1,302","1,340","1,634","1,462","1,612","3,017","1,301","1,455"
2021년11월_계_80~89세,"10,174",500,469,836,781,574,68,583,357,555,452,636,510,553,566,719,"1,065",398,552
2021년11월_계_90~99세,"1,738",93,77,125,127,112,7,97,47,106,88,102,71,92,97,94,233,81,89
2021년11월_계_100세 이상,97,1,5,10,9,8,4,8,5,9,3,7,5,4,4,1,6,3,5
2021년11월_남_총인구수,"197,606","9,926","12,486","15,590","15,032","12,875","1,323","16,722","7,510","10,529","8,985","9,677","7,899","9,152","9,079","10,720","20,622","10,954","8,525"
2021년11월_남_연령구간인구수,"197,606","9,926","12,486","15,590","15,032","12,875","1,323","16,722","7,510","10,529","8,985","9,677","7,899","9,152","9,079","10,720","20,622","10,954","8,525"
2021년11월_남_0~9세,"16,397",722,"1,151",907,"1,490","1,023",75,"1,649",901,954,831,712,551,567,685,781,"1,767",716,915
