카테고리,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년04월_계_총인구수,"62,310","38,961",926,427,"1,789","1,055","1,786","3,293","2,882","1,426",987,"1,602","1,626","2,145","3,405"
2021년04월_계_연령구간인구수,"62,310","38,961",926,427,"1,789","1,055","1,786","3,293","2,882","1,426",987,"1,602","1,626","2,145","3,405"
2021년04월_계_0~9세,"3,408","2,816",14,9,33,31,36,122,88,27,20,35,35,47,95
2021년04월_계_10~19세,"5,598","4,560",41,18,64,23,52,269,122,56,33,63,60,62,175
2021년04월_계_20~29세,"6,736","5,139",63,8,114,56,97,283,212,78,78,79,111,138,280
2021년04월_계_30~39세,"4,621","3,423",43,17,84,40,81,216,181,43,47,65,62,123,196
2021년04월_계_40~49세,"8,133","6,175",101,36,117,63,134,337,282,102,71,110,119,166,320
2021년04월_계_50~59세,"11,240","6,992",157,71,312,195,314,549,537,252,206,293,299,394,669
2021년04월_계_60~69세,"9,714","4,714",204,95,386,215,385,674,642,329,206,359,332,468,705
2021년04월_계_70~79세,"7,364","3,194",177,110,342,195,347,494,423,292,180,346,328,407,529
2021년04월_계_80~89세,"4,802","1,719",114,57,293,211,289,304,338,222,128,220,237,285,385
2021년04월_계_90~99세,664,216,11,6,44,25,48,45,56,24,16,31,42,52,48
2021년04월_계_100세 이상,30,13,1,0,0,1,3,0,1,1,2,1,1,3,3
2021년04월_남_총인구수,"30,841","19,146",477,203,918,514,875,"1,629","1,442",735,510,802,768,"1,091","1,731"
2021년04월_남_연령구간인구수,"30,841","19,146",477,203,918,514,875,"1,629","1,442",735,510,802,768,"1,091","1,731"
2021년04월_남_0~9세,"1,737","1,439",5,2,19,15,21,62,36,15,11,21,16,30,45
2021년04월_남_10~19세,"2,903","2,357",24,13,36,10,24,124,71,31,15,32,28,38,100
2021년04월_남_20~29세,"3,678","2,760",37,5,63,34,53,171,117,46,50,52,64,75,151
2021년04월_남_30~39세,"2,337","1,667",28,9,50,19,46,119,114,28,25,33,38,66,95
2021년04월_남_40~49세,"4,203","2,986",63,23,80,49,85,190,170,65,42,77,68,113,192
2021년04월_남_50~59세,"6,139","3,634",99,46,195,115,196,300,306,158,119,183,169,229,390
2021년04월_남_60~69세,"5,124","2,340",105,44,234,132,216,355,343,186,118,201,189,265,396
2021년04월_남_70~79세,"3,097","1,336",80,42,149,77,143,207,194,120,81,135,124,169,240
2021년04월_남_80~89세,"1,464",575,36,18,81,56,80,92,78,78,43,62,66,90,109
2021년04월_남_90~99세,156,51,0,1,11,7,9,9,13,8,6,6,6,16,13
2021년04월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"31,469","19,815",449,224,871,541,911,"1,664","1,440",691,477,800,858,"1,054","1,674"
2021년04월_여_연령구간인구수,"31,469","19,815",449,224,871,541,911,"1,664","1,440",691,477,800,858,"1,054","1,674"
2021년04월_여_0~9세,"1,671","1,377",9,7,14,16,15,60,52,12,9,14,19,17,50
2021년04월_여_10~19세,"2,695","2,203",17,5,28,13,28,145,51,25,18,31,32,24,75
2021년04월_여_20~29세,"3,058","2,379",26,3,51,22,44,112,95,32,28,27,47,63,129
2021년04월_여_30~39세,"2,284","1,756",15,8,34,21,35,97,67,15,22,32,24,57,101
2021년04월_여_40~49세,"3,930","3,189",38,13,37,14,49,147,112,37,29,33,51,53,128
2021년04월_여_50~59세,"5,101","3,358",58,25,117,80,118,249,231,94,87,110,130,165,279
2021년04월_여_60~69세,"4,590","2,374",99,51,152,83,169,319,299,143,88,158,143,203,309
2021년04월_여_70~79세,"4,267","1,858",97,68,193,118,204,287,229,172,99,211,204,238,289
2021년04월_여_80~89세,"3,338","1,144",78,39,212,155,209,212,260,144,85,158,171,195,276
2021년04월_여_90~99세,508,165,11,5,33,18,39,36,43,16,10,25,36,36,35
2021년04월_여_100세 이상,27,12,1,0,0,1,1,0,1,1,2,1,1,3,3
