,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년03월_계_총인구수,"46,265","14,322","2,891","3,273","1,299","3,707","1,930","2,900","2,687","1,900","2,482","4,490","4,384"
2020년03월_계_연령구간인구수,"46,265","14,322","2,891","3,273","1,299","3,707","1,930","2,900","2,687","1,900","2,482","4,490","4,384"
2020년03월_계_0~9세,"2,369","1,078",135,120,46,145,67,84,85,80,116,213,200
2020년03월_계_10~19세,"3,068","1,250",110,188,53,216,108,148,130,87,126,322,330
2020년03월_계_20~29세,"4,983","1,696",254,287,108,346,187,642,236,170,206,433,418
2020년03월_계_30~39세,"3,789","1,515",232,256,85,252,128,168,202,135,187,316,313
2020년03월_계_40~49세,"5,393","1,928",335,342,117,401,185,242,269,185,265,570,554
2020년03월_계_50~59세,"8,177","2,279",534,645,263,712,393,431,466,351,467,818,818
2020년03월_계_60~69세,"7,857","2,008",559,645,251,689,370,456,541,387,471,779,701
2020년03월_계_70~79세,"6,283","1,585",443,492,211,541,286,406,424,318,399,576,602
2020년03월_계_80~89세,"3,737",837,249,253,137,362,175,280,279,160,216,392,397
2020년03월_계_90~99세,577,136,39,42,27,37,30,41,53,25,28,68,51
2020년03월_계_100세 이상,32,10,1,3,1,6,1,2,2,2,1,3,0
2020년03월_남_총인구수,"23,562","7,283","1,450","1,661",649,"1,907",996,"1,665","1,354",936,"1,226","2,255","2,180"
2020년03월_남_연령구간인구수,"23,562","7,283","1,450","1,661",649,"1,907",996,"1,665","1,354",936,"1,226","2,255","2,180"
2020년03월_남_0~9세,"1,193",534,65,60,23,79,40,37,47,47,52,113,96
2020년03월_남_10~19세,"1,602",655,57,93,22,112,60,99,64,43,60,178,159
2020년03월_남_20~29세,"2,962",965,132,158,59,202,102,552,134,79,106,235,238
2020년03월_남_30~39세,"2,001",793,123,139,44,143,68,93,113,63,89,171,162
2020년03월_남_40~49세,"3,150","1,080",208,203,67,247,106,146,181,116,165,314,317
2020년03월_남_50~59세,"4,524","1,227",295,352,152,391,218,236,256,189,268,469,471
2020년03월_남_60~69세,"4,037",994,277,359,134,367,213,229,266,196,230,400,372
2020년03월_남_70~79세,"2,768",710,203,209,90,231,126,179,190,143,189,247,251
2020년03월_남_80~89세,"1,200",296,81,80,50,125,59,86,94,52,63,108,106
2020년03월_남_90~99세,122,28,9,8,8,9,4,8,9,8,4,19,8
2020년03월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년03월_여_총인구수,"22,703","7,039","1,441","1,612",650,"1,800",934,"1,235","1,333",964,"1,256","2,235","2,204"
2020년03월_여_연령구간인구수,"22,703","7,039","1,441","1,612",650,"1,800",934,"1,235","1,333",964,"1,256","2,235","2,204"
2020년03월_여_0~9세,"1,176",544,70,60,23,66,27,47,38,33,64,100,104
2020년03월_여_10~19세,"1,466",595,53,95,31,104,48,49,66,44,66,144,171
2020년03월_여_20~29세,"2,021",731,122,129,49,144,85,90,102,91,100,198,180
2020년03월_여_30~39세,"1,788",722,109,117,41,109,60,75,89,72,98,145,151
2020년03월_여_40~49세,"2,243",848,127,139,50,154,79,96,88,69,100,256,237
2020년03월_여_50~59세,"3,653","1,052",239,293,111,321,175,195,210,162,199,349,347
2020년03월_여_60~69세,"3,820","1,014",282,286,117,322,157,227,275,191,241,379,329
2020년03월_여_70~79세,"3,515",875,240,283,121,310,160,227,234,175,210,329,351
2020년03월_여_80~89세,"2,537",541,168,173,87,237,116,194,185,108,153,284,291
2020년03월_여_90~99세,455,108,30,34,19,28,26,33,44,17,24,49,43
2020년03월_여_100세 이상,29,9,1,3,1,5,1,2,2,2,1,2,0
