카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년11월_계_총인구수,"65,409","10,188","3,321","1,734","5,209","1,334",720,"1,855",708,680,"7,709","14,642","9,133","8,176"
2020년11월_계_연령구간인구수,"65,409","10,188","3,321","1,734","5,209","1,334",720,"1,855",708,680,"7,709","14,642","9,133","8,176"
2020년11월_계_0~9세,"3,865",330,94,37,106,29,9,45,14,19,290,"1,686",659,547
2020년11월_계_10~19세,"5,193",803,143,64,233,37,7,65,27,10,498,"1,678",853,775
2020년11월_계_20~29세,"7,344","1,953",249,134,352,69,37,93,30,24,741,"1,903","1,002",757
2020년11월_계_30~39세,"5,801",568,212,94,291,73,23,94,27,43,588,"2,080",955,753
2020년11월_계_40~49세,"8,950","1,102",394,189,482,147,62,198,80,74,957,"2,539","1,507","1,219"
2020년11월_계_50~59세,"11,365","1,676",633,362,"1,001",299,147,349,141,128,"1,458","2,271","1,548","1,352"
2020년11월_계_60~69세,"11,109","1,851",684,366,"1,174",365,178,426,169,165,"1,585","1,423","1,316","1,407"
2020년11월_계_70~79세,"7,205","1,240",517,303,858,180,141,332,130,122,"1,036",679,825,842
2020년11월_계_80~89세,"3,946",582,338,157,606,121,92,218,78,85,498,320,394,457
2020년11월_계_90~99세,581,68,49,28,99,14,24,34,11,9,56,58,66,65
2020년11월_계_100세 이상,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020년11월_남_총인구수,"33,106","5,061","1,731",866,"2,680",725,397,966,360,372,"3,781","7,460","4,658","4,049"
2020년11월_남_연령구간인구수,"33,106","5,061","1,731",866,"2,680",725,397,966,360,372,"3,781","7,460","4,658","4,049"
2020년11월_남_0~9세,"1,969",157,51,19,57,16,4,25,12,9,155,859,334,271
2020년11월_남_10~19세,"2,692",376,70,36,149,21,3,42,12,5,257,853,466,402
2020년11월_남_20~29세,"4,100","1,031",165,74,220,37,26,62,19,13,418,"1,069",550,416
2020년11월_남_30~39세,"3,148",295,129,62,178,48,14,55,13,24,329,"1,086",508,407
2020년11월_남_40~49세,"4,937",619,262,114,315,108,44,142,53,57,515,"1,255",807,646
2020년11월_남_50~59세,"6,087",901,373,192,591,154,96,197,82,80,707,"1,180",860,674
2020년11월_남_60~69세,"5,549",940,356,191,598,205,106,225,79,95,734,713,635,672
2020년11월_남_70~79세,"3,179",541,215,115,362,82,62,151,59,56,481,305,363,387
2020년11월_남_80~89세,"1,321",176,100,56,197,51,36,63,30,32,174,125,121,160
2020년11월_남_90~99세,112,20,7,7,12,3,6,4,1,1,11,14,13,13
2020년11월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년11월_여_총인구수,"32,303","5,127","1,590",868,"2,529",609,323,889,348,308,"3,928","7,182","4,475","4,127"
2020년11월_여_연령구간인구수,"32,303","5,127","1,590",868,"2,529",609,323,889,348,308,"3,928","7,182","4,475","4,127"
2020년11월_여_0~9세,"1,896",173,43,18,49,13,5,20,2,10,135,827,325,276
2020년11월_여_10~19세,"2,501",427,73,28,84,16,4,23,15,5,241,825,387,373
2020년11월_여_20~29세,"3,244",922,84,60,132,32,11,31,11,11,323,834,452,341
2020년11월_여_30~39세,"2,653",273,83,32,113,25,9,39,14,19,259,994,447,346
2020년11월_여_40~49세,"4,013",483,132,75,167,39,18,56,27,17,442,"1,284",700,573
2020년11월_여_50~59세,"5,278",775,260,170,410,145,51,152,59,48,751,"1,091",688,678
2020년11월_여_60~69세,"5,560",911,328,175,576,160,72,201,90,70,851,710,681,735
2020년11월_여_70~79세,"4,026",699,302,188,496,98,79,181,71,66,555,374,462,455
2020년11월_여_80~89세,"2,625",406,238,101,409,70,56,155,48,53,324,195,273,297
2020년11월_여_90~99세,469,48,42,21,87,11,18,30,10,8,45,44,53,52
2020년11월_여_100세 이상,38,10,5,0,6,0,0,1,1,1,2,4,7,1
