카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년03월_계_총인구수,"81,404","30,155","25,360",0,"3,241","3,589","2,093","6,279","10,687"
2020년03월_계_연령구간인구수,"81,404","30,155","25,360",0,"3,241","3,589","2,093","6,279","10,687"
2020년03월_계_0~9세,"7,701","2,436","3,949",0,83,134,58,247,794
2020년03월_계_10~19세,"7,884","3,316","2,589",0,193,146,73,418,"1,149"
2020년03월_계_20~29세,"8,945","3,800","2,721",0,210,297,112,557,"1,248"
2020년03월_계_30~39세,"11,292","3,388","5,454",0,193,273,121,517,"1,346"
2020년03월_계_40~49세,"13,156","5,107","4,508",0,328,372,186,756,"1,899"
2020년03월_계_50~59세,"13,438","5,278","3,042",0,635,776,402,"1,270","2,035"
2020년03월_계_60~69세,"9,680","3,518","1,711",0,717,759,512,"1,245","1,218"
2020년03월_계_70~79세,"5,464","2,026",829,0,471,471,346,712,609
2020년03월_계_80~89세,"3,387","1,130",492,0,374,317,249,484,341
2020년03월_계_90~99세,439,151,61,0,37,44,32,66,48
2020년03월_계_100세 이상,18,5,4,0,0,0,2,7,0
2020년03월_남_총인구수,"42,599","15,480","13,381",0,"1,648","1,896","1,058","3,320","5,816"
2020년03월_남_연령구간인구수,"42,599","15,480","13,381",0,"1,648","1,896","1,058","3,320","5,816"
2020년03월_남_0~9세,"3,970","1,266","2,020",0,40,68,26,129,421
2020년03월_남_10~19세,"4,135","1,750","1,313",0,98,72,44,220,638
2020년03월_남_20~29세,"5,161","2,173","1,537",0,120,173,67,353,738
2020년03월_남_30~39세,"6,153","1,778","2,929",0,119,163,70,307,787
2020년03월_남_40~49세,"7,209","2,677","2,509",0,196,239,107,439,"1,042"
2020년03월_남_50~59세,"7,328","2,818","1,650",0,372,431,231,703,"1,123"
2020년03월_남_60~69세,"4,938","1,698",854,0,372,412,259,677,666
2020년03월_남_70~79세,"2,476",906,373,0,213,229,156,327,272
2020년03월_남_80~89세,"1,140",382,179,0,111,98,93,156,121
2020년03월_남_90~99세,84,30,17,0,7,11,5,6,8
2020년03월_남_100세 이상,5,2,0,0,0,0,0,3,0
2020년03월_여_총인구수,"38,805","14,675","11,979",0,"1,593","1,693","1,035","2,959","4,871"
2020년03월_여_연령구간인구수,"38,805","14,675","11,979",0,"1,593","1,693","1,035","2,959","4,871"
2020년03월_여_0~9세,"3,731","1,170","1,929",0,43,66,32,118,373
2020년03월_여_10~19세,"3,749","1,566","1,276",0,95,74,29,198,511
2020년03월_여_20~29세,"3,784","1,627","1,184",0,90,124,45,204,510
2020년03월_여_30~39세,"5,139","1,610","2,525",0,74,110,51,210,559
2020년03월_여_40~49세,"5,947","2,430","1,999",0,132,133,79,317,857
2020년03월_여_50~59세,"6,110","2,460","1,392",0,263,345,171,567,912
2020년03월_여_60~69세,"4,742","1,820",857,0,345,347,253,568,552
2020년03월_여_70~79세,"2,988","1,120",456,0,258,242,190,385,337
2020년03월_여_80~89세,"2,247",748,313,0,263,219,156,328,220
2020년03월_여_90~99세,355,121,44,0,30,33,27,60,40
2020년03월_여_100세 이상,13,3,4,0,0,0,2,4,0
