카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년03월_계_총인구수,"53,469","8,153","15,034","6,483","1,833","2,063","3,718","3,566","2,277","3,185","1,916","2,992","2,249"
2021년03월_계_연령구간인구수,"53,469","8,153","15,034","6,483","1,833","2,063","3,718","3,566","2,277","3,185","1,916","2,992","2,249"
2021년03월_계_0~9세,"3,425",578,"1,530",542,62,46,102,111,74,101,72,139,68
2021년03월_계_10~19세,"4,406",776,"1,815",684,93,69,192,128,102,168,84,193,102
2021년03월_계_20~29세,"5,065",869,"1,606",924,112,115,266,233,183,236,119,257,145
2021년03월_계_30~39세,"4,653",709,"1,836",788,107,89,226,187,140,163,104,160,144
2021년03월_계_40~49세,"7,382","1,034","2,898","1,258",168,180,379,321,191,295,147,295,216
2021년03월_계_50~59세,"9,416","1,422","2,556","1,385",309,388,660,596,416,536,296,477,375
2021년03월_계_60~69세,"8,177","1,218","1,540",519,336,445,791,808,463,611,382,586,478
2021년03월_계_70~79세,"6,284",922,832,248,317,397,640,666,384,619,380,485,394
2021년03월_계_80~89세,"4,076",519,379,114,290,291,412,445,298,398,287,343,300
2021년03월_계_90~99세,560,103,38,21,35,42,49,68,25,56,42,55,26
2021년03월_계_100세 이상,25,3,4,0,4,1,1,3,1,2,3,2,1
2021년03월_남_총인구수,"27,581","4,050","8,000","3,737",903,"1,041","1,875","1,778","1,158","1,536",917,"1,457","1,129"
2021년03월_남_연령구간인구수,"27,581","4,050","8,000","3,737",903,"1,041","1,875","1,778","1,158","1,536",917,"1,457","1,129"
2021년03월_남_0~9세,"1,729",307,731,277,38,18,49,64,50,59,31,74,31
2021년03월_남_10~19세,"2,335",417,967,360,42,44,102,68,64,91,46,87,47
2021년03월_남_20~29세,"2,958",481,881,567,68,71,184,151,106,141,75,145,88
2021년03월_남_30~39세,"2,529",360,922,466,71,52,137,110,89,93,59,81,89
2021년03월_남_40~49세,"4,377",544,"1,710",777,103,106,222,210,119,172,93,175,146
2021년03월_남_50~59세,"5,387",740,"1,476",848,195,235,354,357,232,306,170,270,204
2021년03월_남_60~69세,"4,221",614,818,302,159,260,407,398,246,301,189,288,239
2021년03월_남_70~79세,"2,671",399,381,105,129,166,269,293,155,242,154,205,173
2021년03월_남_80~89세,"1,265",164,107,31,88,82,140,119,92,120,96,120,106
2021년03월_남_90~99세,105,24,6,4,9,7,10,8,5,10,4,12,6
2021년03월_남_100세 이상,4,0,1,0,1,0,1,0,0,1,0,0,0
2021년03월_여_총인구수,"25,888","4,103","7,034","2,746",930,"1,022","1,843","1,788","1,119","1,649",999,"1,535","1,120"
2021년03월_여_연령구간인구수,"25,888","4,103","7,034","2,746",930,"1,022","1,843","1,788","1,119","1,649",999,"1,535","1,120"
2021년03월_여_0~9세,"1,696",271,799,265,24,28,53,47,24,42,41,65,37
2021년03월_여_10~19세,"2,071",359,848,324,51,25,90,60,38,77,38,106,55
2021년03월_여_20~29세,"2,107",388,725,357,44,44,82,82,77,95,44,112,57
2021년03월_여_30~39세,"2,124",349,914,322,36,37,89,77,51,70,45,79,55
2021년03월_여_40~49세,"3,005",490,"1,188",481,65,74,157,111,72,123,54,120,70
2021년03월_여_50~59세,"4,029",682,"1,080",537,114,153,306,239,184,230,126,207,171
2021년03월_여_60~69세,"3,956",604,722,217,177,185,384,410,217,310,193,298,239
2021년03월_여_70~79세,"3,613",523,451,143,188,231,371,373,229,377,226,280,221
2021년03월_여_80~89세,"2,811",355,272,83,202,209,272,326,206,278,191,223,194
2021년03월_여_90~99세,455,79,32,17,26,35,39,60,20,46,38,43,20
2021년03월_여_100세 이상,21,3,3,0,3,1,0,3,1,1,3,2,1
