카테고리,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년04월_계_총인구수,"213,698","7,140","6,882","9,037","13,716","28,992","5,288","7,235","8,736","6,476","12,380","6,447","20,381","8,198","45,836","20,634","6,320"
2021년04월_계_연령구간인구수,"213,698","7,140","6,882","9,037","13,716","28,992","5,288","7,235","8,736","6,476","12,380","6,447","20,381","8,198","45,836","20,634","6,320"
2021년04월_계_0~9세,"17,141",472,531,464,833,"2,904",268,354,339,245,972,464,"1,486",482,"3,810","3,117",400
2021년04월_계_10~19세,"22,600",739,670,764,"1,316","4,906",279,396,579,346,"1,125",440,"2,087",576,"5,873","2,116",388
2021년04월_계_20~29세,"27,665",806,844,"1,223","1,981","3,311",658,836,"1,166",952,"1,504",968,"2,972","1,099","6,380","2,425",540
2021년04월_계_30~39세,"25,118",678,843,887,"1,540","2,762",631,781,"1,042",732,"1,461",908,"2,351",891,"5,254","3,772",585
2021년04월_계_40~49세,"34,067","1,045","1,106","1,225","2,119","5,630",738,957,"1,193",819,"1,884",893,"3,171","1,108","7,755","3,612",812
2021년04월_계_50~59세,"32,768","1,106",997,"1,487","2,131","4,274",878,"1,202","1,489","1,170","1,889",945,"3,377","1,406","6,855","2,581",981
2021년04월_계_60~69세,"28,322","1,014",929,"1,415","1,944","2,927",838,"1,169","1,540","1,226","1,861",908,"2,746","1,407","5,356","1,854","1,188"
2021년04월_계_70~79세,"17,379",855,662,"1,054","1,145","1,450",678,"1,045",972,688,"1,127",639,"1,540",881,"3,080",751,812
2021년04월_계_80~89세,"7,452",366,266,447,599,702,287,431,363,263,472,250,567,306,"1,270",330,533
2021년04월_계_90~99세,"1,147",58,28,69,105,124,33,64,51,35,83,31,80,41,196,74,75
2021년04월_계_100세 이상,39,1,6,2,3,2,0,0,2,0,2,1,4,1,7,2,6
2021년04월_남_총인구수,"102,854","3,277","3,283","4,274","6,462","13,594","2,732","3,713","4,484","3,235","5,883","3,175","9,888","4,070","21,637","10,009","3,138"
2021년04월_남_연령구간인구수,"102,854","3,277","3,283","4,274","6,462","13,594","2,732","3,713","4,484","3,235","5,883","3,175","9,888","4,070","21,637","10,009","3,138"
2021년04월_남_0~9세,"8,745",237,270,237,441,"1,439",135,179,171,124,511,250,762,235,"1,898","1,628",228
2021년04월_남_10~19세,"11,288",366,326,390,655,"2,470",156,208,314,177,545,214,"1,067",292,"2,853","1,071",184
2021년04월_남_20~29세,"14,244",402,440,619,998,"1,732",346,478,636,508,776,442,"1,513",599,"3,224","1,221",310
2021년04월_남_30~39세,"12,491",331,414,472,782,"1,225",345,432,594,414,722,473,"1,196",485,"2,476","1,806",324
2021년04월_남_40~49세,"16,803",509,548,604,"1,031","2,540",420,581,686,474,930,488,"1,563",569,"3,617","1,790",453
2021년04월_남_50~59세,"15,532",491,483,691,962,"1,971",491,647,751,555,875,477,"1,571",662,"3,190","1,205",510
2021년04월_남_60~69세,"12,988",428,400,622,878,"1,307",404,562,731,577,828,419,"1,293",667,"2,428",836,608
2021년04월_남_70~79세,"7,764",361,292,465,485,634,308,454,454,308,480,299,696,421,"1,414",343,350
2021년04월_남_80~89세,"2,746",136,99,158,204,250,118,158,133,92,193,108,218,127,490,101,161
2021년04월_남_90~99세,248,15,9,16,26,26,9,14,14,6,23,5,8,13,47,8,9
2021년04월_남_100세 이상,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021년04월_여_총인구수,"110,844","3,863","3,599","4,763","7,254","15,398","2,556","3,522","4,252","3,241","6,497","3,272","10,493","4,128","24,199","10,625","3,182"
2021년04월_여_연령구간인구수,"110,844","3,863","3,599","4,763","7,254","15,398","2,556","3,522","4,252","3,241","6,497","3,272","10,493","4,128","24,199","10,625","3,182"
2021년04월_여_0~9세,"8,396",235,261,227,392,"1,465",133,175,168,121,461,214,724,247,"1,912","1,489",172
2021년04월_여_10~19세,"11,312",373,344,374,661,"2,436",123,188,265,169,580,226,"1,020",284,"3,020","1,045",204
2021년04월_여_20~29세,"13,421",404,404,604,983,"1,579",312,358,530,444,728,526,"1,459",500,"3,156","1,204",230
2021년04월_여_30~39세,"12,627",347,429,415,758,"1,537",286,349,448,318,739,435,"1,155",406,"2,778","1,966",261
2021년04월_여_40~49세,"17,264",536,558,621,"1,088","3,090",318,376,507,345,954,405,"1,608",539,"4,138","1,822",359
2021년04월_여_50~59세,"17,236",615,514,796,"1,169","2,303",387,555,738,615,"1,014",468,"1,806",744,"3,665","1,376",471
2021년04월_여_60~69세,"15,334",586,529,793,"1,066","1,620",434,607,809,649,"1,033",489,"1,453",740,"2,928","1,018",580
2021년04월_여_70~79세,"9,615",494,370,589,660,816,370,591,518,380,647,340,844,460,"1,666",408,462
2021년04월_여_80~89세,"4,706",230,167,289,395,452,169,273,230,171,279,142,349,179,780,229,372
2021년04월_여_90~99세,899,43,19,53,79,98,24,50,37,29,60,26,72,28,149,66,66
2021년04월_여_100세 이상,34,0,4,2,3,2,0,0,2,0,2,1,3,1,7,2,5
