,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2021년03월_계_총인구수,"464,900","40,642","37,880","26,036","17,455","25,370","22,540","34,959","15,343","18,130","27,174","33,849","26,428","20,191","24,057","23,364","46,160",134,"25,188"
2021년03월_계_연령구간인구수,"464,900","40,642","37,880","26,036","17,455","25,370","22,540","34,959","15,343","18,130","27,174","33,849","26,428","20,191","24,057","23,364","46,160",134,"25,188"
2021년03월_계_0~9세,"35,517","3,790","4,988","2,116","1,148","2,929","2,586","2,145","1,404","1,970","1,417","1,670","1,290","1,571","1,070","1,246","2,455",3,"1,719"
2021년03월_계_10~19세,"39,253","4,906","3,881","2,473","2,494","3,473","1,966","2,567",994,"1,919","1,748","1,814","1,275","1,728","1,191","1,771","2,952",7,"2,094"
2021년03월_계_20~29세,"61,769","4,787","3,944","3,201","2,251","2,367","2,409","4,823","2,002","1,964","3,793","4,889","4,278","2,759","3,961","3,669","7,125",17,"3,530"
2021년03월_계_30~39세,"72,901","5,688","5,993","4,098","1,872","3,353","3,995","5,206","2,877","2,502","4,053","6,147","4,747","3,303","4,291","3,495","7,566",14,"3,701"
2021년03월_계_40~49세,"74,949","6,671","6,972","4,208","3,074","5,386","3,863","5,513","2,394","3,267","4,019","4,910","3,756","3,335","3,403","3,576","6,852",24,"3,726"
2021년03월_계_50~59세,"72,317","5,854","5,310","4,037","2,739","3,432","3,275","5,904","2,240","2,665","4,575","5,607","4,220","3,029","3,794","4,001","7,416",18,"4,201"
2021년03월_계_60~69세,"64,685","5,042","4,620","3,619","2,480","2,773","2,831","5,030","1,955","2,359","4,437","5,076","3,976","2,609","3,707","3,285","7,106",32,"3,748"
2021년03월_계_70~79세,"30,912","2,619","1,613","1,610",979,"1,089","1,151","2,721","1,080","1,061","2,265","2,686","2,045","1,336","1,868","1,687","3,366",10,"1,726"
2021년03월_계_80~89세,"10,650","1,066",461,562,330,425,383,906,350,355,741,914,746,448,685,546,"1,113",5,614
2021년03월_계_90~99세,"1,831",210,96,109,84,114,79,136,45,66,122,134,89,71,77,81,198,3,117
2021년03월_계_100세 이상,116,9,2,3,4,29,2,8,2,2,4,2,6,2,10,7,11,1,12
2021년03월_남_총인구수,"228,609","19,511","18,692","12,695","8,635","12,893","11,371","17,359","7,429","8,878","13,367","16,723","12,937","9,782","11,813","11,477","22,547",76,"12,424"
2021년03월_남_연령구간인구수,"228,609","19,511","18,692","12,695","8,635","12,893","11,371","17,359","7,429","8,878","13,367","16,723","12,937","9,782","11,813","11,477","22,547",76,"12,424"
2021년03월_남_0~9세,"18,432","1,962","2,571","1,088",588,"1,554","1,338","1,066",717,"1,012",706,882,694,825,565,649,"1,294",2,919
2021년03월_남_10~19세,"20,661","2,532","1,969","1,290","1,380","1,972","1,029","1,340",482,"1,012",908,944,640,881,584,"1,050","1,536",3,"1,109"
2021년03월_남_20~29세,"30,344","2,347","2,032","1,609","1,143","1,268","1,276","2,527",956,969,"1,889","2,297","1,860","1,367","1,783","1,879","3,357",10,"1,775"
2021년03월_남_30~39세,"36,290","2,700","2,763","2,044",920,"1,563","1,930","2,695","1,432","1,142","2,132","3,170","2,396","1,601","2,263","1,788","3,865",8,"1,878"
