,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년08월_계_총인구수,"60,389","16,705","12,022","1,961","1,572","3,879","2,484","1,771","2,524","2,366","5,457","1,859","2,740","1,522","3,527"
2021년08월_계_연령구간인구수,"60,389","16,705","12,022","1,961","1,572","3,879","2,484","1,771","2,524","2,366","5,457","1,859","2,740","1,522","3,527"
2021년08월_계_0~9세,"2,987","1,214",865,58,36,102,72,39,122,59,184,38,90,30,78
2021년08월_계_10~19세,"4,098","1,536",959,130,30,186,256,49,169,85,338,63,130,48,119
2021년08월_계_20~29세,"4,592","1,636",882,106,90,260,120,90,190,161,458,98,206,77,218
2021년08월_계_30~39세,"4,817","1,767","1,091",108,89,247,133,103,191,118,409,94,175,77,215
2021년08월_계_40~49세,"6,898","2,283","1,710",132,110,373,181,128,275,222,633,143,280,122,306
2021년08월_계_50~59세,"10,647","2,847","2,093",316,290,709,384,282,434,471,"1,059",326,488,279,669
2021년08월_계_60~69세,"12,565","2,799","2,265",421,407,850,580,433,506,547,"1,206",445,673,438,995
2021년08월_계_70~79세,"7,986","1,579","1,318",370,276,654,399,376,364,384,716,359,390,257,544
2021년08월_계_80~89세,"5,106",913,734,271,215,446,331,240,238,282,402,261,264,168,341
2021년08월_계_90~99세,677,129,105,48,29,52,27,30,30,35,51,32,42,26,41
2021년08월_계_100세 이상,16,2,0,1,0,0,1,1,5,2,1,0,2,0,1
2021년08월_남_총인구수,"30,044","8,259","6,036",980,737,"1,997","1,160",865,"1,315","1,193","2,760",918,"1,339",764,"1,721"
2021년08월_남_연령구간인구수,"30,044","8,259","6,036",980,737,"1,997","1,160",865,"1,315","1,193","2,760",918,"1,339",764,"1,721"
2021년08월_남_0~9세,"1,554",629,445,26,15,52,43,27,65,32,94,22,47,17,40
2021년08월_남_10~19세,"2,195",791,523,87,20,123,91,23,105,46,186,42,65,27,66
2021년08월_남_20~29세,"2,641",904,492,60,48,168,72,51,120,102,274,64,104,53,129
2021년08월_남_30~39세,"2,644",920,578,56,53,137,80,70,105,73,240,52,109,49,122
2021년08월_남_40~49세,"3,842","1,198",953,82,68,217,114,73,167,131,354,91,152,74,168
2021년08월_남_50~59세,"5,745","1,476","1,128",176,145,438,197,171,257,272,564,183,261,130,347
2021년08월_남_60~69세,"6,265","1,339","1,099",241,206,439,286,216,260,285,611,225,340,232,486
2021년08월_남_70~79세,"3,490",693,569,160,126,275,178,154,151,154,314,156,175,133,252
2021년08월_남_80~89세,"1,551",282,229,84,50,139,92,75,80,97,116,75,79,47,106
2021년08월_남_90~99세,116,27,20,8,6,9,7,5,5,1,6,8,7,2,5
2021년08월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년08월_여_총인구수,"30,345","8,446","5,986",981,835,"1,882","1,324",906,"1,209","1,173","2,697",941,"1,401",758,"1,806"
2021년08월_여_연령구간인구수,"30,345","8,446","5,986",981,835,"1,882","1,324",906,"1,209","1,173","2,697",941,"1,401",758,"1,806"
2021년08월_여_0~9세,"1,433",585,420,32,21,50,29,12,57,27,90,16,43,13,38
2021년08월_여_10~19세,"1,903",745,436,43,10,63,165,26,64,39,152,21,65,21,53
2021년08월_여_20~29세,"1,951",732,390,46,42,92,48,39,70,59,184,34,102,24,89
2021년08월_여_30~39세,"2,173",847,513,52,36,110,53,33,86,45,169,42,66,28,93
2021년08월_여_40~49세,"3,056","1,085",757,50,42,156,67,55,108,91,279,52,128,48,138
2021년08월_여_50~59세,"4,902","1,371",965,140,145,271,187,111,177,199,495,143,227,149,322
2021년08월_여_60~69세,"6,300","1,460","1,166",180,201,411,294,217,246,262,595,220,333,206,509
2021년08월_여_70~79세,"4,496",886,749,210,150,379,221,222,213,230,402,203,215,124,292
2021년08월_여_80~89세,"3,555",631,505,187,165,307,239,165,158,185,286,186,185,121,235
2021년08월_여_90~99세,561,102,85,40,23,43,20,25,25,34,45,24,35,24,36
2021년08월_여_100세 이상,15,2,0,1,0,0,1,1,5,2,0,0,2,0,1
