카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년09월_계_총인구수,"432,525","5,042","6,959","4,998","3,283","8,062","11,881","38,136","19,654","12,605","13,688","23,447","10,801","6,064","19,076","16,601","16,389","8,019","16,628","14,035","14,516","30,591","14,244","11,513","12,865","2,697","22,622","38,239","29,870"
2020년09월_계_연령구간인구수,"432,525","5,042","6,959","4,998","3,283","8,062","11,881","38,136","19,654","12,605","13,688","23,447","10,801","6,064","19,076","16,601","16,389","8,019","16,628","14,035","14,516","30,591","14,244","11,513","12,865","2,697","22,622","38,239","29,870"
2020년09월_계_0~9세,"34,150",226,285,269,84,574,460,"2,633","1,814",600,944,"2,237",418,552,"1,468","1,139","1,174",328,958,491,"1,024","2,474","1,241",679,523,75,"2,740","4,037","4,703"
2020년09월_계_10~19세,"43,459",200,482,328,126,571,728,"3,843","2,282",961,"1,476","2,348",695,532,"1,508","1,977","1,533",662,"1,422",876,"1,725","4,732","1,749","1,093",838,147,"2,572","4,220","3,833"
2020년09월_계_20~29세,"62,934",996,"1,375",900,507,947,"2,207","7,111","2,615","1,839","2,068","3,089","1,368",749,"2,366","2,502","2,630","1,130","2,372","1,690","2,393","4,812","2,026","1,916","1,974",256,"2,821","5,212","3,063"
2020년09월_계_30~39세,"56,188",961,786,723,404,"1,141","1,707","4,638","2,341","1,403","1,584","3,596","1,009",838,"2,666","1,692","2,068",827,"1,892","1,339","1,730","2,989","1,729","1,270","1,498",222,"3,624","6,064","5,447"
2020년09월_계_40~49세,"68,096",612,918,717,419,"1,184","1,613","5,633","3,153","1,730","1,964","3,820","1,333",967,"2,704","2,565","2,483","1,053","2,272","1,680","2,479","5,863","2,347","1,718","1,624",257,"4,045","6,682","6,261"
2020년09월_계_50~59세,"72,210",702,977,730,580,"1,259","1,919","6,629","3,155","2,217","2,482","3,813","1,866",924,"3,198","3,069","2,682","1,411","2,997","2,700","2,691","5,586","2,467","2,207","2,553",559,"3,352","5,851","3,634"
2020년09월_계_60~69세,"52,625",690,"1,024",653,578,"1,197","1,643","4,384","2,592","2,081","1,884","2,685","2,073",755,"2,750","2,150","2,043","1,296","2,618","2,739","1,456","2,269","1,537","1,513","2,118",556,"1,925","3,582","1,834"
2020년09월_계_70~79세,"29,153",451,736,476,384,873,"1,093","2,323","1,231","1,245",857,"1,330","1,380",512,"1,628","1,022","1,197",920,"1,487","1,636",707,"1,169",737,790,"1,103",377,982,"1,752",755
