,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년09월_계_총인구수,"135,330","6,824","7,182","4,519","47,565","30,499","2,489","32,645","3,607"
2020년09월_계_연령구간인구수,"135,330","6,824","7,182","4,519","47,565","30,499","2,489","32,645","3,607"
2020년09월_계_0~9세,"19,959",184,505,89,"9,254","5,272",62,"4,478",115
2020년09월_계_10~19세,"11,330",302,482,146,"3,791","4,139",65,"2,261",144
2020년09월_계_20~29세,"12,115",660,837,366,"4,006","2,485",204,"3,268",289
2020년09월_계_30~39세,"27,059",584,880,359,"12,486","5,165",206,"7,064",315
2020년09월_계_40~49세,"22,882",715,916,377,"8,069","6,577",211,"5,603",414
2020년09월_계_50~59세,"16,692","1,279","1,118",975,"4,484","3,346",503,"4,238",749
2020년09월_계_60~69세,"15,447","1,643","1,351","1,280","3,622","2,379",614,"3,680",878
2020년09월_계_70~79세,"6,733","1,018",697,595,"1,317",813,411,"1,428",454
2020년09월_계_80~89세,"2,618",380,331,267,446,275,179,537,203
2020년09월_계_90~99세,450,56,58,53,81,47,31,83,41
2020년09월_계_100세 이상,45,3,7,12,9,1,3,5,5
2020년09월_남_총인구수,"69,941","3,772","4,001","2,400","23,860","15,154","1,327","17,524","1,903"
2020년09월_남_연령구간인구수,"69,941","3,772","4,001","2,400","23,860","15,154","1,327","17,524","1,903"
2020년09월_남_0~9세,"10,266",93,266,43,"4,687","2,729",29,"2,358",61
2020년09월_남_10~19세,"5,769",173,262,78,"1,855","2,097",43,"1,188",73
2020년09월_남_20~29세,"6,490",392,550,227,"1,949","1,264",118,"1,818",172
2020년09월_남_30~39세,"13,809",338,506,215,"6,208","2,322",120,"3,908",192
2020년09월_남_40~49세,"12,820",432,561,237,"4,463","3,388",140,"3,347",252
2020년09월_남_50~59세,"8,553",750,646,523,"2,092","1,687",276,"2,183",396
2020년09월_남_60~69세,"7,891",916,731,696,"1,755","1,158",327,"1,859",449
2020년09월_남_70~79세,"3,361",523,353,273,690,397,208,683,234
2020년09월_남_80~89세,892,145,117,93,149,98,59,166,65
2020년09월_남_90~99세,77,9,7,10,9,13,7,13,9
2020년09월_남_100세 이상,13,1,2,5,3,1,0,1,0
2020년09월_여_총인구수,"65,389","3,052","3,181","2,119","23,705","15,345","1,162","15,121","1,704"
2020년09월_여_연령구간인구수,"65,389","3,052","3,181","2,119","23,705","15,345","1,162","15,121","1,704"
2020년09월_여_0~9세,"9,693",91,239,46,"4,567","2,543",33,"2,120",54
2020년09월_여_10~19세,"5,561",129,220,68,"1,936","2,042",22,"1,073",71
2020년09월_여_20~29세,"5,625",268,287,139,"2,057","1,221",86,"1,450",117
2020년09월_여_30~39세,"13,250",246,374,144,"6,278","2,843",86,"3,156",123
2020년09월_여_40~49세,"10,062",283,355,140,"3,606","3,189",71,"2,256",162
2020년09월_여_50~59세,"8,139",529,472,452,"2,392","1,659",227,"2,055",353
2020년09월_여_60~69세,"7,556",727,620,584,"1,867","1,221",287,"1,821",429
2020년09월_여_70~79세,"3,372",495,344,322,627,416,203,745,220
2020년09월_여_80~89세,"1,726",235,214,174,297,177,120,371,138
2020년09월_여_90~99세,373,47,51,43,72,34,24,70,32
2020년09월_여_100세 이상,32,2,5,7,6,0,3,4,5
