카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년03월_계_총인구수,"51,946","24,776","1,782","1,864","2,809","1,613","1,663",881,"1,447","1,150","1,008","3,624","1,790","3,151","4,388"
2020년03월_계_연령구간인구수,"51,946","24,776","1,782","1,864","2,809","1,613","1,663",881,"1,447","1,150","1,008","3,624","1,790","3,151","4,388"
2020년03월_계_0~9세,"2,835","2,074",51,29,114,25,27,20,31,34,27,155,22,66,160
2020년03월_계_10~19세,"4,122","2,638",85,90,188,72,63,36,74,71,37,271,53,150,294
2020년03월_계_20~29세,"4,005","2,279",85,96,251,93,90,46,96,75,49,289,92,181,283
2020년03월_계_30~39세,"4,226","2,610",96,97,192,74,82,36,87,48,42,261,86,184,331
2020년03월_계_40~49세,"6,643","3,874",176,154,342,141,136,58,139,81,74,415,179,302,572
2020년03월_계_50~59세,"9,298","4,327",317,300,510,297,303,131,284,192,190,655,365,594,833
2020년03월_계_60~69세,"9,286","3,567",441,449,561,340,374,188,279,255,221,768,374,692,777
2020년03월_계_70~79세,"6,803","2,169",329,375,396,306,316,211,234,186,199,492,359,581,650
2020년03월_계_80~89세,"4,106","1,079",175,239,213,232,235,134,196,174,145,277,227,343,437
2020년03월_계_90~99세,608,150,27,35,42,33,37,21,26,33,23,41,33,57,50
2020년03월_계_100세 이상,14,9,0,0,0,0,0,0,1,1,1,0,0,1,1
2020년03월_남_총인구수,"26,058","12,395",920,920,"1,475",786,843,386,704,561,508,"1,776",902,"1,615","2,267"
2020년03월_남_연령구간인구수,"26,058","12,395",920,920,"1,475",786,843,386,704,561,508,"1,776",902,"1,615","2,267"
2020년03월_남_0~9세,"1,440","1,053",30,18,61,16,13,10,10,18,10,69,10,33,89
2020년03월_남_10~19세,"2,234","1,445",52,45,98,37,31,17,36,39,23,138,29,82,162
2020년03월_남_20~29세,"2,368","1,315",51,59,161,60,55,23,64,45,32,163,53,107,180
2020년03월_남_30~39세,"2,305","1,339",63,63,108,36,51,18,54,30,30,134,57,125,197
2020년03월_남_40~49세,"3,725","2,029",113,102,203,82,84,33,87,51,44,227,109,202,359
2020년03월_남_50~59세,"5,009","2,215",174,170,289,150,180,68,157,104,117,344,218,339,484
2020년03월_남_60~69세,"4,640","1,719",233,209,292,189,197,86,146,133,121,398,194,356,367
2020년03월_남_70~79세,"2,970",915,148,165,183,130,159,91,93,77,82,221,160,265,281
2020년03월_남_80~89세,"1,249",338,51,83,69,78,60,37,54,56,44,76,69,94,140
2020년03월_남_90~99세,114,24,5,6,11,8,13,3,3,8,4,6,3,12,8
2020년03월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년03월_여_총인구수,"25,888","12,381",862,944,"1,334",827,820,495,743,589,500,"1,848",888,"1,536","2,121"
2020년03월_여_연령구간인구수,"25,888","12,381",862,944,"1,334",827,820,495,743,589,500,"1,848",888,"1,536","2,121"
2020년03월_여_0~9세,"1,395","1,021",21,11,53,9,14,10,21,16,17,86,12,33,71
2020년03월_여_10~19세,"1,888","1,193",33,45,90,35,32,19,38,32,14,133,24,68,132
2020년03월_여_20~29세,"1,637",964,34,37,90,33,35,23,32,30,17,126,39,74,103
2020년03월_여_30~39세,"1,921","1,271",33,34,84,38,31,18,33,18,12,127,29,59,134
2020년03월_여_40~49세,"2,918","1,845",63,52,139,59,52,25,52,30,30,188,70,100,213
2020년03월_여_50~59세,"4,289","2,112",143,130,221,147,123,63,127,88,73,311,147,255,349
2020년03월_여_60~69세,"4,646","1,848",208,240,269,151,177,102,133,122,100,370,180,336,410
2020년03월_여_70~79세,"3,833","1,254",181,210,213,176,157,120,141,109,117,271,199,316,369
2020년03월_여_80~89세,"2,857",741,124,156,144,154,175,97,142,118,101,201,158,249,297
2020년03월_여_90~99세,494,126,22,29,31,25,24,18,23,25,19,35,30,45,42
2020년03월_여_100세 이상,10,6,0,0,0,0,0,0,1,1,0,0,0,1,1
