,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2021년12월_계_총인구수,"320,087","7,436","6,654","46,832","15,557","18,941","25,378","29,828","2,745","31,219","27,379","3,846","3,485","53,423","47,364"
2021년12월_계_연령구간인구수,"320,087","7,436","6,654","46,832","15,557","18,941","25,378","29,828","2,745","31,219","27,379","3,846","3,485","53,423","47,364"
2021년12월_계_0~9세,"32,803",306,278,"3,958",914,"1,042","1,914","4,203",76,"5,008","3,863",121,137,"4,888","6,095"
2021년12월_계_10~19세,"28,465",391,377,"3,892","1,000","1,054","2,453","3,110",135,"2,969","2,830",187,175,"4,457","5,435"
2021년12월_계_20~29세,"38,289",878,971,"5,114","2,033","2,370","3,124","3,167",336,"3,173","2,921",457,445,"9,345","3,955"
2021년12월_계_30~39세,"53,476",991,"1,076","6,956","2,183","2,914","3,306","5,049",377,"6,023","4,786",413,447,"11,945","7,010"
2021년12월_계_40~49세,"57,481",941,908,"7,512","2,114","2,467","4,307","6,179",352,"5,836","5,361",484,426,"10,035","10,559"
2021년12월_계_50~59세,"45,575","1,418","1,187","7,124","2,734","3,299","4,157","3,881",566,"3,799","3,918",764,680,"6,037","6,011"
2021년12월_계_60~69세,"39,037","1,578","1,098","7,268","2,810","3,530","3,601","2,694",536,"2,726","2,574",803,713,"4,103","5,003"
2021년12월_계_70~79세,"17,366",605,530,"3,530","1,229","1,567","1,743","1,045",232,"1,156",811,372,293,"1,882","2,371"
2021년12월_계_80~89세,"6,445",259,197,"1,284",473,605,659,395,116,440,260,212,155,610,780
2021년12월_계_90~99세,"1,112",69,32,185,63,91,113,99,19,84,54,31,13,119,140
2021년12월_계_100세 이상,38,0,0,9,4,2,1,6,0,5,1,2,1,2,5
2021년12월_남_총인구수,"160,163","4,112","3,445","23,127","7,912","9,552","12,621","14,719","1,518","15,625","13,410","2,180","1,985","26,631","23,326"
2021년12월_남_연령구간인구수,"160,163","4,112","3,445","23,127","7,912","9,552","12,621","14,719","1,518","15,625","13,410","2,180","1,985","26,631","23,326"
2021년12월_남_0~9세,"16,819",153,150,"2,031",477,530,"1,036","2,091",42,"2,593","1,944",61,65,"2,538","3,108"
2021년12월_남_10~19세,"14,363",199,192,"2,001",540,543,"1,228","1,544",74,"1,491","1,404",103,92,"2,185","2,767"
2021년12월_남_20~29세,"19,192",533,521,"2,603","1,121","1,286","1,652","1,593",196,"1,584","1,433",260,256,"4,157","1,997"
2021년12월_남_30~39세,"26,941",573,643,"3,601","1,191","1,614","1,709","2,330",227,"2,874","2,173",243,280,"6,284","3,199"
2021년12월_남_40~49세,"29,884",587,501,"3,801","1,113","1,315","2,166","3,193",196,"3,059","2,697",299,269,"5,254","5,434"
2021년12월_남_50~59세,"22,873",807,596,"3,386","1,315","1,612","2,043","1,939",324,"1,929","1,905",488,396,"3,105","3,028"
2021년12월_남_60~69세,"18,878",844,536,"3,420","1,333","1,681","1,677","1,314",298,"1,344","1,322",448,414,"1,918","2,329"
2021년12월_남_70~79세,"8,617",307,234,"1,723",606,760,831,554,112,587,431,182,149,958,"1,183"
2021년12월_남_80~89세,"2,349",95,67,508,199,198,256,138,41,148,87,92,61,207,252
2021년12월_남_90~99세,242,14,5,50,16,12,23,23,8,16,14,4,3,25,29
2021년12월_남_100세 이상,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"159,924","3,324","3,209","23,705","7,645","9,389","12,757","15,109","1,227","15,594","13,969","1,666","1,500","26,792","24,038"
2021년12월_여_연령구간인구수,"159,924","3,324","3,209","23,705","7,645","9,389","12,757","15,109","1,227","15,594","13,969","1,666","1,500","26,792","24,038"
2021년12월_여_0~9세,"15,984",153,128,"1,927",437,512,878,"2,112",34,"2,415","1,919",60,72,"2,350","2,987"
2021년12월_여_10~19세,"14,102",192,185,"1,891",460,511,"1,225","1,566",61,"1,478","1,426",84,83,"2,272","2,668"
2021년12월_여_20~29세,"19,097",345,450,"2,511",912,"1,084","1,472","1,574",140,"1,589","1,488",197,189,"5,188","1,958"
2021년12월_여_30~39세,"26,535",418,433,"3,355",992,"1,300","1,597","2,719",150,"3,149","2,613",170,167,"5,661","3,811"
2021년12월_여_40~49세,"27,597",354,407,"3,711","1,001","1,152","2,141","2,986",156,"2,777","2,664",185,157,"4,781","5,125"
2021년12월_여_50~59세,"22,702",611,591,"3,738","1,419","1,687","2,114","1,942",242,"1,870","2,013",276,284,"2,932","2,983"
2021년12월_여_60~69세,"20,159",734,562,"3,848","1,477","1,849","1,924","1,380",238,"1,382","1,252",355,299,"2,185","2,674"
2021년12월_여_70~79세,"8,749",298,296,"1,807",623,807,912,491,120,569,380,190,144,924,"1,188"
2021년12월_여_80~89세,"4,096",164,130,776,274,407,403,257,75,292,173,120,94,403,528
2021년12월_여_90~99세,870,55,27,135,47,79,90,76,11,68,40,27,10,94,111
2021년12월_여_100세 이상,33,0,0,6,3,1,1,6,0,5,1,2,1,2,5
