카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년10월_계_총인구수,"575,370","41,773","24,234","20,385","30,680","51,876","17,890","21,539","20,570","34,266","24,887","24,467","34,013","14,118","15,145","36,271","43,015","30,856","43,099","23,383","22,903"
2021년10월_계_연령구간인구수,"575,370","41,773","24,234","20,385","30,680","51,876","17,890","21,539","20,570","34,266","24,887","24,467","34,013","14,118","15,145","36,271","43,015","30,856","43,099","23,383","22,903"
2021년10월_계_0~9세,"37,142","3,972","1,233","1,208","1,647","2,461","1,084","1,176","1,045","1,986","1,153","1,191","1,588",467,685,"3,049","3,527","3,421","3,804","1,206","1,239"
2021년10월_계_10~19세,"43,617","4,433","1,266","1,543","1,897","2,391","1,362","1,636","1,316","2,335","1,606","1,524","1,796",437,531,"4,857","5,479","2,149","4,239","1,389","1,431"
2021년10월_계_20~29세,"86,103","5,620","5,030","3,096","3,823","9,553","2,571","3,226","2,866","6,019","4,419","3,869","8,241","1,588","1,664","4,518","5,165","4,016","5,077","3,329","2,413"
2021년10월_계_30~39세,"97,968","7,223","6,125","3,458","4,581","10,393","2,820","3,118","3,197","6,357","4,257","3,998","8,571","2,313","3,072","4,092","5,210","5,650","6,169","3,803","3,561"
2021년10월_계_40~49세,"89,476","7,582","3,222","2,985","3,833","7,434","3,010","3,203","3,220","5,403","3,526","3,822","4,560","1,425","1,850","6,916","8,358","5,052","7,494","3,233","3,348"
2021년10월_계_50~59세,"84,460","5,954","3,078","3,286","5,082","7,254","2,798","3,206","3,293","4,800","3,879","3,680","4,103","1,995","2,171","5,747","6,664","4,149","6,343","3,514","3,464"
2021년10월_계_60~69세,"79,216","4,387","2,323","2,888","5,472","7,200","2,464","3,452","3,265","4,408","3,723","3,584","3,408","3,321","2,788","3,986","5,100","3,730","5,881","3,807","4,029"
2021년10월_계_70~79세,"39,328","1,807","1,115","1,367","2,550","3,788","1,322","1,824","1,676","2,104","1,638","2,076","1,158","1,632","1,571","2,172","2,587","1,827","2,841","2,058","2,215"
2021년10월_계_80~89세,"15,451",693,699,464,"1,486","1,230",400,603,605,736,588,636,499,804,694,790,796,742,"1,075",912,999
2021년10월_계_90~99세,"2,514",98,137,90,297,162,59,87,86,114,96,83,84,134,116,139,124,116,169,128,195
2021년10월_계_100세 이상,95,4,6,0,12,10,0,8,1,4,2,4,5,2,3,5,5,4,7,4,9
2021년10월_남_총인구수,"277,041","20,250","11,270","9,979","14,549","25,199","8,692","10,322","10,075","16,606","12,049","11,785","15,572","6,670","7,033","17,170","20,565","15,569","21,006","11,563","11,117"
2021년10월_남_연령구간인구수,"277,041","20,250","11,270","9,979","14,549","25,199","8,692","10,322","10,075","16,606","12,049","11,785","15,572","6,670","7,033","17,170","20,565","15,569","21,006","11,563","11,117"
2021년10월_남_0~9세,"18,877","2,038",621,642,849,"1,242",534,632,535,"1,011",586,607,836,232,336,"1,558","1,753","1,756","1,867",624,618
2021년10월_남_10~19세,"22,309","2,256",718,866,983,"1,219",687,836,696,"1,245",904,774,895,232,273,"2,337","2,678","1,101","2,137",715,757
2021년10월_남_20~29세,"39,565","2,605","1,984","1,533","1,920","4,290","1,281","1,484","1,452","2,786","2,023","1,887","2,783",713,790,"2,239","2,418","2,048","2,466","1,621","1,242"
2021년10월_남_30~39세,"49,392","3,395","2,959","1,758","2,359","5,510","1,477","1,561","1,682","3,340","2,140","2,102","4,223","1,164","1,519","1,932","2,500","2,875","3,014","2,027","1,855"
2021년10월_남_40~49세,"44,985","3,720","1,611","1,479","1,833","3,924","1,523","1,547","1,670","2,762","1,796","1,927","2,396",732,986,"3,263","3,909","2,699","3,797","1,717","1,694"
2021년10월_남_50~59세,"40,612","2,932","1,477","1,502","2,340","3,458","1,339","1,528","1,581","2,282","1,817","1,695","1,957",935,"1,020","2,771","3,317","2,097","3,112","1,771","1,681"
2021년10월_남_60~69세,"36,627","2,160","1,093","1,324","2,550","3,215","1,056","1,595","1,440","1,930","1,734","1,551","1,708","1,644","1,226","1,774","2,368","1,803","2,781","1,791","1,884"
2021년10월_남_70~79세,"18,441",851,498,684,"1,169","1,826",625,903,765,941,812,963,566,748,648,967,"1,266",872,"1,391",942,"1,004"
2021년10월_남_80~89세,"5,646",266,265,175,460,474,162,215,235,288,219,259,182,242,214,305,328,299,397,325,336
2021년10월_남_90~99세,561,26,40,16,83,37,8,19,19,21,18,19,24,27,20,24,27,18,43,28,44
2021년10월_남_100세 이상,26,1,4,0,3,4,0,2,0,0,0,1,2,1,1,0,1,1,1,2,2
2021년10월_여_총인구수,"298,329","21,523","12,964","10,406","16,131","26,677","9,198","11,217","10,495","17,660","12,838","12,682","18,441","7,448","8,112","19,101","22,450","15,287","22,093","11,820","11,786"
2021년10월_여_연령구간인구수,"298,329","21,523","12,964","10,406","16,131","26,677","9,198","11,217","10,495","17,660","12,838","12,682","18,441","7,448","8,112","19,101","22,450","15,287","22,093","11,820","11,786"
2021년10월_여_0~9세,"18,265","1,934",612,566,798,"1,219",550,544,510,975,567,584,752,235,349,"1,491","1,774","1,665","1,937",582,621
2021년10월_여_10~19세,"21,308","2,177",548,677,914,"1,172",675,800,620,"1,090",702,750,901,205,258,"2,520","2,801","1,048","2,102",674,674
2021년10월_여_20~29세,"46,538","3,015","3,046","1,563","1,903","5,263","1,290","1,742","1,414","3,233","2,396","1,982","5,458",875,874,"2,279","2,747","1,968","2,611","1,708","1,171"
2021년10월_여_30~39세,"48,576","3,828","3,166","1,700","2,222","4,883","1,343","1,557","1,515","3,017","2,117","1,896","4,348","1,149","1,553","2,160","2,710","2,775","3,155","1,776","1,706"
2021년10월_여_40~49세,"44,491","3,862","1,611","1,506","2,000","3,510","1,487","1,656","1,550","2,641","1,730","1,895","2,164",693,864,"3,653","4,449","2,353","3,697","1,516","1,654"
2021년10월_여_50~59세,"43,848","3,022","1,601","1,784","2,742","3,796","1,459","1,678","1,712","2,518","2,062","1,985","2,146","1,060","1,151","2,976","3,347","2,052","3,231","1,743","1,783"
2021년10월_여_60~69세,"42,589","2,227","1,230","1,564","2,922","3,985","1,408","1,857","1,825","2,478","1,989","2,033","1,700","1,677","1,562","2,212","2,732","1,927","3,100","2,016","2,145"
2021년10월_여_70~79세,"20,887",956,617,683,"1,381","1,962",697,921,911,"1,163",826,"1,113",592,884,923,"1,205","1,321",955,"1,450","1,116","1,211"
2021년10월_여_80~89세,"9,805",427,434,289,"1,026",756,238,388,370,448,369,377,317,562,480,485,468,443,678,587,663
2021년10월_여_90~99세,"1,953",72,97,74,214,125,51,68,67,93,78,64,60,107,96,115,97,98,126,100,151
2021년10월_여_100세 이상,69,3,2,0,9,6,0,6,1,4,2,3,3,1,2,5,4,3,6,2,7
