,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년12월_계_총인구수,"539,231","16,663","23,012","21,739","27,270","27,029","13,391","30,126","24,889","37,600","20,461","35,824","36,967","22,085","33,939","6,646","22,235","22,601","44,292","23,916","15,672","17,643","15,231"
2020년12월_계_연령구간인구수,"539,231","16,663","23,012","21,739","27,270","27,029","13,391","30,126","24,889","37,600","20,461","35,824","36,967","22,085","33,939","6,646","22,235","22,601","44,292","23,916","15,672","17,643","15,231"
2020년12월_계_0~9세,"36,766",957,709,"1,124","2,146","2,164",855,"2,422","1,979","1,967",757,"1,044","2,938","1,766","2,929",381,"1,674","1,620","4,494","2,216",750,"1,242",632
2020년12월_계_10~19세,"59,134","1,693",884,"1,316","2,819","2,279","1,283","3,502","5,530","6,402","2,560","1,442","5,571","2,360","4,779",593,"2,527","2,094","4,567","3,386","1,203","1,763",581
2020년12월_계_20~29세,"73,940","2,274","4,640","3,552","3,191","3,808","1,911","3,893","2,468","4,956","3,433","7,545","4,684","2,981","4,016",745,"2,917","3,171","5,374","2,614","2,210","1,943","1,614"
2020년12월_계_30~39세,"81,838","2,383","5,814","4,574","3,386","4,437","1,955","4,974","1,564","3,272","3,364","10,078","5,243","3,227","3,581",690,"2,799","3,484","6,875","2,979","2,266","2,577","2,316"
2020년12월_계_40~49세,"99,266","2,954","3,873","3,825","4,880","4,808","2,179","6,443","6,133","7,294","4,101","6,062","8,669","3,873","6,553",953,"3,691","3,775","7,805","4,546","2,149","3,048","1,652"
2020년12월_계_50~59세,"80,350","2,495","2,826","2,974","4,112","3,993","2,166","4,144","3,811","6,734","3,219","4,236","4,846","3,508","5,476","1,084","3,839","3,786","6,014","3,717","2,512","2,601","2,257"
2020년12월_계_60~69세,"59,423","1,788","2,309","2,234","3,157","2,999","1,694","2,453","1,928","4,161","1,579","3,048","2,585","2,564","3,564","1,205","3,011","2,919","4,969","2,860","2,551","2,490","3,355"
2020년12월_계_70~79세,"34,167","1,404","1,376","1,544","2,436","1,773",970,"1,692","1,047","2,085","1,081","1,690","1,747","1,233","2,138",695,"1,318","1,290","2,708","1,098","1,395","1,478","1,969"
2020년12월_계_80~89세,"11,813",609,488,487,962,615,301,506,349,598,317,560,565,473,748,240,365,381,"1,224",388,523,422,692
2020년12월_계_90~99세,"2,238",96,73,89,163,123,69,83,66,109,42,94,98,91,140,48,85,73,251,108,106,75,156
2020년12월_계_100세 이상,296,10,20,20,18,30,8,14,14,22,8,25,21,9,15,12,9,8,11,4,7,4,7
2020년12월_남_총인구수,"257,999","7,723","10,820","10,121","12,575","12,637","6,617","14,344","12,523","19,124","9,647","17,338","17,320","10,462","15,781","3,219","10,743","11,025","21,035","11,792","7,686","8,553","6,914"
2020년12월_남_연령구간인구수,"257,999","7,723","10,820","10,121","12,575","12,637","6,617","14,344","12,523","19,124","9,647","17,338","17,320","10,462","15,781","3,219","10,743","11,025","21,035","11,792","7,686","8,553","6,914"
2020년12월_남_0~9세,"19,051",507,346,574,"1,025","1,174",464,"1,296","1,069","1,070",388,531,"1,504",853,"1,513",196,850,839,"2,262","1,211",389,666,324
2020년12월_남_10~19세,"30,859",847,422,686,"1,353","1,206",740,"1,919","3,120","3,811","1,369",721,"2,657","1,097","2,081",300,"1,241","1,073","2,233","1,946",673,"1,078",286
2020년12월_남_20~29세,"35,369","1,041","2,100","1,589","1,501","1,723","1,030","1,847","1,263","2,689","1,643","3,210","2,021","1,400","1,859",383,"1,503","1,598","2,590","1,362","1,147","1,044",826
2020년12월_남_30~39세,"37,501","1,052","2,773","2,055","1,448","1,919",912,"2,087",610,"1,510","1,505","5,008","2,249","1,446","1,458",316,"1,318","1,718","3,151","1,365","1,194","1,241","1,166"
2020년12월_남_40~49세,"46,145","1,294","1,865","1,840","2,224","2,210","1,003","2,959","2,706","3,110","1,759","3,104","4,008","1,848","2,933",451,"1,688","1,780","3,843","2,093","1,092","1,466",869
2020년12월_남_50~59세,"40,189","1,231","1,413","1,455","2,019","1,869","1,044","2,114","2,125","3,522","1,624","2,230","2,630","1,705","2,744",541,"1,851","1,872","2,923","1,807","1,203","1,256","1,011"
2020년12월_남_60~69세,"27,192",818,"1,012",952,"1,382","1,375",786,"1,105",919,"2,078",717,"1,439","1,164","1,260","1,705",556,"1,439","1,353","2,229","1,314","1,144","1,057","1,388"
2020년12월_남_70~79세,"16,123",611,655,724,"1,119",844,474,758,531,"1,059",483,808,792,618,"1,089",355,692,611,"1,311",542,656,601,790
2020년12월_남_80~89세,"4,994",293,212,219,459,278,142,240,162,251,150,262,263,201,362,110,147,164,434,135,163,130,217
2020년12월_남_90~99세,519,28,19,21,43,32,20,17,15,22,7,20,30,30,35,10,13,15,55,16,24,14,33
2020년12월_남_100세 이상,57,1,3,6,2,7,2,2,3,2,2,5,2,4,2,1,1,2,4,1,1,0,4
2020년12월_여_총인구수,"281,232","8,940","12,192","11,618","14,695","14,392","6,774","15,782","12,366","18,476","10,814","18,486","19,647","11,623","18,158","3,427","11,492","11,576","23,257","12,124","7,986","9,090","8,317"
2020년12월_여_연령구간인구수,"281,232","8,940","12,192","11,618","14,695","14,392","6,774","15,782","12,366","18,476","10,814","18,486","19,647","11,623","18,158","3,427","11,492","11,576","23,257","12,124","7,986","9,090","8,317"
2020년12월_여_0~9세,"17,715",450,363,550,"1,121",990,391,"1,126",910,897,369,513,"1,434",913,"1,416",185,824,781,"2,232","1,005",361,576,308
2020년12월_여_10~19세,"28,275",846,462,630,"1,466","1,073",543,"1,583","2,410","2,591","1,191",721,"2,914","1,263","2,698",293,"1,286","1,021","2,334","1,440",530,685,295
2020년12월_여_20~29세,"38,571","1,233","2,540","1,963","1,690","2,085",881,"2,046","1,205","2,267","1,790","4,335","2,663","1,581","2,157",362,"1,414","1,573","2,784","1,252","1,063",899,788
2020년12월_여_30~39세,"44,337","1,331","3,041","2,519","1,938","2,518","1,043","2,887",954,"1,762","1,859","5,070","2,994","1,781","2,123",374,"1,481","1,766","3,724","1,614","1,072","1,336","1,150"
2020년12월_여_40~49세,"53,121","1,660","2,008","1,985","2,656","2,598","1,176","3,484","3,427","4,184","2,342","2,958","4,661","2,025","3,620",502,"2,003","1,995","3,962","2,453","1,057","1,582",783
2020년12월_여_50~59세,"40,161","1,264","1,413","1,519","2,093","2,124","1,122","2,030","1,686","3,212","1,595","2,006","2,216","1,803","2,732",543,"1,988","1,914","3,091","1,910","1,309","1,345","1,246"
2020년12월_여_60~69세,"32,231",970,"1,297","1,282","1,775","1,624",908,"1,348","1,009","2,083",862,"1,609","1,421","1,304","1,859",649,"1,572","1,566","2,740","1,546","1,407","1,433","1,967"
