,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년04월_계_총인구수,"1,144,098","221,125","323,230","158,323","218,364","223,056"
2020년04월_계_연령구간인구수,"1,144,098","221,125","323,230","158,323","218,364","223,056"
2020년04월_계_0~9세,"102,596","17,519","24,683","15,710","26,012","18,672"
2020년04월_계_10~19세,"114,667","20,655","31,650","15,702","23,659","23,001"
2020년04월_계_20~29세,"147,252","27,868","46,521","18,116","28,065","26,682"
2020년04월_계_30~39세,"157,147","27,621","43,270","24,357","35,145","26,754"
2020년04월_계_40~49세,"189,852","35,113","52,748","25,727","38,367","37,897"
2020년04월_계_50~59세,"211,109","42,150","62,508","26,512","38,354","41,585"
2020년04월_계_60~69세,"138,280","30,641","39,758","21,594","18,257","28,030"
2020년04월_계_70~79세,"58,029","13,877","15,962","7,843","7,108","13,239"
2020년04월_계_80~89세,"21,970","5,004","5,438","2,381","2,930","6,217"
2020년04월_계_90~99세,"3,035",621,660,357,450,947
2020년04월_계_100세 이상,161,56,32,24,17,32
2020년04월_남_총인구수,"587,902","112,157","164,885","82,795","112,960","115,105"
2020년04월_남_연령구간인구수,"587,902","112,157","164,885","82,795","112,960","115,105"
2020년04월_남_0~9세,"52,778","9,052","12,705","8,081","13,378","9,562"
2020년04월_남_10~19세,"60,493","11,066","16,708","8,281","12,379","12,059"
2020년04월_남_20~29세,"82,510","15,505","25,956","10,199","15,736","15,114"
2020년04월_남_30~39세,"83,171","14,482","22,941","13,440","18,168","14,140"
2020년04월_남_40~49세,"96,509","17,828","25,726","13,917","19,584","19,454"
2020년04월_남_50~59세,"107,601","21,033","31,502","13,059","20,003","22,004"
2020년04월_남_60~69세,"69,833","14,976","19,792","11,037","9,536","14,492"
2020년04월_남_70~79세,"27,354","6,365","7,608","3,979","3,257","6,145"
2020년04월_남_80~89세,"7,124","1,737","1,825",753,845,"1,964"
2020년04월_남_90~99세,498,103,112,45,71,167
2020년04월_남_100세 이상,31,10,10,4,3,4
2020년04월_여_총인구수,"556,196","108,968","158,345","75,528","105,404","107,951"
2020년04월_여_연령구간인구수,"556,196","108,968","158,345","75,528","105,404","107,951"
2020년04월_여_0~9세,"49,818","8,467","11,978","7,629","12,634","9,110"
2020년04월_여_10~19세,"54,174","9,589","14,942","7,421","11,280","10,942"
2020년04월_여_20~29세,"64,742","12,363","20,565","7,917","12,329","11,568"
2020년04월_여_30~39세,"73,976","13,139","20,329","10,917","16,977","12,614"
2020년04월_여_40~49세,"93,343","17,285","27,022","11,810","18,783","18,443"
2020년04월_여_50~59세,"103,508","21,117","31,006","13,453","18,351","19,581"
2020년04월_여_60~69세,"68,447","15,665","19,966","10,557","8,721","13,538"
2020년04월_여_70~79세,"30,675","7,512","8,354","3,864","3,851","7,094"
2020년04월_여_80~89세,"14,846","3,267","3,613","1,628","2,085","4,253"
2020년04월_여_90~99세,"2,537",518,548,312,379,780
2020년04월_여_100세 이상,130,46,22,20,14,28
