카테고리,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년12월_계_총인구수,"137,957","6,848","7,119","4,499","50,325","30,377","2,474","32,625","3,690"
2020년12월_계_연령구간인구수,"137,957","6,848","7,119","4,499","50,325","30,377","2,474","32,625","3,690"
2020년12월_계_0~9세,"20,095",182,498,86,"9,673","5,153",57,"4,334",112
2020년12월_계_10~19세,"11,714",300,470,138,"4,090","4,199",70,"2,308",139
2020년12월_계_20~29세,"12,335",664,829,350,"4,278","2,476",195,"3,249",294
2020년12월_계_30~39세,"27,308",591,871,356,"13,078","5,005",200,"6,885",322
2020년12월_계_40~49세,"23,667",721,891,373,"8,697","6,648",214,"5,689",434
2020년12월_계_50~59세,"16,947","1,275","1,109",941,"4,769","3,341",491,"4,258",763
2020년12월_계_60~69세,"15,847","1,655","1,341","1,302","3,822","2,405",621,"3,792",909
2020년12월_계_70~79세,"6,875","1,018",714,615,"1,358",826,412,"1,467",465
2020년12월_계_80~89세,"2,675",383,333,269,472,280,178,552,208
2020년12월_계_90~99세,447,56,57,54,79,43,33,86,39
2020년12월_계_100세 이상,47,3,6,15,9,1,3,5,5
2020년12월_남_총인구수,"71,245","3,777","3,975","2,395","25,227","15,109","1,320","17,507","1,935"
2020년12월_남_연령구간인구수,"71,245","3,777","3,975","2,395","25,227","15,109","1,320","17,507","1,935"
2020년12월_남_0~9세,"10,326",88,267,44,"4,882","2,677",27,"2,284",57
2020년12월_남_10~19세,"5,949",171,253,71,"2,003","2,125",46,"1,211",69
2020년12월_남_20~29세,"6,631",399,542,225,"2,086","1,269",114,"1,818",178
2020년12월_남_30~39세,"13,920",337,506,211,"6,487","2,250",120,"3,810",199
2020년12월_남_40~49세,"13,222",439,543,234,"4,796","3,414",142,"3,391",263
2020년12월_남_50~59세,"8,688",748,641,503,"2,246","1,692",267,"2,199",392
2020년12월_남_60~69세,"8,060",916,728,709,"1,845","1,161",328,"1,910",463
2020년12월_남_70~79세,"3,462",527,366,292,709,413,211,703,241
2020년12월_남_80~89세,894,142,119,90,159,95,57,166,66
2020년12월_남_90~99세,80,9,8,11,11,12,8,14,7
2020년12월_남_100세 이상,13,1,2,5,3,1,0,1,0
2020년12월_여_총인구수,"66,712","3,071","3,144","2,104","25,098","15,268","1,154","15,118","1,755"
2020년12월_여_연령구간인구수,"66,712","3,071","3,144","2,104","25,098","15,268","1,154","15,118","1,755"
2020년12월_여_0~9세,"9,769",94,231,42,"4,791","2,476",30,"2,050",55
2020년12월_여_10~19세,"5,765",129,217,67,"2,087","2,074",24,"1,097",70
2020년12월_여_20~29세,"5,704",265,287,125,"2,192","1,207",81,"1,431",116
2020년12월_여_30~39세,"13,388",254,365,145,"6,591","2,755",80,"3,075",123
2020년12월_여_40~49세,"10,445",282,348,139,"3,901","3,234",72,"2,298",171
2020년12월_여_50~59세,"8,259",527,468,438,"2,523","1,649",224,"2,059",371
2020년12월_여_60~69세,"7,787",739,613,593,"1,977","1,244",293,"1,882",446
2020년12월_여_70~79세,"3,413",491,348,323,649,413,201,764,224
2020년12월_여_80~89세,"1,781",241,214,179,313,185,121,386,142
2020년12월_여_90~99세,367,47,49,43,68,31,25,72,32
2020년12월_여_100세 이상,34,2,4,10,6,0,3,4,5
