카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020년02월_계_총인구수,"43,526","6,600","4,589","6,103","13,842","3,957","3,548","2,708","2,179"
2020년02월_계_연령구간인구수,"43,526","6,600","4,589","6,103","13,842","3,957","3,548","2,708","2,179"
2020년02월_계_0~9세,"2,805",523,219,429,"1,198",174,132,86,44
2020년02월_계_10~19세,"3,967",618,331,522,"1,673",280,227,211,105
2020년02월_계_20~29세,"3,770",620,352,402,"1,490",276,316,170,144
2020년02월_계_30~39세,"4,121",650,330,606,"1,659",304,279,160,133
2020년02월_계_40~49세,"6,622",974,631,952,"2,622",541,393,301,208
2020년02월_계_50~59세,"7,581","1,135",857,"1,003","2,179",768,791,452,396
2020년02월_계_60~69세,"7,486","1,089",978,"1,047","1,686",900,683,609,494
2020년02월_계_70~79세,"4,860",665,631,773,929,496,460,492,414
2020년02월_계_80~89세,"2,007",275,214,321,358,193,234,204,208
2020년02월_계_90~99세,248,39,38,40,41,20,26,19,25
2020년02월_계_100세 이상,59,12,8,8,7,5,7,4,8
2020년02월_남_총인구수,"21,991","3,278","2,351","3,075","6,992","1,989","1,762","1,410","1,134"
2020년02월_남_연령구간인구수,"21,991","3,278","2,351","3,075","6,992","1,989","1,762","1,410","1,134"
2020년02월_남_0~9세,"1,432",274,111,223,594,93,65,49,23
2020년02월_남_10~19세,"2,082",333,185,261,873,125,110,135,60
2020년02월_남_20~29세,"2,133",360,204,241,824,141,181,102,80
2020년02월_남_30~39세,"2,161",331,184,298,840,174,162,86,86
2020년02월_남_40~49세,"3,535",498,354,534,"1,348",298,204,183,116
2020년02월_남_50~59세,"4,022",565,457,569,"1,140",398,421,249,223
2020년02월_남_60~69세,"3,663",509,492,477,825,447,344,309,260
2020년02월_남_70~79세,"2,160",292,273,346,416,228,195,218,192
2020년02월_남_80~89세,727,100,82,115,121,81,76,72,80
2020년02월_남_90~99세,51,10,6,8,6,2,2,5,12
2020년02월_남_100세 이상,25,6,3,3,5,2,2,2,2
2020년02월_여_총인구수,"21,535","3,322","2,238","3,028","6,850","1,968","1,786","1,298","1,045"
2020년02월_여_연령구간인구수,"21,535","3,322","2,238","3,028","6,850","1,968","1,786","1,298","1,045"
2020년02월_여_0~9세,"1,373",249,108,206,604,81,67,37,21
2020년02월_여_10~19세,"1,885",285,146,261,800,155,117,76,45
2020년02월_여_20~29세,"1,637",260,148,161,666,135,135,68,64
2020년02월_여_30~39세,"1,960",319,146,308,819,130,117,74,47
2020년02월_여_40~49세,"3,087",476,277,418,"1,274",243,189,118,92
2020년02월_여_50~59세,"3,559",570,400,434,"1,039",370,370,203,173
2020년02월_여_60~69세,"3,823",580,486,570,861,453,339,300,234
2020년02월_여_70~79세,"2,700",373,358,427,513,268,265,274,222
2020년02월_여_80~89세,"1,280",175,132,206,237,112,158,132,128
2020년02월_여_90~99세,197,29,32,32,35,18,24,14,13
2020년02월_여_100세 이상,34,6,5,5,2,3,5,2,6
