,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2020년06월_계_총인구수,"100,647","6,328","1,659","2,196","1,646","1,147",0,"3,602","2,666","3,966","5,211","2,456","1,773","2,324","5,352","14,630","6,983","16,773","15,363","6,572"
2020년06월_계_연령구간인구수,"100,647","6,328","1,659","2,196","1,646","1,147",0,"3,602","2,666","3,966","5,211","2,456","1,773","2,324","5,352","14,630","6,983","16,773","15,363","6,572"
2020년06월_계_0~9세,"6,364",151,42,47,61,31,0,124,72,132,144,51,54,77,194,"1,132",522,"1,739","1,527",264
2020년06월_계_10~19세,"8,489",342,119,126,99,69,0,193,112,221,275,95,59,126,357,"1,503",632,"1,993","1,761",407
2020년06월_계_20~29세,"9,616",455,188,127,136,65,0,234,149,273,390,116,100,171,473,"1,696",762,"1,995","1,741",545
2020년06월_계_30~39세,"9,667",361,84,130,130,66,0,233,151,217,300,109,86,163,411,"1,599",772,"2,384","1,899",572
2020년06월_계_40~49세,"14,185",643,171,267,221,114,0,358,222,381,501,207,148,262,709,"2,356","1,139","3,006","2,693",787
2020년06월_계_50~59세,"17,332","1,161",278,409,323,230,0,630,419,709,994,372,279,469,979,"2,498","1,165","2,613","2,500","1,304"
2020년06월_계_60~69세,"16,623","1,460",376,489,359,253,0,795,585,869,"1,131",541,412,509,"1,036","2,016",958,"1,704","1,749","1,381"
2020년06월_계_70~79세,"11,187","1,045",250,352,176,181,0,576,521,668,845,525,366,363,725,"1,220",655,888,978,853
2020년06월_계_80~89세,"6,234",601,127,210,124,120,0,413,381,439,522,375,227,160,409,542,342,404,440,398
2020년06월_계_90~99세,890,106,24,39,16,18,0,45,53,52,101,63,42,19,57,59,32,43,63,58
2020년06월_계_100세 이상,60,3,0,0,1,0,0,1,1,5,8,2,0,5,2,9,4,4,12,3
2020년06월_남_총인구수,"50,987","3,227",873,"1,158",884,613,0,"1,861","1,322","2,001","2,626","1,201",917,"1,159","2,792","7,388","3,504","8,429","7,604","3,428"
2020년06월_남_연령구간인구수,"50,987","3,227",873,"1,158",884,613,0,"1,861","1,322","2,001","2,626","1,201",917,"1,159","2,792","7,388","3,504","8,429","7,604","3,428"
2020년06월_남_0~9세,"3,207",76,18,17,34,14,0,60,43,71,84,38,30,44,99,580,251,867,755,126
2020년06월_남_10~19세,"4,412",179,66,61,52,42,0,105,69,115,134,44,35,70,186,757,327,"1,029",932,209
2020년06월_남_20~29세,"5,626",292,141,73,88,38,0,141,85,157,228,73,63,97,293,988,423,"1,149",959,338
2020년06월_남_30~39세,"5,214",221,43,83,73,44,0,147,89,131,169,62,49,91,249,856,421,"1,191",946,349
2020년06월_남_40~49세,"7,780",377,107,173,142,77,0,208,132,233,285,125,109,158,430,"1,216",594,"1,559","1,354",501
2020년06월_남_50~59세,"9,241",640,154,257,186,142,0,357,236,380,560,203,151,263,536,"1,266",617,"1,310","1,281",702
2020년06월_남_60~69세,"8,114",728,197,240,182,128,0,404,294,444,581,269,219,230,497,960,453,811,813,664
2020년06월_남_70~79세,"4,987",479,107,168,84,84,0,287,238,304,378,231,170,151,350,544,275,370,404,363
2020년06월_남_80~89세,"2,198",205,36,76,39,41,0,146,124,156,183,135,82,51,142,203,136,134,145,164
2020년06월_남_90~99세,195,28,4,10,4,3,0,6,12,9,23,20,9,4,10,16,6,8,11,12
2020년06월_남_100세 이상,13,2,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0
2020년06월_여_총인구수,"49,660","3,101",786,"1,038",762,534,0,"1,741","1,344","1,965","2,585","1,255",856,"1,165","2,560","7,242","3,479","8,344","7,759","3,144"
2020년06월_여_연령구간인구수,"49,660","3,101",786,"1,038",762,534,0,"1,741","1,344","1,965","2,585","1,255",856,"1,165","2,560","7,242","3,479","8,344","7,759","3,144"
2020년06월_여_0~9세,"3,157",75,24,30,27,17,0,64,29,61,60,13,24,33,95,552,271,872,772,138
2020년06월_여_10~19세,"4,077",163,53,65,47,27,0,88,43,106,141,51,24,56,171,746,305,964,829,198
2020년06월_여_20~29세,"3,990",163,47,54,48,27,0,93,64,116,162,43,37,74,180,708,339,846,782,207
2020년06월_여_30~39세,"4,453",140,41,47,57,22,0,86,62,86,131,47,37,72,162,743,351,"1,193",953,223
2020년06월_여_40~49세,"6,405",266,64,94,79,37,0,150,90,148,216,82,39,104,279,"1,140",545,"1,447","1,339",286
2020년06월_여_50~59세,"8,091",521,124,152,137,88,0,273,183,329,434,169,128,206,443,"1,232",548,"1,303","1,219",602
2020년06월_여_60~69세,"8,509",732,179,249,177,125,0,391,291,425,550,272,193,279,539,"1,056",505,893,936,717
2020년06월_여_70~79세,"6,200",566,143,184,92,97,0,289,283,364,467,294,196,212,375,676,380,518,574,490
2020년06월_여_80~89세,"4,036",396,91,134,85,79,0,267,257,283,339,240,145,109,267,339,206,270,295,234
2020년06월_여_90~99세,695,78,20,29,12,15,0,39,41,43,78,43,33,15,47,43,26,35,52,46
2020년06월_여_100세 이상,47,1,0,0,1,0,0,1,1,4,7,1,0,5,2,7,3,3,8,3
