,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년08월_계_총인구수,"46,635","21,000","4,464","3,159","5,866","2,407","2,389","3,484","2,112","1,754"
2021년08월_계_연령구간인구수,"46,635","21,000","4,464","3,159","5,866","2,407","2,389","3,484","2,112","1,754"
2021년08월_계_0~9세,"2,114","1,443",121,68,243,36,30,71,65,37
2021년08월_계_10~19세,"3,552","1,989",197,593,391,72,66,109,63,72
2021년08월_계_20~29세,"3,745","2,290",364,128,357,139,100,187,110,70
2021년08월_계_30~39세,"3,319","1,998",241,117,405,101,92,162,130,73
2021년08월_계_40~49세,"4,978","2,942",401,182,604,163,157,257,146,126
2021년08월_계_50~59세,"8,561","3,681",850,535,"1,164",461,481,678,372,339
2021년08월_계_60~69세,"10,885","3,529","1,195",834,"1,501",744,782,"1,060",676,564
2021년08월_계_70~79세,"5,491","1,783",647,417,694,386,403,526,311,324
2021년08월_계_80~89세,"3,418","1,123",388,240,451,264,237,366,208,141
2021년08월_계_90~99세,543,211,58,43,50,38,40,68,28,7
2021년08월_계_100세 이상,29,11,2,2,6,3,1,0,3,1
2021년08월_남_총인구수,"23,922","10,575","2,343","1,616","3,048","1,251","1,214","1,820","1,131",924
2021년08월_남_연령구간인구수,"23,922","10,575","2,343","1,616","3,048","1,251","1,214","1,820","1,131",924
2021년08월_남_0~9세,"1,112",754,62,41,124,21,12,37,40,21
2021년08월_남_10~19세,"1,855","1,016",105,313,213,35,37,55,33,48
2021년08월_남_20~29세,"2,134","1,258",237,80,204,71,60,111,67,46
2021년08월_남_30~39세,"1,740","1,007",128,57,228,53,52,100,77,38
2021년08월_남_40~49세,"2,775","1,582",231,98,346,96,93,165,92,72
2021년08월_남_50~59세,"4,529","1,926",461,277,621,250,250,362,200,182
2021년08월_남_60~69세,"5,698","1,786",628,442,788,400,428,563,369,294
2021년08월_남_70~79세,"2,684",787,337,207,341,203,203,275,169,162
2021년08월_남_80~89세,"1,269",406,138,93,174,114,72,139,74,59
2021년08월_남_90~99세,122,52,16,8,9,6,7,13,9,2
2021년08월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년08월_여_총인구수,"22,713","10,425","2,121","1,543","2,818","1,156","1,175","1,664",981,830
2021년08월_여_연령구간인구수,"22,713","10,425","2,121","1,543","2,818","1,156","1,175","1,664",981,830
2021년08월_여_0~9세,"1,002",689,59,27,119,15,18,34,25,16
2021년08월_여_10~19세,"1,697",973,92,280,178,37,29,54,30,24
2021년08월_여_20~29세,"1,611","1,032",127,48,153,68,40,76,43,24
2021년08월_여_30~39세,"1,579",991,113,60,177,48,40,62,53,35
2021년08월_여_40~49세,"2,203","1,360",170,84,258,67,64,92,54,54
2021년08월_여_50~59세,"4,032","1,755",389,258,543,211,231,316,172,157
2021년08월_여_60~69세,"5,187","1,743",567,392,713,344,354,497,307,270
2021년08월_여_70~79세,"2,807",996,310,210,353,183,200,251,142,162
2021년08월_여_80~89세,"2,149",717,250,147,277,150,165,227,134,82
2021년08월_여_90~99세,421,159,42,35,41,32,33,55,19,5
2021년08월_여_100세 이상,25,10,2,2,6,1,1,0,2,1
