카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년05월_계_총인구수,"46,442","20,391","3,253","4,291","2,236","1,917","2,363","3,163",983,"2,797","1,831","3,217"
2021년05월_계_연령구간인구수,"46,442","20,391","3,253","4,291","2,236","1,917","2,363","3,163",983,"2,797","1,831","3,217"
2021년05월_계_0~9세,"2,220","1,468",98,166,44,49,67,100,26,76,34,92
2021년05월_계_10~19세,"3,257","1,981",147,294,102,90,107,171,52,103,75,135
2021년05월_계_20~29세,"4,120","2,502",221,274,140,114,105,286,41,153,102,182
2021년05월_계_30~39세,"3,116","1,882",158,256,87,74,101,171,31,114,65,177
2021년05월_계_40~49세,"5,119","2,936",297,406,206,151,178,263,69,191,163,259
2021년05월_계_50~59세,"8,169","3,441",628,781,431,341,378,610,193,477,327,562
2021년05월_계_60~69세,"9,542","3,100",823,"1,003",544,482,613,720,248,755,433,821
2021년05월_계_70~79세,"6,411","1,952",483,662,406,321,467,495,173,519,353,580
2021년05월_계_80~89세,"3,951","1,011",350,407,239,264,293,316,131,345,230,365
2021년05월_계_90~99세,524,114,46,42,37,30,51,31,18,62,49,44
2021년05월_계_100세 이상,13,4,2,0,0,1,3,0,1,2,0,0
2021년05월_남_총인구수,"23,171","10,078","1,665","2,162","1,110",951,"1,162","1,608",491,"1,409",915,"1,620"
2021년05월_남_연령구간인구수,"23,171","10,078","1,665","2,162","1,110",951,"1,162","1,608",491,"1,409",915,"1,620"
2021년05월_남_0~9세,"1,131",736,52,95,22,24,28,43,15,44,22,50
2021년05월_남_10~19세,"1,695","1,029",72,153,54,47,65,98,29,44,37,67
2021년05월_남_20~29세,"2,330","1,348",126,164,82,72,62,181,22,102,61,110
2021년05월_남_30~39세,"1,638",945,99,131,48,44,55,94,20,61,45,96
2021년05월_남_40~49세,"2,787","1,497",165,233,119,93,106,158,39,124,98,155
2021년05월_남_50~59세,"4,358","1,775",346,429,235,184,213,333,114,262,172,295
2021년05월_남_60~69세,"4,919","1,551",442,517,271,249,323,373,135,387,240,431
2021년05월_남_70~79세,"2,830",833,238,283,190,138,203,214,72,241,148,270
2021년05월_남_80~89세,"1,364",344,114,150,80,93,96,107,40,130,79,131
2021년05월_남_90~99세,116,19,11,7,9,7,9,7,5,14,13,15
2021년05월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0
2021년05월_여_총인구수,"23,271","10,313","1,588","2,129","1,126",966,"1,201","1,555",492,"1,388",916,"1,597"
2021년05월_여_연령구간인구수,"23,271","10,313","1,588","2,129","1,126",966,"1,201","1,555",492,"1,388",916,"1,597"
2021년05월_여_0~9세,"1,089",732,46,71,22,25,39,57,11,32,12,42
2021년05월_여_10~19세,"1,562",952,75,141,48,43,42,73,23,59,38,68
2021년05월_여_20~29세,"1,790","1,154",95,110,58,42,43,105,19,51,41,72
2021년05월_여_30~39세,"1,478",937,59,125,39,30,46,77,11,53,20,81
2021년05월_여_40~49세,"2,332","1,439",132,173,87,58,72,105,30,67,65,104
2021년05월_여_50~59세,"3,811","1,666",282,352,196,157,165,277,79,215,155,267
2021년05월_여_60~69세,"4,623","1,549",381,486,273,233,290,347,113,368,193,390
2021년05월_여_70~79세,"3,581","1,119",245,379,216,183,264,281,101,278,205,310
2021년05월_여_80~89세,"2,587",667,236,257,159,171,197,209,91,215,151,234
2021년05월_여_90~99세,408,95,35,35,28,23,42,24,13,48,36,29
2021년05월_여_100세 이상,10,3,2,0,0,1,1,0,1,2,0,0
