,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년06월_계_총인구수,"437,333","4,908","23,371","4,167","19,160","20,168","9,340","10,963","9,095","8,541","18,107","7,671","30,052","6,593","36,707","36,994","22,357","24,887","36,124","16,883","26,698","28,764","11,862","23,921"
2021년06월_계_연령구간인구수,"437,333","4,908","23,371","4,167","19,160","20,168","9,340","10,963","9,095","8,541","18,107","7,671","30,052","6,593","36,707","36,994","22,357","24,887","36,124","16,883","26,698","28,764","11,862","23,921"
2021년06월_계_0~9세,"32,819",353,"2,312",171,"2,115","1,713",249,575,270,292,"1,119",171,"2,359",291,"3,451","4,443","1,315","1,575","2,596",878,"1,636","2,233",599,"2,103"
2021년06월_계_10~19세,"42,403",348,"2,016",197,"2,291","2,233",431,880,463,470,"1,142",343,"3,122",401,"3,899","3,173","1,719","2,430","4,881","1,550","2,411","4,318",607,"3,078"
2021년06월_계_20~29세,"61,716",556,"2,873",484,"2,114","2,356",980,"1,641","2,575","1,265","2,853","2,383","4,334",717,"4,236","3,830","3,888","3,669","5,353","2,394","4,243","4,141","1,332","3,499"
2021년06월_계_30~39세,"52,937",681,"3,630",462,"2,686","2,271",722,"1,140","1,137","1,038","2,075","1,050","3,881",783,"4,754","6,158","2,630","2,711","3,424","1,594","3,052","2,806","1,537","2,715"
2021년06월_계_40~49세,"71,111",685,"4,054",472,"3,694","3,454","1,090","1,422","1,036","1,003","2,600",823,"4,803",870,"6,931","6,460","3,083","3,939","6,582","2,445","3,686","5,790","1,581","4,608"
2021년06월_계_50~59세,"77,639",778,"3,277",853,"2,786","3,449","1,832","2,203","1,220","1,523","2,891","1,186","5,224","1,169","6,347","5,889","4,163","4,674","7,250","3,498","5,378","5,529","2,274","4,246"
2021년06월_계_60~69세,"56,071",785,"2,681",917,"1,940","2,470","2,037","1,759","1,266","1,606","2,746","1,012","3,901","1,318","4,206","4,351","3,214","3,472","3,536","2,724","3,761","2,142","2,247","1,980"
2021년06월_계_70~79세,"28,479",498,"1,596",418,"1,020","1,488","1,335",917,747,921,"1,716",477,"1,627",696,"2,061","1,907","1,524","1,664","1,632","1,151","1,607","1,141","1,249","1,087"
2021년06월_계_80~89세,"12,653",191,812,168,468,659,611,379,341,379,844,205,698,315,726,687,738,667,782,598,837,621,388,539
2021년06월_계_90~99세,"1,455",32,118,24,44,72,51,45,39,44,107,20,101,32,95,93,82,83,87,49,83,43,46,65
2021년06월_계_100세 이상,50,1,2,1,2,3,2,2,1,0,14,1,2,1,1,3,1,3,1,2,4,0,2,1
2021년06월_남_총인구수,"217,669","2,370","11,273","2,226","9,241","9,761","4,636","5,359","4,718","4,492","9,168","4,182","14,841","3,284","18,722","18,471","11,225","12,202","17,805","8,500","13,250","13,979","6,173","11,791"
2021년06월_남_연령구간인구수,"217,669","2,370","11,273","2,226","9,241","9,761","4,636","5,359","4,718","4,492","9,168","4,182","14,841","3,284","18,722","18,471","11,225","12,202","17,805","8,500","13,250","13,979","6,173","11,791"
2021년06월_남_0~9세,"16,797",167,"1,134",89,"1,066",895,131,282,142,157,548,95,"1,208",145,"1,810","2,297",683,818,"1,284",452,849,"1,164",295,"1,086"
2021년06월_남_10~19세,"22,036",163,"1,017",116,"1,169","1,141",231,458,235,266,587,179,"1,633",208,"2,019","1,620",914,"1,268","2,558",812,"1,299","2,233",300,"1,610"
2021년06월_남_20~29세,"33,321",292,"1,388",283,"1,084","1,265",575,911,"1,387",733,"1,723","1,407","2,334",411,"2,248","2,060","2,048","1,932","2,895","1,326","2,292","2,218",728,"1,781"
2021년06월_남_30~39세,"27,805",355,"1,812",276,"1,250","1,100",426,619,704,655,"1,159",651,"2,024",460,"2,442","3,103","1,452","1,475","1,703",895,"1,666","1,331",893,"1,354"
2021년06월_남_40~49세,"34,923",365,"2,020",266,"1,769","1,615",612,688,596,576,"1,372",471,"2,273",468,"3,532","3,358","1,531","1,905","3,019","1,220","1,677","2,513",886,"2,191"
2021년06월_남_50~59세,"38,561",406,"1,592",448,"1,379","1,689",947,"1,031",618,775,"1,452",591,"2,499",570,"3,361","2,850","2,045","2,214","3,614","1,710","2,565","2,808","1,212","2,185"
2021년06월_남_60~69세,"27,215",340,"1,295",489,888,"1,169",980,833,593,735,"1,274",493,"1,890",609,"2,077","2,124","1,581","1,622","1,792","1,368","1,898","1,071","1,114",980
2021년06월_남_70~79세,"12,289",214,683,200,432,636,506,402,313,432,731,211,717,297,956,838,676,703,674,523,704,421,579,441
2021년06월_남_80~89세,"4,427",59,308,51,189,235,220,122,118,157,294,77,254,111,264,210,280,250,246,187,279,208,154,154
2021년06월_남_90~99세,287,9,23,8,15,16,8,13,12,6,23,6,9,5,13,11,15,15,20,7,20,12,12,9
2021년06월_남_100세 이상,8,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0
2021년06월_여_총인구수,"219,664","2,538","12,098","1,941","9,919","10,407","4,704","5,604","4,377","4,049","8,939","3,489","15,211","3,309","17,985","18,523","11,132","12,685","18,319","8,383","13,448","14,785","5,689","12,130"
2021년06월_여_연령구간인구수,"219,664","2,538","12,098","1,941","9,919","10,407","4,704","5,604","4,377","4,049","8,939","3,489","15,211","3,309","17,985","18,523","11,132","12,685","18,319","8,383","13,448","14,785","5,689","12,130"
2021년06월_여_0~9세,"16,022",186,"1,178",82,"1,049",818,118,293,128,135,571,76,"1,151",146,"1,641","2,146",632,757,"1,312",426,787,"1,069",304,"1,017"
2021년06월_여_10~19세,"20,367",185,999,81,"1,122","1,092",200,422,228,204,555,164,"1,489",193,"1,880","1,553",805,"1,162","2,323",738,"1,112","2,085",307,"1,468"
2021년06월_여_20~29세,"28,395",264,"1,485",201,"1,030","1,091",405,730,"1,188",532,"1,130",976,"2,000",306,"1,988","1,770","1,840","1,737","2,458","1,068","1,951","1,923",604,"1,718"
2021년06월_여_30~39세,"25,132",326,"1,818",186,"1,436","1,171",296,521,433,383,916,399,"1,857",323,"2,312","3,055","1,178","1,236","1,721",699,"1,386","1,475",644,"1,361"
2021년06월_여_40~49세,"36,188",320,"2,034",206,"1,925","1,839",478,734,440,427,"1,228",352,"2,530",402,"3,399","3,102","1,552","2,034","3,563","1,225","2,009","3,277",695,"2,417"
2021년06월_여_50~59세,"39,078",372,"1,685",405,"1,407","1,760",885,"1,172",602,748,"1,439",595,"2,725",599,"2,986","3,039","2,118","2,460","3,636","1,788","2,813","2,721","1,062","2,061"
2021년06월_여_60~69세,"28,856",445,"1,386",428,"1,052","1,301","1,057",926,673,871,"1,472",519,"2,011",709,"2,129","2,227","1,633","1,850","1,744","1,356","1,863","1,071","1,133","1,000"
2021년06월_여_70~79세,"16,190",284,913,218,588,852,829,515,434,489,985,266,910,399,"1,105","1,069",848,961,958,628,903,720,670,646
2021년06월_여_80~89세,"8,226",132,504,117,279,424,391,257,223,222,550,128,444,204,462,477,458,417,536,411,558,413,234,385
2021년06월_여_90~99세,"1,168",23,95,16,29,56,43,32,27,38,84,14,92,27,82,82,67,68,67,42,63,31,34,56
2021년06월_여_100세 이상,42,1,1,1,2,3,2,2,1,0,9,0,2,1,1,3,1,3,1,2,3,0,2,1
