카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년12월_계_총인구수,"389,644","19,332","20,365","17,176","19,404","21,168","16,112","24,815","25,462","18,328","18,558","37,659","36,729","49,052","25,468","40,016"
2021년12월_계_연령구간인구수,"389,644","19,332","20,365","17,176","19,404","21,168","16,112","24,815","25,462","18,328","18,558","37,659","36,729","49,052","25,468","40,016"
2021년12월_계_0~9세,"37,087","1,250","1,362",830,864,"1,305",889,"1,149","2,270","1,276","1,441","2,974","4,703","6,629","3,739","6,406"
2021년12월_계_10~19세,"43,121","1,850","2,127","1,066","1,491","1,632","1,158","1,669","2,677","1,904","2,745","5,406","6,408","6,141","3,048","3,799"
2021년12월_계_20~29세,"50,625","2,534","2,813","2,358","2,971","3,161","2,153","3,336","3,293","2,531","2,491","6,423","3,626","6,127","2,792","4,016"
2021년12월_계_30~39세,"56,494","2,186","2,356","2,185","2,483","3,240","2,144","3,073","3,635","2,619","1,748","4,290","4,212","9,014","4,510","8,799"
2021년12월_계_40~49세,"69,025","3,050","3,274","2,344","3,084","2,998","2,093","3,474","4,180","2,779","3,236","6,543","8,508","10,052","5,363","8,047"
2021년12월_계_50~59세,"65,224","3,721","3,889","3,264","3,941","3,796","2,958","5,143","4,642","3,486","3,403","6,417","5,665","6,302","3,515","5,082"
2021년12월_계_60~69세,"43,076","2,658","2,692","3,167","2,805","3,044","2,676","4,149","3,264","2,388","2,132","3,736","2,436","3,247","1,780","2,902"
2021년12월_계_70~79세,"15,856","1,320","1,196","1,250","1,165","1,178","1,177","1,770",944,821,848,"1,192",741,"1,056",515,683
2021년12월_계_80~89세,"7,694",657,553,607,516,682,718,903,452,457,426,551,361,409,177,225
2021년12월_계_90~99세,"1,393",106,99,100,81,125,141,141,101,65,88,125,65,73,27,56
2021년12월_계_100세 이상,49,0,4,5,3,7,5,8,4,2,0,2,4,2,2,1
2021년12월_남_총인구수,"193,417","9,569","10,043","8,888","10,624","10,402","7,645","12,866","12,522","8,899","9,027","18,448","18,030","24,053","12,603","19,798"
2021년12월_남_연령구간인구수,"193,417","9,569","10,043","8,888","10,624","10,402","7,645","12,866","12,522","8,899","9,027","18,448","18,030","24,053","12,603","19,798"
