,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2021년11월_계_총인구수,"353,769","15,923","9,897","20,638","22,154","20,073","12,007","21,834","20,925","22,991","17,498","23,088","10,292","11,329","19,273","16,874","16,748","10,993","28,912","11,981","20,339"
2021년11월_계_연령구간인구수,"353,769","15,923","9,897","20,638","22,154","20,073","12,007","21,834","20,925","22,991","17,498","23,088","10,292","11,329","19,273","16,874","16,748","10,993","28,912","11,981","20,339"
2021년11월_계_0~9세,"20,198",625,635,"1,413","1,269","1,120",488,"1,408",881,"1,888","1,065","1,088",720,636,809,953,"1,160",580,"1,758",506,"1,196"
2021년11월_계_10~19세,"24,130",567,464,"1,782","1,566","1,456",522,"1,289","1,144","1,885","1,840","1,874",680,862,"1,191","1,358",980,806,"2,400",442,"1,022"
2021년11월_계_20~29세,"51,150","3,542","1,907","2,056","2,158","2,760","2,932","4,549","3,433","2,570","1,888","2,769","1,287","1,233","3,042","2,065","3,108","1,498","3,489","2,430","2,434"
2021년11월_계_30~39세,"47,129","2,586","1,722","2,246","2,368","2,471","2,148","4,331","2,935","3,035","1,603","2,306","1,607","1,224","2,183","1,805","2,652","1,110","3,310","2,366","3,121"
2021년11월_계_40~49세,"50,227","1,782","1,509","3,279","3,119","2,872","1,629","3,071","2,874","3,756","2,792","3,222","1,485","1,670","2,617","2,328","2,388","1,442","4,069","1,546","2,777"
2021년11월_계_50~59세,"56,739","2,441","1,502","3,232","3,614","3,512","1,498","2,694","3,053","3,775","3,253","4,276","1,465","2,154","3,197","2,814","2,486","1,906","5,138","1,644","3,085"
2021년11월_계_60~69세,"57,299","2,452","1,345","3,545","4,070","3,197","1,426","2,365","3,410","3,360","2,890","4,235","1,696","1,988","3,446","3,037","2,209","1,946","5,282","1,684","3,716"
2021년11월_계_70~79세,"31,707","1,298",560,"2,111","2,714","1,753",896,"1,400","2,151","1,928","1,513","2,166",935,"1,054","1,956","1,763","1,186","1,154","2,301",881,"1,987"
2021년11월_계_80~89세,"13,631",573,207,871,"1,143",831,419,645,959,716,590,"1,010",385,460,761,662,528,508,"1,039",424,900
2021년11월_계_90~99세,"1,533",57,45,102,130,99,47,81,84,74,61,140,32,48,71,88,51,43,124,58,98
2021년11월_계_100세 이상,26,0,1,1,3,2,2,1,1,4,3,2,0,0,0,1,0,0,2,0,3
