,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2020년07월_계_총인구수,"212,978","16,235","3,400","1,598","4,096","4,336","3,601","4,510","6,620","15,409","5,090","3,353","25,969","7,872","10,489","13,109","4,825","9,879","16,727","18,274","28,832","8,754"
2020년07월_계_연령구간인구수,"212,978","16,235","3,400","1,598","4,096","4,336","3,601","4,510","6,620","15,409","5,090","3,353","25,969","7,872","10,489","13,109","4,825","9,879","16,727","18,274","28,832","8,754"
2020년07월_계_0~9세,"13,760",603,125,32,199,106,118,194,391,"1,417",184,98,"1,829",387,453,604,299,898,"1,492","1,001","2,582",748
2020년07월_계_10~19세,"19,383",998,194,42,274,198,168,225,507,"1,531",304,167,"3,142",652,767,"1,215",408,"1,031","1,595","1,618","3,573",774
2020년07월_계_20~29세,"25,048","1,436",302,99,346,413,270,413,497,"1,778",604,297,"3,495",907,"1,316","1,693",575,"1,142","2,612","2,020","3,436","1,397"
2020년07월_계_30~39세,"21,877","1,155",197,75,327,297,235,387,593,"2,125",460,281,"2,614",749,920,"1,257",540,"1,282","2,230","1,698","3,408","1,047"
2020년07월_계_40~49세,"32,530","2,006",395,121,482,445,326,575,979,"2,652",640,416,"4,592","1,083","1,449","1,933",736,"1,649","2,680","2,635","5,299","1,437"
2020년07월_계_50~59세,"36,699","3,017",691,332,731,800,720,845,"1,165","2,397",811,614,"4,438","1,429","2,014","2,498",947,"1,626","2,505","3,191","4,583","1,345"
2020년07월_계_60~69세,"32,837","3,396",691,454,860,946,843,961,"1,289","1,867",996,685,"3,080","1,421","1,894","2,249",709,"1,325","2,059","2,861","3,193","1,058"
2020년07월_계_70~79세,"19,481","2,260",436,284,512,671,564,537,751,"1,061",677,552,"1,779",815,"1,144","1,084",364,571,989,"2,082","1,730",618
2020년07월_계_80~89세,"9,663","1,137",312,137,292,384,313,313,391,497,326,217,863,363,462,490,212,297,490,"1,014",885,268
2020년07월_계_90~99세,"1,594",204,52,22,67,69,41,58,53,79,83,26,129,58,65,86,35,56,73,140,136,62
2020년07월_계_100세 이상,106,23,5,0,6,7,3,2,4,5,5,0,8,8,5,0,0,2,2,14,7,0
2020년07월_남_총인구수,"105,699","7,981","1,744",858,"2,100","2,284","1,845","2,336","3,317","7,546","2,413","1,715","12,714","3,933","5,175","6,465","2,375","4,777","8,288","9,140","14,241","4,452"
2020년07월_남_연령구간인구수,"105,699","7,981","1,744",858,"2,100","2,284","1,845","2,336","3,317","7,546","2,413","1,715","12,714","3,933","5,175","6,465","2,375","4,777","8,288","9,140","14,241","4,452"
2020년07월_남_0~9세,"7,096",316,67,24,113,58,63,102,195,732,90,54,958,193,238,312,131,433,759,484,"1,377",397
2020년07월_남_10~19세,"10,198",541,105,20,151,107,100,127,269,787,142,94,"1,607",345,398,657,217,544,806,886,"1,895",400
2020년07월_남_20~29세,"13,701",835,191,57,217,264,164,247,271,909,305,169,"1,897",492,701,902,338,615,"1,399","1,136","1,848",744
2020년07월_남_30~39세,"11,471",634,112,54,166,190,145,212,317,"1,095",257,162,"1,327",417,513,689,294,625,"1,103",923,"1,692",544
2020년07월_남_40~49세,"16,604","1,118",231,78,278,302,189,325,533,"1,268",330,249,"2,121",546,765,977,345,791,"1,383","1,410","2,615",750
2020년07월_남_50~59세,"18,368","1,526",358,180,389,444,407,441,567,"1,186",428,331,"2,226",732,982,"1,198",460,743,"1,196","1,622","2,263",689
2020년07월_남_60~69세,"15,766","1,597",366,240,438,477,431,497,634,899,439,308,"1,444",672,851,"1,050",346,657,"1,012","1,358","1,542",508
2020년07월_남_70~79세,"8,692",967,209,144,237,291,244,255,372,472,290,249,760,380,518,502,159,250,445,921,714,313
2020년07월_남_80~89세,"3,450",396,95,57,96,127,94,121,141,181,110,96,349,143,191,169,76,106,172,364,270,96
2020년07월_남_90~99세,326,47,9,4,13,19,8,8,15,16,21,3,25,11,18,9,9,13,13,32,22,11
2020년07월_남_100세 이상,27,4,1,0,2,5,0,1,3,1,1,0,0,2,0,0,0,0,0,4,3,0
2020년07월_여_총인구수,"107,279","8,254","1,656",740,"1,996","2,052","1,756","2,174","3,303","7,863","2,677","1,638","13,255","3,939","5,314","6,644","2,450","5,102","8,439","9,134","14,591","4,302"
2020년07월_여_연령구간인구수,"107,279","8,254","1,656",740,"1,996","2,052","1,756","2,174","3,303","7,863","2,677","1,638","13,255","3,939","5,314","6,644","2,450","5,102","8,439","9,134","14,591","4,302"
2020년07월_여_0~9세,"6,664",287,58,8,86,48,55,92,196,685,94,44,871,194,215,292,168,465,733,517,"1,205",351
2020년07월_여_10~19세,"9,185",457,89,22,123,91,68,98,238,744,162,73,"1,535",307,369,558,191,487,789,732,"1,678",374
2020년07월_여_20~29세,"11,347",601,111,42,129,149,106,166,226,869,299,128,"1,598",415,615,791,237,527,"1,213",884,"1,588",653
2020년07월_여_30~39세,"10,406",521,85,21,161,107,90,175,276,"1,030",203,119,"1,287",332,407,568,246,657,"1,127",775,"1,716",503
2020년07월_여_40~49세,"15,926",888,164,43,204,143,137,250,446,"1,384",310,167,"2,471",537,684,956,391,858,"1,297","1,225","2,684",687
2020년07월_여_50~59세,"18,331","1,491",333,152,342,356,313,404,598,"1,211",383,283,"2,212",697,"1,032","1,300",487,883,"1,309","1,569","2,320",656
2020년07월_여_60~69세,"17,071","1,799",325,214,422,469,412,464,655,968,557,377,"1,636",749,"1,043","1,199",363,668,"1,047","1,503","1,651",550
2020년07월_여_70~79세,"10,789","1,293",227,140,275,380,320,282,379,589,387,303,"1,019",435,626,582,205,321,544,"1,161","1,016",305
2020년07월_여_80~89세,"6,213",741,217,80,196,257,219,192,250,316,216,121,514,220,271,321,136,191,318,650,615,172
2020년07월_여_90~99세,"1,268",157,43,18,54,50,33,50,38,63,62,23,104,47,47,77,26,43,60,108,114,51
2020년07월_여_100세 이상,79,19,4,0,4,2,3,1,1,4,4,0,8,6,5,0,0,2,2,10,4,0
