카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년01월_계_총인구수,"174,803","8,934","10,500","17,316","10,098","9,903","10,225","6,525","7,991","11,075","8,100","8,364","10,453","18,554","2,186","5,516","20,847","8,216"
2020년01월_계_연령구간인구수,"174,803","8,934","10,500","17,316","10,098","9,903","10,225","6,525","7,991","11,075","8,100","8,364","10,453","18,554","2,186","5,516","20,847","8,216"
2020년01월_계_0~9세,"8,268",364,383,832,341,333,417,215,227,391,303,670,361,"1,454",94,177,"1,397",309
2020년01월_계_10~19세,"11,851",571,598,"1,329",683,544,688,397,537,634,530,611,691,"1,268",137,362,"1,793",478
2020년01월_계_20~29세,"22,593","1,381","1,350","2,498","1,237","1,120","1,321",743,"1,059","1,376","1,086",973,"1,357","2,413",270,671,"2,714","1,024"
2020년01월_계_30~39세,"18,560","1,006","1,022","2,072",943,840,"1,028",619,749,"1,060",770,"1,046","1,080","2,498",228,497,"2,342",760
2020년01월_계_40~49세,"24,082","1,129","1,372","2,360","1,445","1,245","1,372",835,"1,106","1,493","1,090","1,254","1,432","2,626",287,757,"3,113","1,166"
2020년01월_계_50~59세,"35,496","1,756","2,094","3,275","2,168","1,984","2,092","1,312","1,713","2,515","1,691","1,549","2,332","3,565",467,"1,210","4,052","1,721"
2020년01월_계_60~69세,"29,820","1,528","1,907","2,791","1,725","1,855","1,809","1,251","1,421","1,978","1,417","1,303","1,811","2,792",427,"1,077","3,315","1,413"
2020년01월_계_70~79세,"16,810",828,"1,238","1,490","1,084","1,353","1,041",801,808,"1,179",841,681,985,"1,344",202,519,"1,483",933
2020년01월_계_80~89세,"6,486",330,485,593,410,547,408,325,333,410,336,245,357,512,61,221,535,378
2020년01월_계_90~99세,738,32,43,74,54,64,38,26,31,35,30,31,45,78,7,25,91,34
2020년01월_계_100세 이상,99,9,8,2,8,18,11,1,7,4,6,1,2,4,6,0,12,0
2020년01월_남_총인구수,"87,761","4,418","5,161","8,444","5,157","4,971","5,023","3,332","3,967","5,852","4,100","4,108","5,291","9,212","1,146","2,925","10,474","4,180"
2020년01월_남_연령구간인구수,"87,761","4,418","5,161","8,444","5,157","4,971","5,023","3,332","3,967","5,852","4,100","4,108","5,291","9,212","1,146","2,925","10,474","4,180"
2020년01월_남_0~9세,"4,221",202,204,425,173,186,198,115,114,201,156,345,191,713,48,84,728,138
2020년01월_남_10~19세,"6,235",309,313,683,363,299,362,211,288,328,291,304,376,663,72,192,935,246
2020년01월_남_20~29세,"12,418",729,717,"1,376",698,622,709,406,590,802,609,517,735,"1,306",152,399,"1,476",575
2020년01월_남_30~39세,"10,481",553,599,"1,158",554,499,618,370,448,592,454,546,614,"1,323",132,313,"1,267",441
2020년01월_남_40~49세,"12,894",573,768,"1,148",822,713,719,467,568,884,600,657,790,"1,365",162,447,"1,561",650
2020년01월_남_50~59세,"17,774",837,"1,048","1,483","1,123","1,026","1,000",705,845,"1,394",875,747,"1,174","1,737",232,637,"2,012",899
2020년01월_남_60~69세,"14,057",710,855,"1,264",825,886,826,583,653,968,662,604,881,"1,318",219,551,"1,583",669
2020년01월_남_70~79세,"7,292",377,487,684,449,529,446,346,338,539,332,299,412,614,96,225,706,413
2020년01월_남_80~89세,"2,226",119,158,204,140,197,139,120,116,139,113,84,111,160,31,70,183,142
2020년01월_남_90~99세,140,7,10,19,7,14,3,9,5,4,5,4,7,13,1,7,18,7
2020년01월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년01월_여_총인구수,"87,042","4,516","5,339","8,872","4,941","4,932","5,202","3,193","4,024","5,223","4,000","4,256","5,162","9,342","1,040","2,591","10,373","4,036"
2020년01월_여_연령구간인구수,"87,042","4,516","5,339","8,872","4,941","4,932","5,202","3,193","4,024","5,223","4,000","4,256","5,162","9,342","1,040","2,591","10,373","4,036"
2020년01월_여_0~9세,"4,047",162,179,407,168,147,219,100,113,190,147,325,170,741,46,93,669,171
2020년01월_여_10~19세,"5,616",262,285,646,320,245,326,186,249,306,239,307,315,605,65,170,858,232
2020년01월_여_20~29세,"10,175",652,633,"1,122",539,498,612,337,469,574,477,456,622,"1,107",118,272,"1,238",449
2020년01월_여_30~39세,"8,079",453,423,914,389,341,410,249,301,468,316,500,466,"1,175",96,184,"1,075",319
2020년01월_여_40~49세,"11,188",556,604,"1,212",623,532,653,368,538,609,490,597,642,"1,261",125,310,"1,552",516
2020년01월_여_50~59세,"17,722",919,"1,046","1,792","1,045",958,"1,092",607,868,"1,121",816,802,"1,158","1,828",235,573,"2,040",822
2020년01월_여_60~69세,"15,763",818,"1,052","1,527",900,969,983,668,768,"1,010",755,699,930,"1,474",208,526,"1,732",744
2020년01월_여_70~79세,"9,518",451,751,806,635,824,595,455,470,640,509,382,573,730,106,294,777,520
2020년01월_여_80~89세,"4,260",211,327,389,270,350,269,205,217,271,223,161,246,352,30,151,352,236
2020년01월_여_90~99세,598,25,33,55,47,50,35,17,26,31,25,27,38,65,6,18,73,27
2020년01월_여_100세 이상,76,7,6,2,5,18,8,1,5,3,3,0,2,4,5,0,7,0
