카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년02월_계_총인구수,"313,875","6,686","73,460","4,277","20,942","19,801","21,204","5,616","6,639","3,248","4,551","20,340","9,649","7,139","37,079","18,091","25,958","29,195"
2020년02월_계_연령구간인구수,"313,875","6,686","73,460","4,277","20,942","19,801","21,204","5,616","6,639","3,248","4,551","20,340","9,649","7,139","37,079","18,091","25,958","29,195"
2020년02월_계_0~9세,"34,534",411,"9,705",230,"3,168","2,787","2,448",150,327,62,124,"1,808",966,286,"4,365","1,573","2,675","3,449"
2020년02월_계_10~19세,"34,281",514,"9,093",360,"2,815","1,635","1,395",286,420,133,205,"2,104",730,586,"4,855","2,459","3,059","3,632"
2020년02월_계_20~29세,"35,959",579,"9,029",304,"2,529","2,007","2,470",458,557,215,366,"2,399","1,106",985,"4,500","2,026","3,527","2,902"
2020년02월_계_30~39세,"50,204",681,"13,953",277,"4,124","3,842","4,600",394,698,182,337,"2,610","1,863",610,"5,557","2,064","3,958","4,454"
2020년02월_계_40~49세,"55,393",955,"13,916",613,"4,318","3,317","3,333",602,977,297,432,"3,543","1,511",975,"6,850","3,435","4,725","5,594"
2020년02월_계_50~59세,"45,341","1,185","9,170",792,"2,159","2,686","3,030","1,084","1,326",560,895,"3,240","1,341","1,510","5,255","3,016","3,856","4,236"
2020년02월_계_60~69세,"29,885","1,103","4,841",762,949,"1,955","2,118","1,185","1,073",760,924,"2,303","1,099","1,137","3,054","1,827","2,221","2,574"
2020년02월_계_70~79세,"17,517",723,"2,436",555,537,961,"1,103",816,694,571,734,"1,478",660,677,"1,732","1,066","1,298","1,476"
2020년02월_계_80~89세,"9,434",468,"1,160",333,296,529,609,557,504,413,481,761,308,316,814,541,556,788
2020년02월_계_90~99세,"1,216",63,145,46,46,80,95,80,59,46,50,86,53,47,91,76,72,81
