카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년10월_계_총인구수,"389,926","19,394","20,432","17,240","19,526","21,187","16,204","24,833","25,478","18,383","18,630","37,859","36,783","49,009","25,206","39,762"
2021년10월_계_연령구간인구수,"389,926","19,394","20,432","17,240","19,526","21,187","16,204","24,833","25,478","18,383","18,630","37,859","36,783","49,009","25,206","39,762"
2021년10월_계_0~9세,"37,431","1,270","1,403",845,876,"1,328",899,"1,160","2,280","1,303","1,470","3,014","4,744","6,705","3,716","6,418"
2021년10월_계_10~19세,"43,158","1,842","2,151","1,060","1,520","1,634","1,188","1,669","2,678","1,922","2,796","5,490","6,411","6,087","2,985","3,725"
2021년10월_계_20~29세,"51,020","2,579","2,835","2,408","3,002","3,210","2,170","3,358","3,304","2,537","2,497","6,500","3,616","6,177","2,777","4,050"
2021년10월_계_30~39세,"56,811","2,196","2,384","2,209","2,491","3,207","2,130","3,048","3,668","2,635","1,778","4,327","4,288","9,056","4,554","8,840"
2021년10월_계_40~49세,"68,930","3,055","3,260","2,339","3,128","3,012","2,117","3,503","4,179","2,798","3,261","6,572","8,508","10,015","5,268","7,915"
2021년10월_계_50~59세,"65,084","3,704","3,900","3,270","3,964","3,802","2,987","5,172","4,668","3,493","3,376","6,396","5,633","6,234","3,441","5,044"
2021년10월_계_60~69세,"42,662","2,663","2,671","3,161","2,789","3,006","2,665","4,126","3,204","2,368","2,097","3,706","2,408","3,209","1,756","2,833"
2021년10월_계_70~79세,"15,818","1,339","1,173","1,251","1,164","1,180","1,190","1,766",939,808,849,"1,189",755,"1,048",500,667
2021년10월_계_80~89세,"7,594",649,552,593,510,675,707,888,454,453,420,541,348,406,182,216
2021년10월_계_90~99세,"1,369",97,98,98,78,128,145,137,100,65,86,121,68,70,25,53
2021년10월_계_100세 이상,49,0,5,6,4,5,6,6,4,1,0,3,4,2,2,1
2021년10월_남_총인구수,"193,568","9,586","10,078","8,916","10,678","10,427","7,700","12,896","12,504","8,928","9,065","18,590","18,032","24,022","12,478","19,668"
