,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년02월_계_총인구수,"655,700","352,962","24,915","23,965","32,883","32,929","39,264","37,945","26,756","20,056","21,901","38,590","26,717","17,958","9,083","302,738","38,924","21,839","25,169","44,041","6,261","18,436","22,706","47,011","17,897","16,428","35,174","8,852"
2021년02월_계_연령구간인구수,"655,700","352,962","24,915","23,965","32,883","32,929","39,264","37,945","26,756","20,056","21,901","38,590","26,717","17,958","9,083","302,738","38,924","21,839","25,169","44,041","6,261","18,436","22,706","47,011","17,897","16,428","35,174","8,852"
2021년02월_계_0~9세,"44,039","23,441","1,683","1,060","1,770","2,474","4,437","2,634","1,522",938,"1,448","2,215","1,697","1,093",470,"20,598","2,613","1,136","1,587","3,416",293,"1,294","1,607","3,761","1,297",887,"2,392",315
2021년02월_계_10~19세,"63,492","34,081","2,447","1,574","2,839","3,615","4,702","3,968","2,800","1,722","2,089","3,740","2,532","1,289",764,"29,411","3,904","1,898","2,149","5,166",322,"1,773","2,502","4,749","1,439","1,571","3,562",376
2021년02월_계_20~29세,"106,565","58,358","3,825","4,389","6,013","5,322","6,277","5,972","4,392","3,540","3,495","7,088","4,719","2,206","1,120","48,207","6,070","4,138","5,160","7,500",467,"2,784","3,101","7,374","2,694","2,454","5,743",722
2021년02월_계_30~39세,"85,640","44,342","3,029","3,743","4,546","4,199","5,725","4,579","2,970","2,423","2,421","4,385","3,212","2,171",939,"41,298","5,085","3,168","3,869","5,531",628,"2,455","2,915","7,272","2,963","1,846","4,900",666
2021년02월_계_40~49세,"107,852","57,885","4,457","3,947","5,562","5,473","6,987","6,827","4,411","3,089","3,583","5,988","3,592","2,629","1,340","49,967","7,081","3,238","3,711","7,186","1,014","2,811","4,042","8,193","2,769","2,827","6,133",962
2021년02월_계_50~59세,"127,981","69,309","4,673","4,510","6,298","6,372","6,714","7,361","5,442","4,237","4,669","8,198","5,668","3,295","1,872","58,672","7,561","4,094","4,523","8,912","1,600","3,713","4,345","8,185","3,334","3,641","6,834","1,930"
2021년02월_계_60~69세,"73,297","38,968","2,631","2,738","2,992","3,451","3,179","3,827","2,979","2,332","2,460","4,365","3,474","2,999","1,541","34,329","3,995","2,496","2,831","4,331","1,047","2,377","2,674","4,556","2,180","1,989","3,651","2,202"
2021년02월_계_70~79세,"29,911","16,861","1,441","1,317","1,540","1,283",829,"1,803","1,436","1,123","1,087","1,617","1,107","1,595",683,"13,050","1,696","1,090",863,"1,232",585,876,978,"1,862",782,790,"1,238","1,058"
2021년02월_계_80~89세,"14,651","8,393",627,593,"1,110",646,345,870,708,581,587,868,583,579,296,"6,258",802,524,390,650,271,307,465,909,388,374,643,535
2021년02월_계_90~99세,"2,137","1,252",97,85,199,89,69,104,90,71,58,117,124,97,52,885,110,55,80,113,27,35,73,143,50,46,73,80
2021년02월_계_100세 이상,135,72,5,9,14,5,0,0,6,0,4,9,9,5,6,63,7,2,6,4,7,11,4,7,1,3,5,6
2021년02월_남_총인구수,"336,325","180,089","12,704","12,816","17,250","16,666","19,790","19,627","13,300","10,005","11,314","19,730","13,094","9,040","4,753","156,236","20,519","10,899","12,537","22,148","3,593","9,359","12,199","24,115","9,205","8,920","18,078","4,664"
2021년02월_남_연령구간인구수,"336,325","180,089","12,704","12,816","17,250","16,666","19,790","19,627","13,300","10,005","11,314","19,730","13,094","9,040","4,753","156,236","20,519","10,899","12,537","22,148","3,593","9,359","12,199","24,115","9,205","8,920","18,078","4,664"
2021년02월_남_0~9세,"22,436","11,897",844,525,918,"1,268","2,167","1,366",778,484,744,"1,138",892,539,234,"10,539","1,335",569,818,"1,719",146,655,827,"1,935",681,444,"1,225",185
2021년02월_남_10~19세,"32,683","17,456","1,211",816,"1,477","1,847","2,395","2,064","1,381",875,"1,033","1,974","1,318",667,398,"15,227","2,057",985,"1,084","2,678",171,914,"1,282","2,417",752,840,"1,849",198
2021년02월_남_20~29세,"56,751","31,136","1,969","2,319","3,303","2,830","3,408","3,170","2,270","1,822","1,876","3,858","2,470","1,202",639,"25,615","3,345","2,045","2,578","3,857",281,"1,462","1,774","3,949","1,470","1,345","3,084",425
2021년02월_남_30~39세,"46,745","24,083","1,657","2,209","2,644","2,237","2,797","2,508","1,610","1,313","1,359","2,386","1,664","1,174",525,"22,662","2,845","1,771","2,075","2,817",380,"1,309","1,679","4,026","1,679","1,054","2,643",384
2021년02월_남_40~49세,"55,174","29,426","2,387","2,223","2,974","2,730","3,368","3,518","2,139","1,532","1,861","2,957","1,613","1,396",728,"25,748","3,808","1,602","1,795","3,381",613,"1,409","2,248","4,209","1,456","1,569","3,116",542
2021년02월_남_50~59세,"65,407","35,355","2,466","2,443","3,349","3,192","3,373","3,883","2,704","2,079","2,470","4,122","2,634","1,618","1,022","30,052","4,062","2,054","2,193","4,410","1,002","1,833","2,318","4,091","1,592","2,063","3,434","1,000"
2021년02월_남_60~69세,"38,377","20,226","1,336","1,441","1,565","1,772","1,742","2,023","1,551","1,188","1,301","2,318","1,775","1,434",780,"18,151","2,093","1,248","1,450","2,430",596,"1,226","1,409","2,346","1,130","1,086","1,991","1,146"
2021년02월_남_70~79세,"13,416","7,427",606,605,631,558,420,776,603,474,451,704,508,768,323,"5,989",715,457,418,610,287,429,480,821,323,385,514,550
2021년02월_남_80~89세,"4,840","2,785",211,220,330,213,105,300,243,216,205,251,178,219,94,"2,055",236,161,112,219,107,113,164,292,113,118,211,209
2021년02월_남_90~99세,463,281,17,13,55,19,15,19,20,22,13,21,37,21,9,182,23,7,12,26,9,7,17,27,8,15,10,21
2021년02월_남_100세 이상,33,17,0,2,4,0,0,0,1,0,1,1,5,2,1,16,0,0,2,1,1,2,1,2,1,1,1,4
2021년02월_여_총인구수,"319,375","172,873","12,211","11,149","15,633","16,263","19,474","18,318","13,456","10,051","10,587","18,860","13,623","8,918","4,330","146,502","18,405","10,940","12,632","21,893","2,668","9,077","10,507","22,896","8,692","7,508","17,096","4,188"
2021년02월_여_연령구간인구수,"319,375","172,873","12,211","11,149","15,633","16,263","19,474","18,318","13,456","10,051","10,587","18,860","13,623","8,918","4,330","146,502","18,405","10,940","12,632","21,893","2,668","9,077","10,507","22,896","8,692","7,508","17,096","4,188"
2021년02월_여_0~9세,"21,603","11,544",839,535,852,"1,206","2,270","1,268",744,454,704,"1,077",805,554,236,"10,059","1,278",567,769,"1,697",147,639,780,"1,826",616,443,"1,167",130
2021년02월_여_10~19세,"30,809","16,625","1,236",758,"1,362","1,768","2,307","1,904","1,419",847,"1,056","1,766","1,214",622,366,"14,184","1,847",913,"1,065","2,488",151,859,"1,220","2,332",687,731,"1,713",178
2021년02월_여_20~29세,"49,814","27,222","1,856","2,070","2,710","2,492","2,869","2,802","2,122","1,718","1,619","3,230","2,249","1,004",481,"22,592","2,725","2,093","2,582","3,643",186,"1,322","1,327","3,425","1,224","1,109","2,659",297
2021년02월_여_30~39세,"38,895","20,259","1,372","1,534","1,902","1,962","2,928","2,071","1,360","1,110","1,062","1,999","1,548",997,414,"18,636","2,240","1,397","1,794","2,714",248,"1,146","1,236","3,246","1,284",792,"2,257",282
2021년02월_여_40~49세,"52,678","28,459","2,070","1,724","2,588","2,743","3,619","3,309","2,272","1,557","1,722","3,031","1,979","1,233",612,"24,219","3,273","1,636","1,916","3,805",401,"1,402","1,794","3,984","1,313","1,258","3,017",420
2021년02월_여_50~59세,"62,574","33,954","2,207","2,067","2,949","3,180","3,341","3,478","2,738","2,158","2,199","4,076","3,034","1,677",850,"28,620","3,499","2,040","2,330","4,502",598,"1,880","2,027","4,094","1,742","1,578","3,400",930
2021년02월_여_60~69세,"34,920","18,742","1,295","1,297","1,427","1,679","1,437","1,804","1,428","1,144","1,159","2,047","1,699","1,565",761,"16,178","1,902","1,248","1,381","1,901",451,"1,151","1,265","2,210","1,050",903,"1,660","1,056"
2021년02월_여_70~79세,"16,495","9,434",835,712,909,725,409,"1,027",833,649,636,913,599,827,360,"7,061",981,633,445,622,298,447,498,"1,041",459,405,724,508
2021년02월_여_80~89세,"9,811","5,608",416,373,780,433,240,570,465,365,382,617,405,360,202,"4,203",566,363,278,431,164,194,301,617,275,256,432,326
2021년02월_여_90~99세,"1,674",971,80,72,144,70,54,85,70,49,45,96,87,76,43,703,87,48,68,87,18,28,56,116,42,31,63,59
2021년02월_여_100세 이상,102,55,5,7,10,5,0,0,5,0,3,8,4,3,5,47,7,2,4,3,6,9,3,5,0,2,4,2
