,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년04월_계_총인구수,"30,658","10,006","2,134","2,220","3,560","1,514","1,907","2,300","2,736","2,182","2,099"
2021년04월_계_연령구간인구수,"30,658","10,006","2,134","2,220","3,560","1,514","1,907","2,300","2,736","2,182","2,099"
2021년04월_계_0~9세,"1,231",626,54,69,145,40,49,72,80,51,45
2021년04월_계_10~19세,"2,040","1,005",89,84,259,85,102,103,104,110,99
2021년04월_계_20~29세,"2,539","1,217",145,145,327,78,111,130,161,116,109
2021년04월_계_30~39세,"2,022",914,96,108,262,70,102,97,136,120,117
2021년04월_계_40~49세,"3,048","1,236",172,215,399,128,165,195,209,168,161
2021년04월_계_50~59세,"5,168","1,668",353,415,610,298,303,359,468,323,371
2021년04월_계_60~69세,"6,316","1,602",478,527,682,342,451,542,624,540,528
2021년04월_계_70~79세,"4,491","1,000",371,345,501,238,335,456,492,398,355
2021년04월_계_80~89세,"3,342",631,336,273,334,204,252,311,416,308,277
2021년04월_계_90~99세,454,105,40,38,41,31,36,35,46,47,35
2021년04월_계_100세 이상,7,2,0,1,0,0,1,0,0,1,2
2021년04월_남_총인구수,"15,569","5,028","1,071","1,168","1,865",800,984,"1,161","1,362","1,100","1,030"
2021년04월_남_연령구간인구수,"15,569","5,028","1,071","1,168","1,865",800,984,"1,161","1,362","1,100","1,030"
2021년04월_남_0~9세,626,320,28,36,73,27,21,36,39,26,20
2021년04월_남_10~19세,"1,073",505,55,46,143,50,56,48,60,54,56
2021년04월_남_20~29세,"1,493",704,85,87,209,48,66,65,91,72,66
2021년04월_남_30~39세,"1,144",476,57,68,158,38,62,60,85,74,66
2021년04월_남_40~49세,"1,779",646,96,137,229,80,113,140,125,111,102
2021년04월_남_50~59세,"2,837",880,193,240,329,176,180,208,269,166,196
2021년04월_남_60~69세,"3,242",771,258,277,362,192,237,273,325,273,274
2021년04월_남_70~79세,"2,053",482,167,168,224,103,152,198,213,193,153
2021년04월_남_80~89세,"1,194",215,122,97,119,77,85,124,147,116,92
2021년04월_남_90~99세,126,28,10,12,19,9,11,9,8,15,5
2021년04월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0
2021년04월_여_총인구수,"15,089","4,978","1,063","1,052","1,695",714,923,"1,139","1,374","1,082","1,069"
2021년04월_여_연령구간인구수,"15,089","4,978","1,063","1,052","1,695",714,923,"1,139","1,374","1,082","1,069"
2021년04월_여_0~9세,605,306,26,33,72,13,28,36,41,25,25
2021년04월_여_10~19세,967,500,34,38,116,35,46,55,44,56,43
2021년04월_여_20~29세,"1,046",513,60,58,118,30,45,65,70,44,43
2021년04월_여_30~39세,878,438,39,40,104,32,40,37,51,46,51
2021년04월_여_40~49세,"1,269",590,76,78,170,48,52,55,84,57,59
2021년04월_여_50~59세,"2,331",788,160,175,281,122,123,151,199,157,175
2021년04월_여_60~69세,"3,074",831,220,250,320,150,214,269,299,267,254
2021년04월_여_70~79세,"2,438",518,204,177,277,135,183,258,279,205,202
2021년04월_여_80~89세,"2,148",416,214,176,215,127,167,187,269,192,185
2021년04월_여_90~99세,328,77,30,26,22,22,25,26,38,32,30
2021년04월_여_100세 이상,5,1,0,1,0,0,0,0,0,1,2
