카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년05월_계_총인구수,"88,080","4,855","5,754","12,368","6,117","4,161","10,006","3,973","5,415","10,899","11,715","8,394","4,423"
2021년05월_계_연령구간인구수,"88,080","4,855","5,754","12,368","6,117","4,161","10,006","3,973","5,415","10,899","11,715","8,394","4,423"
2021년05월_계_0~9세,"4,040",155,145,"1,131",158,189,404,96,160,443,345,441,373
2021년05월_계_10~19세,"4,972",279,264,809,396,303,544,208,327,591,606,403,242
2021년05월_계_20~29세,"10,382",682,626,"1,831",631,497,"1,182",351,562,"1,292","1,272","1,025",431
2021년05월_계_30~39세,"10,411",527,564,"2,553",476,387,"1,186",301,424,"1,111","1,087","1,125",670
2021년05월_계_40~49세,"11,683",702,709,"1,915",789,570,"1,252",449,655,"1,404","1,359","1,178",701
2021년05월_계_50~59세,"14,395",794,"1,002","1,686","1,015",681,"1,629",671,938,"1,835","2,046","1,514",584
2021년05월_계_60~69세,"16,150",870,"1,196","1,387","1,213",748,"1,921",823,"1,083","2,028","2,578","1,554",749
2021년05월_계_70~79세,"10,646",592,830,702,911,537,"1,258",705,839,"1,477","1,581",779,435
2021년05월_계_80~89세,"4,767",231,346,302,456,226,560,334,375,642,765,328,202
2021년05월_계_90~99세,569,23,62,50,61,20,54,35,52,63,74,41,34
2021년05월_계_100세 이상,65,0,10,2,11,3,16,0,0,13,2,6,2
2021년05월_남_총인구수,"43,109","2,456","2,843","6,034","2,976","2,024","4,759","1,964","2,571","5,290","5,778","4,236","2,178"
2021년05월_남_연령구간인구수,"43,109","2,456","2,843","6,034","2,976","2,024","4,759","1,964","2,571","5,290","5,778","4,236","2,178"
2021년05월_남_0~9세,"2,128",65,84,600,80,103,203,54,85,246,176,229,203
2021년05월_남_10~19세,"2,555",149,136,411,216,152,275,119,159,289,300,220,129
2021년05월_남_20~29세,"5,254",359,310,793,353,263,566,201,314,688,686,528,193
2021년05월_남_30~39세,"5,545",289,323,"1,276",276,212,641,174,233,589,606,585,341
2021년05월_남_40~49세,"6,267",392,402,997,401,297,644,250,353,753,756,629,393
2021년05월_남_50~59세,"7,382",447,537,847,536,350,799,379,463,890,"1,061",780,293
2021년05월_남_60~69세,"7,605",404,549,666,564,325,880,403,468,964,"1,231",767,384
2021년05월_남_70~79세,"4,591",273,356,332,384,225,549,275,363,622,687,354,171
2021년05월_남_80~89세,"1,624",74,119,99,151,95,184,97,121,235,255,130,64
2021년05월_남_90~99세,139,4,22,12,12,2,15,12,12,11,19,12,6
2021년05월_남_100세 이상,19,0,5,1,3,0,3,0,0,3,1,2,1
2021년05월_여_총인구수,"44,971","2,399","2,911","6,334","3,141","2,137","5,247","2,009","2,844","5,609","5,937","4,158","2,245"
2021년05월_여_연령구간인구수,"44,971","2,399","2,911","6,334","3,141","2,137","5,247","2,009","2,844","5,609","5,937","4,158","2,245"
2021년05월_여_0~9세,"1,912",90,61,531,78,86,201,42,75,197,169,212,170
2021년05월_여_10~19세,"2,417",130,128,398,180,151,269,89,168,302,306,183,113
2021년05월_여_20~29세,"5,128",323,316,"1,038",278,234,616,150,248,604,586,497,238
2021년05월_여_30~39세,"4,866",238,241,"1,277",200,175,545,127,191,522,481,540,329
2021년05월_여_40~49세,"5,416",310,307,918,388,273,608,199,302,651,603,549,308
2021년05월_여_50~59세,"7,013",347,465,839,479,331,830,292,475,945,985,734,291
2021년05월_여_60~69세,"8,545",466,647,721,649,423,"1,041",420,615,"1,064","1,347",787,365
2021년05월_여_70~79세,"6,055",319,474,370,527,312,709,430,476,855,894,425,264
2021년05월_여_80~89세,"3,143",157,227,203,305,131,376,237,254,407,510,198,138
2021년05월_여_90~99세,430,19,40,38,49,18,39,23,40,52,55,29,28
2021년05월_여_100세 이상,46,0,5,1,8,3,13,0,0,10,1,4,1
