카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년10월_계_총인구수,"427,684","4,817","6,864","4,788","3,108","9,110","12,326","38,559","19,369","12,024","12,707","23,441","10,343","5,776","20,953","16,039","15,742","7,798","16,054","13,489","14,151","29,907","13,921","10,969","12,555","2,529","22,394","37,923","30,028"
2021년10월_계_연령구간인구수,"427,684","4,817","6,864","4,788","3,108","9,110","12,326","38,559","19,369","12,024","12,707","23,441","10,343","5,776","20,953","16,039","15,742","7,798","16,054","13,489","14,151","29,907","13,921","10,969","12,555","2,529","22,394","37,923","30,028"
2021년10월_계_0~9세,"32,160",229,261,246,70,690,482,"2,577","1,671",504,893,"2,124",379,524,"1,660","1,061",995,267,830,422,957,"2,279","1,114",593,500,71,"2,612","3,824","4,325"
2021년10월_계_10~19세,"41,561",163,456,295,112,596,696,"3,668","2,245",869,"1,354","2,241",630,510,"1,625","1,860","1,408",602,"1,301",770,"1,639","4,459","1,702",974,753,122,"2,519","4,098","3,894"
2021년10월_계_20~29세,"61,615",866,"1,409",885,473,"1,215","2,321","7,258","2,485","1,688","1,778","3,000","1,295",721,"2,588","2,298","2,515","1,167","2,267","1,567","2,218","4,610","1,956","1,719","1,902",235,"2,738","5,173","3,268"
2021년10월_계_30~39세,"54,733",954,790,706,406,"1,405","1,948","4,798","2,209","1,312","1,432","3,476",940,751,"2,994","1,571","1,962",734,"1,687","1,263","1,666","2,908","1,648","1,243","1,435",212,"3,376","5,756","5,151"
2021년10월_계_40~49세,"65,944",630,846,707,369,"1,280","1,589","5,454","3,107","1,607","1,811","3,837","1,223",914,"2,947","2,405","2,299",968,"2,169","1,503","2,346","5,449","2,204","1,562","1,509",211,"4,023","6,548","6,427"
2021년10월_계_50~59세,"71,297",636,989,647,529,"1,347","1,936","6,650","3,073","2,068","2,225","3,866","1,747",875,"3,432","2,946","2,546","1,373","2,889","2,518","2,662","5,713","2,438","2,128","2,383",499,"3,403","5,937","3,842"
2021년10월_계_60~69세,"55,728",676,969,628,572,"1,316","1,745","4,710","2,770","2,105","1,914","2,904","2,058",754,"3,098","2,278","2,146","1,336","2,705","2,864","1,573","2,551","1,653","1,596","2,252",584,"2,113","3,881","1,977"
2021년10월_계_70~79세,"29,923",451,770,457,368,886,"1,083","2,394","1,318","1,282",854,"1,391","1,386",484,"1,726","1,099","1,207",934,"1,540","1,635",739,"1,196",769,795,"1,158",358,"1,008","1,828",807
2021년10월_계_80~89세,"12,847",194,333,194,164,324,482,931,433,524,373,521,599,215,768,458,576,365,578,829,303,653,371,308,582,208,521,751,289
2021년10월_계_90~99세,"1,806",16,40,21,39,49,41,116,57,61,73,74,85,26,108,61,85,50,87,113,48,86,64,48,81,28,79,123,47
2021년10월_계_100세 이상,70,2,1,2,6,2,3,3,1,4,0,7,1,2,7,2,3,2,1,5,0,3,2,3,0,1,2,4,1
2021년10월_남_총인구수,"212,370","2,485","3,508","2,529","1,664","4,506","6,491","19,199","9,356","6,070","6,089","11,559","5,024","2,887","10,323","7,779","7,484","3,887","7,944","6,490","7,287","14,675","6,828","5,572","6,138","1,320","11,344","19,054","14,878"
2021년10월_남_연령구간인구수,"212,370","2,485","3,508","2,529","1,664","4,506","6,491","19,199","9,356","6,070","6,089","11,559","5,024","2,887","10,323","7,779","7,484","3,887","7,944","6,490","7,287","14,675","6,828","5,572","6,138","1,320","11,344","19,054","14,878"
2021년10월_남_0~9세,"16,450",108,135,134,40,364,244,"1,280",855,235,450,"1,098",192,260,833,496,511,148,421,215,513,"1,184",584,299,227,36,"1,344","2,006","2,238"
2021년10월_남_10~19세,"21,880",90,228,158,54,312,366,"1,929","1,153",432,725,"1,201",337,252,884,963,721,314,679,406,912,"2,418",933,514,420,70,"1,306","2,084","2,019"
2021년10월_남_20~29세,"32,422",375,728,454,224,595,"1,204","3,842","1,271",892,969,"1,575",664,392,"1,373","1,240","1,280",614,"1,195",806,"1,254","2,520","1,050",913,977,139,"1,484","2,704","1,688"
2021년10월_남_30~39세,"28,536",502,466,426,243,724,"1,129","2,578","1,059",758,718,"1,754",519,388,"1,543",802,"1,038",397,902,681,872,"1,398",814,676,792,131,"1,691","3,045","2,490"
2021년10월_남_40~49세,"33,153",391,446,406,230,683,937,"2,722","1,428",835,837,"1,963",663,484,"1,555","1,108","1,139",520,"1,123",794,"1,129","2,373","1,020",823,804,119,"2,037","3,321","3,263"
2021년10월_남_50~59세,"34,983",364,524,370,312,675,"1,052","3,150","1,444","1,083",983,"1,823",885,465,"1,639","1,378","1,153",682,"1,426","1,251","1,359","2,809","1,105","1,075","1,123",282,"1,785","2,947","1,839"
