,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년07월_계_총인구수,"68,573","34,347","4,594","2,459","2,371","3,713","4,018","6,222","3,796","3,884","3,169"
2021년07월_계_연령구간인구수,"68,573","34,347","4,594","2,459","2,371","3,713","4,018","6,222","3,796","3,884","3,169"
2021년07월_계_0~9세,"3,671","2,522",112,48,45,124,106,382,99,111,122
2021년07월_계_10~19세,"5,034","3,439",160,112,72,183,188,423,126,192,139
2021년07월_계_20~29세,"6,587","4,017",365,141,114,276,228,781,220,259,186
2021년07월_계_30~39세,"5,863","3,746",286,108,91,198,218,592,226,222,176
2021년07월_계_40~49세,"8,053","5,218",381,158,177,296,327,531,344,360,261
2021년07월_계_50~59세,"12,209","5,860",750,438,465,751,752,959,731,782,721
2021년07월_계_60~69세,"14,730","5,332","1,322",742,751,"1,036","1,151","1,334","1,117","1,048",897
2021년07월_계_70~79세,"7,223","2,517",699,397,369,478,627,674,554,511,397
2021년07월_계_80~89세,"4,528","1,469",441,262,256,327,375,476,319,363,240
2021년07월_계_90~99세,643,211,75,52,30,40,43,70,58,35,29
2021년07월_계_100세 이상,32,16,3,1,1,4,3,0,2,1,1
2021년07월_남_총인구수,"35,305","17,375","2,428","1,227","1,235","1,900","2,090","3,316","2,007","2,037","1,690"
2021년07월_남_연령구간인구수,"35,305","17,375","2,428","1,227","1,235","1,900","2,090","3,316","2,007","2,037","1,690"
2021년07월_남_0~9세,"1,862","1,275",56,29,29,66,49,188,50,51,69
2021년07월_남_10~19세,"2,561","1,768",88,58,36,95,117,163,65,103,68
2021년07월_남_20~29세,"3,985","2,298",246,85,70,174,139,578,133,147,115
2021년07월_남_30~39세,"3,213","2,001",167,56,51,101,127,335,153,128,94
2021년07월_남_40~49세,"4,312","2,634",245,94,121,159,193,302,205,213,146
2021년07월_남_50~59세,"6,468","3,056",419,230,239,396,403,515,377,431,402
2021년07월_남_60~69세,"7,688","2,677",685,387,397,546,600,721,614,572,489
2021년07월_남_70~79세,"3,432","1,088",361,179,190,239,315,325,270,257,208
2021년07월_남_80~89세,"1,627",526,142,99,92,115,135,174,122,131,91
2021년07월_남_90~99세,153,51,19,10,10,8,11,15,18,4,7
2021년07월_남_100세 이상,4,1,0,0,0,1,1,0,0,0,1
2021년07월_여_총인구수,"33,268","16,972","2,166","1,232","1,136","1,813","1,928","2,906","1,789","1,847","1,479"
2021년07월_여_연령구간인구수,"33,268","16,972","2,166","1,232","1,136","1,813","1,928","2,906","1,789","1,847","1,479"
2021년07월_여_0~9세,"1,809","1,247",56,19,16,58,57,194,49,60,53
2021년07월_여_10~19세,"2,473","1,671",72,54,36,88,71,260,61,89,71
2021년07월_여_20~29세,"2,602","1,719",119,56,44,102,89,203,87,112,71
2021년07월_여_30~39세,"2,650","1,745",119,52,40,97,91,257,73,94,82
2021년07월_여_40~49세,"3,741","2,584",136,64,56,137,134,229,139,147,115
2021년07월_여_50~59세,"5,741","2,804",331,208,226,355,349,444,354,351,319
2021년07월_여_60~69세,"7,042","2,655",637,355,354,490,551,613,503,476,408
2021년07월_여_70~79세,"3,791","1,429",338,218,179,239,312,349,284,254,189
2021년07월_여_80~89세,"2,901",943,299,163,164,212,240,302,197,232,149
2021년07월_여_90~99세,490,160,56,42,20,32,32,55,40,31,22
2021년07월_여_100세 이상,28,15,3,1,1,3,2,0,2,1,0
