,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년06월_계_총인구수,"9,565,990","146,029","123,016","226,378","289,162","342,481","338,040","389,972","433,658","302,645","320,365","515,997","475,371","307,070","370,132","450,992","577,519","399,266","230,168","377,421","387,847","488,800","418,407","531,375","658,670","465,209"
2021년06월_계_연령구간인구수,"9,565,990","146,029","123,016","226,378","289,162","342,481","338,040","389,972","433,658","302,645","320,365","515,997","475,371","307,070","370,132","450,992","577,519","399,266","230,168","377,421","387,847","488,800","418,407","531,375","658,670","465,209"
2021년06월_계_0~9세,"602,526","7,275","6,505","13,157","19,842","18,576","19,982","22,029","28,368","14,906","17,841","31,763","28,620","19,452","24,276","30,688","38,228","26,799","12,028","25,422","23,873","21,044","32,547","35,384","48,533","35,388"
2021년06월_계_10~19세,"766,572","10,684","6,663","15,144","19,413","25,320","23,245","25,952","36,669","21,310","24,819","51,468","37,782","23,065","28,115","50,002","44,017","29,575","14,295","23,873","27,291","27,873","44,845","58,183","57,871","39,098"
2021년06월_계_20~29세,"1,443,208","23,147","18,323","33,605","44,374","62,352","56,158","55,480","66,183","41,995","42,520","71,705","66,395","49,525","61,815","58,724","86,728","54,803","37,184","59,111","65,435","108,741","53,637","71,666","92,215","61,387"
2021년06월_계_30~39세,"1,452,328","19,595","19,881","38,161","47,706","55,128","49,262","57,050","59,249","37,702","39,828","63,730","67,380","44,493","63,856","56,731","98,479","61,653","35,651","69,267","61,569","85,734","61,166","79,063","107,398","72,596"
2021년06월_계_40~49세,"1,501,071","21,433","17,738","34,772","43,988","51,276","49,475","56,493","68,737","45,257","47,191","83,729","75,071","46,171","60,539","77,790","90,187","62,047","32,099","55,865","58,061","66,796","76,005","97,714","107,534","75,103"
2021년06월_계_50~59세,"1,506,232","24,939","20,203","36,432","46,514","53,830","52,297","68,222","69,033","51,740","56,062","87,067","76,763","48,627","54,490","76,068","84,710","62,305","39,505","56,182","57,788","67,131","62,969","80,287","101,179","71,889"
2021년06월_계_60~69세,"1,269,804","20,192","17,756","28,855","37,132","43,531","46,971","59,813","56,027","46,816","50,807","69,672","65,915","39,141","40,492","59,438","78,490","56,937","33,986","47,717","50,031","59,620","48,173","60,385","86,178","65,729"
2021년06월_계_70~79세,"696,049","11,791","10,320","16,330","20,230","22,057","27,465","31,123","32,776","29,452","27,510","37,280","38,759","23,559","23,645","28,814","38,903","31,742","17,877","26,840","29,653","36,573","27,201","34,254","40,706","31,189"
2021년06월_계_80~89세,"284,923","5,985","4,769","8,457","8,760","9,144","11,678","12,146","14,528","11,996","11,999","16,963","16,384","11,390","11,223","11,008","15,187","11,861","6,635","11,582","12,237","13,561","9,991","12,106","14,466","10,867"
2021년06월_계_90~99세,"40,808",936,799,"1,374","1,122","1,196","1,427","1,587","1,983","1,423","1,665","2,500","2,018","1,535","1,574","1,660","2,498","1,492",862,"1,498","1,754","1,621","1,761","2,201","2,478","1,844"
2021년06월_계_100세 이상,"2,469",52,59,91,81,71,80,77,105,48,123,120,284,112,107,69,92,52,46,64,155,106,112,132,112,119
2021년06월_남_총인구수,"4,649,442","70,985","60,019","108,948","141,042","165,233","167,335","192,688","209,210","147,542","156,080","248,719","227,584","146,844","174,200","221,140","278,360","197,034","116,491","186,482","187,617","245,404","200,163","254,139","317,531","228,652"
2021년06월_남_연령구간인구수,"4,649,442","70,985","60,019","108,948","141,042","165,233","167,335","192,688","209,210","147,542","156,080","248,719","227,584","146,844","174,200","221,140","278,360","197,034","116,491","186,482","187,617","245,404","200,163","254,139","317,531","228,652"
2021년06월_남_0~9세,"309,269","3,651","3,363","6,765","10,120","9,487","10,262","11,392","14,483","7,702","9,254","16,377","14,678","9,891","12,367","15,754","19,504","13,666","6,220","13,010","12,209","10,794","16,743","18,243","24,991","18,343"
2021년06월_남_10~19세,"392,686","5,311","3,320","7,660","9,689","12,817","11,754","13,171","18,632","10,912","12,750","26,688","19,340","11,511","14,157","26,079","22,462","15,213","7,201","12,450","14,006","14,215","22,845","30,283","29,587","20,633"
2021년06월_남_20~29세,"696,930","11,255","8,575","15,841","21,863","29,196","27,681","27,445","31,759","20,688","21,632","36,618","31,755","23,613","27,774","29,849","39,989","26,906","18,586","27,439","31,556","52,896","25,822","34,200","43,888","30,104"
