카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년12월_계_총인구수,"547,178","238,311","12,485","21,277","16,484","6,949","10,254","26,355","15,654","10,604","17,247","19,397","31,304","13,162","14,903","22,236","308,867","21,113","13,029","12,292","16,995","10,684","35,843","18,854","26,575","14,496","23,325","16,607","18,050","19,722","21,982","15,593","12,786","10,921"
2021년12월_계_연령구간인구수,"547,178","238,311","12,485","21,277","16,484","6,949","10,254","26,355","15,654","10,604","17,247","19,397","31,304","13,162","14,903","22,236","308,867","21,113","13,029","12,292","16,995","10,684","35,843","18,854","26,575","14,496","23,325","16,607","18,050","19,722","21,982","15,593","12,786","10,921"
2021년12월_계_0~9세,"37,820","14,791",830,"1,089",755,230,436,"1,810","1,713",408,884,"1,321","1,984",818,604,"1,909","23,029","1,644","1,078",569,"1,267",629,"1,856","1,149","2,006","1,229","2,238","1,283","2,470","1,347","1,604","1,126",880,654
2021년12월_계_10~19세,"50,835","18,126","1,047","1,408","1,243",448,700,"1,581","1,293",635,"1,191","1,458","2,506","1,265","1,086","2,265","32,709","2,097","1,193",906,"2,171",674,"2,769","1,381","2,302","1,609","3,690","3,511","1,592","1,550","1,953","2,212","1,544","1,555"
2021년12월_계_20~29세,"74,873","33,537","1,906","3,327","2,410","1,008","1,387","3,975","1,884","1,551","2,305","2,453","4,350","1,862","2,051","3,068","41,336","2,801","1,744","1,774","2,044","1,369","5,575","2,849","3,518","2,050","2,452","1,765","1,961","3,066","3,191","1,984","1,754","1,439"
2021년12월_계_30~39세,"77,334","33,149","1,825","2,876","2,082",885,"1,273","5,120","2,628","1,424","2,125","2,639","3,960","1,443","1,634","3,235","44,185","2,695","1,876","1,592","2,032","2,226","4,664","2,907","5,594","1,793","3,061","1,197","3,841","3,016","3,087","2,020","1,544","1,040"
2021년12월_계_40~49세,"85,661","34,205","1,905","2,805","2,252",956,"1,406","3,855","2,644","1,370","2,210","2,800","4,583","1,958","2,030","3,431","51,456","3,284","1,959","1,599","3,133","1,739","4,692","2,889","4,821","2,336","5,126","3,905","3,275","2,681","3,228","2,875","2,077","1,837"
2021년12월_계_50~59세,"96,054","42,745","2,234","3,900","2,993","1,246","1,833","4,175","2,559","1,987","3,232","3,463","5,952","2,497","3,008","3,666","53,309","3,848","2,341","2,384","2,759","1,647","6,881","3,398","3,995","2,897","3,436","2,683","2,403","3,626","4,087","2,635","2,360","1,929"
2021년12월_계_60~69세,"75,518","36,733","1,639","3,448","2,856","1,115","1,814","3,544","1,844","1,957","3,105","3,131","4,622","2,047","2,546","3,065","38,785","3,055","1,830","2,056","2,130","1,355","5,646","2,556","2,637","1,588","2,020","1,334","1,666","2,933","3,256","1,551","1,711","1,461"
2021년12월_계_70~79세,"32,006","16,598",744,"1,648","1,305",648,899,"1,504",767,853,"1,457","1,393","2,201",828,"1,295","1,056","15,408","1,130",689,907,937,603,"2,439","1,133","1,050",606,751,570,586,"1,007","1,037",697,628,638
