카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년01월_계_총인구수,"65,491","18,930","20,068","2,451","6,337","2,908","3,551","5,579","2,001","2,768",898
2020년01월_계_연령구간인구수,"65,491","18,930","20,068","2,451","6,337","2,908","3,551","5,579","2,001","2,768",898
2020년01월_계_0~9세,"4,544","1,428","2,133",65,333,61,74,343,26,65,16
2020년01월_계_10~19세,"6,172","2,048","2,696",127,322,96,151,503,73,129,27
2020년01월_계_20~29세,"5,845","2,110","1,695",172,521,194,257,465,134,238,59
2020년01월_계_30~39세,"6,254","2,030","2,344",152,589,153,164,479,104,189,50
2020년01월_계_40~49세,"9,722","2,978","3,930",234,609,292,319,856,168,269,67
2020년01월_계_50~59세,"11,483","3,377","3,150",437,"1,104",575,641,"1,059",374,582,184
2020년01월_계_60~69세,"10,449","2,584","2,337",548,"1,223",683,782,876,495,668,253
2020년01월_계_70~79세,"6,602","1,441","1,175",404,904,503,677,632,374,353,139
2020년01월_계_80~89세,"3,919",817,528,285,651,312,429,326,232,248,91
2020년01월_계_90~99세,493,114,77,27,79,39,57,40,21,27,12
2020년01월_계_100세 이상,8,3,3,0,2,0,0,0,0,0,0
2020년01월_남_총인구수,"33,120","9,525","10,138","1,211","3,260","1,478","1,754","2,867","1,030","1,401",456
2020년01월_남_연령구간인구수,"33,120","9,525","10,138","1,211","3,260","1,478","1,754","2,867","1,030","1,401",456
2020년01월_남_0~9세,"2,263",730,"1,036",30,163,29,42,181,10,32,10
2020년01월_남_10~19세,"3,275","1,116","1,408",72,178,55,80,235,41,72,18
2020년01월_남_20~29세,"3,340","1,203",928,95,316,122,147,269,81,146,33
2020년01월_남_30~39세,"3,196","1,030","1,103",90,340,99,96,244,62,102,30
2020년01월_남_40~49세,"5,287","1,540","2,031",132,397,189,200,481,115,158,44
2020년01월_남_50~59세,"6,263","1,756","1,708",234,634,338,371,608,224,292,98
2020년01월_남_60~69세,"5,405","1,291","1,196",296,644,351,395,466,260,372,134
2020년01월_남_70~79세,"2,842",595,557,172,378,199,280,281,157,161,62
2020년01월_남_80~89세,"1,151",237,154,86,188,89,133,97,78,63,26
2020년01월_남_90~99세,95,27,16,4,20,7,10,5,2,3,1
2020년01월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년01월_여_총인구수,"32,371","9,405","9,930","1,240","3,077","1,430","1,797","2,712",971,"1,367",442
2020년01월_여_연령구간인구수,"32,371","9,405","9,930","1,240","3,077","1,430","1,797","2,712",971,"1,367",442
2020년01월_여_0~9세,"2,281",698,"1,097",35,170,32,32,162,16,33,6
2020년01월_여_10~19세,"2,897",932,"1,288",55,144,41,71,268,32,57,9
2020년01월_여_20~29세,"2,505",907,767,77,205,72,110,196,53,92,26
2020년01월_여_30~39세,"3,058","1,000","1,241",62,249,54,68,235,42,87,20
2020년01월_여_40~49세,"4,435","1,438","1,899",102,212,103,119,375,53,111,23
2020년01월_여_50~59세,"5,220","1,621","1,442",203,470,237,270,451,150,290,86
2020년01월_여_60~69세,"5,044","1,293","1,141",252,579,332,387,410,235,296,119
2020년01월_여_70~79세,"3,760",846,618,232,526,304,397,351,217,192,77
2020년01월_여_80~89세,"2,768",580,374,199,463,223,296,229,154,185,65
2020년01월_여_90~99세,398,87,61,23,59,32,47,35,19,24,11
2020년01월_여_100세 이상,5,3,2,0,0,0,0,0,0,0,0
