,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년03월_계_총인구수,"1,536,399","282,328","354,437","212,909","89,922","42,249","82,213","64,393","68,751","46,399","38,458","41,212","36,059","44,171","24,506","22,172","31,521","26,743","27,956"
2021년03월_계_연령구간인구수,"1,536,399","282,328","354,437","212,909","89,922","42,249","82,213","64,393","68,751","46,399","38,458","41,212","36,059","44,171","24,506","22,172","31,521","26,743","27,956"
2021년03월_계_0~9세,"104,267","21,417","28,073","13,309","6,511","2,495","5,781","3,772","3,729","2,125","1,641","1,836","1,707","3,315","1,776","1,702","2,455","1,289","1,334"
2021년03월_계_10~19세,"136,144","26,803","35,646","18,753","8,680","3,764","7,333","5,044","5,110","3,571","2,934","2,825","2,501","3,708","1,742","2,034","2,278","1,603","1,815"
2021년03월_계_20~29세,"177,773","37,284","45,265","24,929","9,265","3,621","8,927","6,975","6,764","3,788","3,183","3,346","2,723","5,629","3,781","3,100","4,063","2,743","2,387"
2021년03월_계_30~39세,"164,474","34,070","45,254","21,424","8,995","3,629","9,085","5,590","5,981","3,375","2,725","3,003","2,970","4,623","2,827","2,542","3,819","2,247","2,315"
2021년03월_계_40~49세,"222,044","42,139","56,873","32,155","14,395","6,325","12,324","8,792","8,130","5,052","4,510","5,218","4,802","5,620","2,665","2,504","3,961","3,042","3,537"
2021년03월_계_50~59세,"265,217","46,737","60,723","36,466","15,538","7,246","15,011","11,145","12,472","8,634","7,251","7,893","6,820","7,048","3,826","3,496","5,144","4,750","5,017"
2021년03월_계_60~69세,"246,701","39,077","46,805","34,391","14,146","7,801","13,095","11,330","14,202","10,450","8,222","9,014","7,559","6,881","3,904","3,447","5,373","5,328","5,676"
2021년03월_계_70~79세,"134,639","20,874","21,564","19,631","8,026","4,886","6,780","7,115","7,254","5,543","4,830","4,938","4,428","4,683","2,362","2,002","2,639","3,466","3,618"
2021년03월_계_80~89세,"73,365","11,967","12,328","10,087","3,836","2,168","3,255","4,022","4,432","3,319","2,777","2,753","2,219","2,283","1,387","1,172","1,532","1,913","1,915"
2021년03월_계_90~99세,"11,279","1,899","1,843","1,677",518,291,604,579,643,516,358,370,313,364,224,158,250,344,328
2021년03월_계_100세 이상,496,61,63,87,12,23,18,29,34,26,27,16,17,17,12,15,7,18,14
2021년03월_남_총인구수,"773,248","139,420","175,816","105,564","45,660","21,398","40,736","32,566","35,381","23,812","19,895","21,151","18,776","22,963","13,313","11,748","17,046","13,770","14,233"
2021년03월_남_연령구간인구수,"773,248","139,420","175,816","105,564","45,660","21,398","40,736","32,566","35,381","23,812","19,895","21,151","18,776","22,963","13,313","11,748","17,046","13,770","14,233"
2021년03월_남_0~9세,"53,356","10,990","14,300","6,886","3,347","1,308","2,943","1,914","1,874","1,128",864,913,878,"1,669",898,863,"1,246",659,676
2021년03월_남_10~19세,"70,800","13,917","18,439","9,823","4,524","1,959","3,800","2,608","2,613","1,866","1,596","1,489","1,298","1,932",879,"1,012","1,195",876,974
2021년03월_남_20~29세,"100,001","19,902","24,063","13,651","5,466","2,085","5,027","3,883","4,104","2,161","1,855","1,987","1,565","3,666","2,645","2,078","2,707","1,742","1,414"
2021년03월_남_30~39세,"86,463","17,406","23,003","11,268","4,807","1,923","4,865","3,018","3,279","1,761","1,481","1,625","1,663","2,547","1,672","1,422","2,190","1,279","1,254"
2021년03월_남_40~49세,"113,993","20,824","28,025","16,368","7,508","3,358","6,166","4,842","4,353","2,813","2,468","2,843","2,794","3,013","1,458","1,349","2,200","1,684","1,927"
2021년03월_남_50~59세,"136,665","23,483","30,538","18,369","8,040","3,880","7,427","6,022","6,573","4,595","4,026","4,228","3,773","3,749","2,079","1,865","2,752","2,573","2,693"
2021년03월_남_60~69세,"122,776","18,941","23,137","16,419","6,844","3,846","6,309","5,684","7,411","5,448","4,286","4,704","3,986","3,387","2,090","1,835","2,885","2,721","2,843"
2021년03월_남_70~79세,"60,508","9,177","9,585","8,785","3,638","2,174","2,954","3,147","3,428","2,693","2,206","2,299","1,984","2,083","1,052",870,"1,263","1,492","1,678"
2021년03월_남_80~89세,"26,078","4,300","4,298","3,649","1,381",790,"1,122","1,338","1,585","1,227","1,001",987,770,828,484,408,540,665,705
2021년03월_남_90~99세,"2,481",463,416,324,102,66,117,105,157,116,102,72,58,84,51,40,64,76,68
2021년03월_남_100세 이상,127,17,12,22,3,9,6,5,4,4,10,4,7,5,5,6,4,3,1
2021년03월_여_총인구수,"763,151","142,908","178,621","107,345","44,262","20,851","41,477","31,827","33,370","22,587","18,563","20,061","17,283","21,208","11,193","10,424","14,475","12,973","13,723"
2021년03월_여_연령구간인구수,"763,151","142,908","178,621","107,345","44,262","20,851","41,477","31,827","33,370","22,587","18,563","20,061","17,283","21,208","11,193","10,424","14,475","12,973","13,723"
