,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년01월_계_총인구수,"54,512","21,319","2,239","2,667","2,794","2,522","2,431","2,793","1,799","3,330","2,525","3,110","1,972","2,248","2,763"
2021년01월_계_연령구간인구수,"54,512","21,319","2,239","2,667","2,794","2,522","2,431","2,793","1,799","3,330","2,525","3,110","1,972","2,248","2,763"
2021년01월_계_0~9세,"2,683","1,815",50,81,81,64,60,81,42,74,72,84,42,55,82
2021년01월_계_10~19세,"4,278","2,646",108,101,213,118,153,107,53,153,104,151,77,107,187
2021년01월_계_20~29세,"4,268","2,352",144,165,158,139,162,141,75,183,156,209,113,143,128
2021년01월_계_30~39세,"3,839","2,109",120,142,136,136,121,137,90,153,160,170,111,114,140
2021년01월_계_40~49세,"6,190","3,149",191,250,251,204,244,223,147,285,254,305,187,211,289
2021년01월_계_50~59세,"9,004","3,434",400,488,449,411,421,430,288,590,489,534,296,367,407
2021년01월_계_60~69세,"9,713","2,818",475,548,539,536,461,639,409,698,520,662,430,447,531
2021년01월_계_70~79세,"8,377","1,818",417,521,596,513,482,612,344,670,461,543,392,440,568
2021년01월_계_80~89세,"5,298",988,288,322,332,352,283,367,311,453,269,389,277,304,363
2021년01월_계_90~99세,825,182,44,48,38,46,43,54,39,65,39,59,47,57,64
2021년01월_계_100세 이상,37,8,2,1,1,3,1,2,1,6,1,4,0,3,4
2021년01월_남_총인구수,"26,953","10,574","1,144","1,355","1,370","1,239","1,174","1,364",878,"1,639","1,268","1,513","1,003","1,087","1,345"
2021년01월_남_연령구간인구수,"26,953","10,574","1,144","1,355","1,370","1,239","1,174","1,364",878,"1,639","1,268","1,513","1,003","1,087","1,345"
2021년01월_남_0~9세,"1,416",951,23,41,45,41,36,44,19,42,42,42,18,30,42
2021년01월_남_10~19세,"2,337","1,451",64,56,124,52,90,48,34,82,54,72,52,49,109
2021년01월_남_20~29세,"2,431","1,306",91,95,96,86,89,79,50,107,82,121,71,81,77
2021년01월_남_30~39세,"2,064","1,040",72,85,75,82,64,83,55,95,97,101,63,63,89
2021년01월_남_40~49세,"3,512","1,596",122,158,154,119,141,152,95,183,175,175,129,134,179
2021년01월_남_50~59세,"4,921","1,712",239,295,252,242,239,255,175,325,268,291,169,209,250
2021년01월_남_60~69세,"4,815","1,341",261,275,259,257,227,311,194,367,264,342,234,231,252
2021년01월_남_70~79세,"3,618",791,187,229,244,239,198,282,154,279,195,229,170,189,232
2021년01월_남_80~89세,"1,695",351,82,112,114,111,79,105,94,143,85,132,89,95,103
2021년01월_남_90~99세,143,35,3,9,7,10,11,5,8,15,6,8,8,6,12
2021년01월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021년01월_여_총인구수,"27,559","10,745","1,095","1,312","1,424","1,283","1,257","1,429",921,"1,691","1,257","1,597",969,"1,161","1,418"
2021년01월_여_연령구간인구수,"27,559","10,745","1,095","1,312","1,424","1,283","1,257","1,429",921,"1,691","1,257","1,597",969,"1,161","1,418"
2021년01월_여_0~9세,"1,267",864,27,40,36,23,24,37,23,32,30,42,24,25,40
2021년01월_여_10~19세,"1,941","1,195",44,45,89,66,63,59,19,71,50,79,25,58,78
2021년01월_여_20~29세,"1,837","1,046",53,70,62,53,73,62,25,76,74,88,42,62,51
2021년01월_여_30~39세,"1,775","1,069",48,57,61,54,57,54,35,58,63,69,48,51,51
2021년01월_여_40~49세,"2,678","1,553",69,92,97,85,103,71,52,102,79,130,58,77,110
2021년01월_여_50~59세,"4,083","1,722",161,193,197,169,182,175,113,265,221,243,127,158,157
2021년01월_여_60~69세,"4,898","1,477",214,273,280,279,234,328,215,331,256,320,196,216,279
2021년01월_여_70~79세,"4,759","1,027",230,292,352,274,284,330,190,391,266,314,222,251,336
2021년01월_여_80~89세,"3,603",637,206,210,218,241,204,262,217,310,184,257,188,209,260
2021년01월_여_90~99세,682,147,41,39,31,36,32,49,31,50,33,51,39,51,52
2021년01월_여_100세 이상,36,8,2,1,1,3,1,2,1,5,1,4,0,3,4
