카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 군내면,경기도 파주시 장단출장소,경기도 파주시 장단면,경기도 파주시 진동면,경기도 파주시 진서면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년05월_계_총인구수,"471,219","48,278","13,303","10,497","29,969","9,051","13,326","11,295","3,869","7,521",0,555,0,163,0,"22,190","33,092","27,566","42,897","49,637","63,079","84,931"
2021년05월_계_연령구간인구수,"471,219","48,278","13,303","10,497","29,969","9,051","13,326","11,295","3,869","7,521",0,555,0,163,0,"22,190","33,092","27,566","42,897","49,637","63,079","84,931"
2021년05월_계_0~9세,"43,603","4,743",609,322,"1,708",182,636,453,90,570,0,18,0,4,0,"1,091","3,214","2,237","3,829","5,245","8,828","9,824"
2021년05월_계_10~19세,"49,441","4,786",811,691,"2,731",277,991,623,182,515,0,31,0,14,0,"1,492","4,226","2,740","5,504","6,188","7,617","10,022"
2021년05월_계_20~29세,"57,809","5,703","1,531","1,289","3,697","1,928","1,496","1,232",423,957,0,54,0,3,0,"3,434","4,217","3,859","5,125","6,095","6,602","10,164"
2021년05월_계_30~39세,"67,090","7,521","1,342",872,"2,930","2,179","1,451","1,007",236,867,0,50,0,10,0,"2,800","4,353","3,593","5,387","7,325","11,525","13,642"
2021년05월_계_40~49세,"81,335","7,520","1,704","1,144","4,459",999,"2,097","1,287",345,806,0,69,0,17,0,"3,232","6,011","4,319","8,280","9,505","12,566","16,975"
2021년05월_계_50~59세,"74,542","7,010","2,551","2,097","5,916","1,337","2,586","2,276",761,"1,182",0,107,0,29,0,"4,183","5,318","4,811","7,064","7,487","7,739","12,088"
2021년05월_계_60~69세,"51,775","5,461","2,370","2,060","4,647","1,175","2,110","2,309",824,"1,265",0,97,0,31,0,"3,226","2,987","3,270","4,194","4,461","4,449","6,839"
2021년05월_계_70~79세,"28,776","3,447","1,393","1,259","2,452",580,"1,157","1,245",581,889,0,81,0,33,0,"1,764","1,766","1,732","2,211","2,178","2,471","3,537"
2021년05월_계_80~89세,"14,682","1,844",856,663,"1,260",340,687,715,358,391,0,44,0,18,0,845,878,887,"1,125","1,005","1,115","1,651"
2021년05월_계_90~99세,"2,091",234,128,100,158,54,108,145,66,77,0,4,0,4,0,120,118,116,173,142,162,182
2021년05월_계_100세 이상,75,9,8,0,11,0,7,3,3,2,0,0,0,0,0,3,4,2,5,6,5,7
2021년05월_남_총인구수,"238,960","24,718","7,094","5,618","15,253","5,815","7,258","6,168","2,037","4,078",0,280,0,90,0,"11,784","16,161","14,147","21,769","24,347","30,788","41,555"
2021년05월_남_연령구간인구수,"238,960","24,718","7,094","5,618","15,253","5,815","7,258","6,168","2,037","4,078",0,280,0,90,0,"11,784","16,161","14,147","21,769","24,347","30,788","41,555"
2021년05월_남_0~9세,"22,275","2,398",327,177,855,88,346,238,51,289,0,8,0,1,0,556,"1,641","1,116","1,950","2,673","4,515","5,046"
2021년05월_남_10~19세,"25,396","2,463",418,373,"1,369",157,516,343,95,300,0,13,0,6,0,792,"2,171","1,448","2,884","3,082","3,843","5,123"
2021년05월_남_20~29세,"30,729","3,152",924,811,"2,010","1,184",890,769,281,613,0,26,0,3,0,"1,939","2,120","2,129","2,761","2,957","3,156","5,004"
2021년05월_남_30~39세,"35,451","4,162",765,496,"1,616","1,767",857,604,142,500,0,23,0,6,0,"1,641","2,202","1,918","2,750","3,661","5,685","6,656"
2021년05월_남_40~49세,"41,645","3,998",994,661,"2,294",715,"1,190",760,199,460,0,48,0,7,0,"1,765","2,875","2,228","4,100","4,694","6,286","8,371"
2021년05월_남_50~59세,"38,982","3,659","1,447","1,147","3,095",835,"1,473","1,277",431,644,0,55,0,19,0,"2,364","2,720","2,493","3,783","3,734","3,830","5,976"
2021년05월_남_60~69세,"25,855","2,659","1,266","1,106","2,362",661,"1,149","1,289",425,679,0,53,0,17,0,"1,634","1,364","1,640","2,137","2,174","2,015","3,225"
2021년05월_남_70~79세,"12,708","1,491",617,596,"1,128",283,550,612,267,415,0,34,0,18,0,776,725,794,968,962,"1,002","1,470"
2021년05월_남_80~89세,"5,371",649,300,218,483,114,263,243,131,157,0,17,0,11,0,288,318,350,403,380,411,635
2021년05월_남_90~99세,529,84,34,33,38,11,24,32,12,21,0,3,0,2,0,29,23,30,32,30,43,48
2021년05월_남_100세 이상,19,3,2,0,3,0,0,1,3,0,0,0,0,0,0,0,2,1,1,0,2,1
2021년05월_여_총인구수,"232,259","23,560","6,209","4,879","14,716","3,236","6,068","5,127","1,832","3,443",0,275,0,73,0,"10,406","16,931","13,419","21,128","25,290","32,291","43,376"
2021년05월_여_연령구간인구수,"232,259","23,560","6,209","4,879","14,716","3,236","6,068","5,127","1,832","3,443",0,275,0,73,0,"10,406","16,931","13,419","21,128","25,290","32,291","43,376"
2021년05월_여_0~9세,"21,328","2,345",282,145,853,94,290,215,39,281,0,10,0,3,0,535,"1,573","1,121","1,879","2,572","4,313","4,778"
2021년05월_여_10~19세,"24,045","2,323",393,318,"1,362",120,475,280,87,215,0,18,0,8,0,700,"2,055","1,292","2,620","3,106","3,774","4,899"
2021년05월_여_20~29세,"27,080","2,551",607,478,"1,687",744,606,463,142,344,0,28,0,0,0,"1,495","2,097","1,730","2,364","3,138","3,446","5,160"
2021년05월_여_30~39세,"31,639","3,359",577,376,"1,314",412,594,403,94,367,0,27,0,4,0,"1,159","2,151","1,675","2,637","3,664","5,840","6,986"
2021년05월_여_40~49세,"39,690","3,522",710,483,"2,165",284,907,527,146,346,0,21,0,10,0,"1,467","3,136","2,091","4,180","4,811","6,280","8,604"
2021년05월_여_50~59세,"35,560","3,351","1,104",950,"2,821",502,"1,113",999,330,538,0,52,0,10,0,"1,819","2,598","2,318","3,281","3,753","3,909","6,112"
2021년05월_여_60~69세,"25,920","2,802","1,104",954,"2,285",514,961,"1,020",399,586,0,44,0,14,0,"1,592","1,623","1,630","2,057","2,287","2,434","3,614"
2021년05월_여_70~79세,"16,068","1,956",776,663,"1,324",297,607,633,314,474,0,47,0,15,0,988,"1,041",938,"1,243","1,216","1,469","2,067"
2021년05월_여_80~89세,"9,311","1,195",556,445,777,226,424,472,227,234,0,27,0,7,0,557,560,537,722,625,704,"1,016"
2021년05월_여_90~99세,"1,562",150,94,67,120,43,84,113,54,56,0,1,0,2,0,91,95,86,141,112,119,134
2021년05월_여_100세 이상,56,6,6,0,8,0,7,2,0,2,0,0,0,0,0,3,2,1,4,6,3,6
