카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년01월_계_총인구수,"104,687","5,368","1,304","7,152","5,224","3,074","2,807","3,939","4,300","8,478","3,426","5,010","1,767","2,750","15,923","20,339","7,940","5,886"
2021년01월_계_연령구간인구수,"104,687","5,368","1,304","7,152","5,224","3,074","2,807","3,939","4,300","8,478","3,426","5,010","1,767","2,750","15,923","20,339","7,940","5,886"
2021년01월_계_0~9세,"5,581",146,19,281,124,62,56,90,78,461,81,108,32,65,"1,321","1,963",359,335
2021년01월_계_10~19세,"7,804",249,48,425,242,86,119,214,151,529,124,253,58,141,"1,392","2,585",632,556
2021년01월_계_20~29세,"9,141",323,126,489,366,158,183,218,234,664,174,318,85,235,"1,945","2,169",785,669
2021년01월_계_30~39세,"8,850",327,71,491,331,149,146,177,244,663,164,241,64,190,"2,126","2,157",705,604
2021년01월_계_40~49세,"12,891",509,96,753,473,208,255,363,311,"1,012",302,375,130,306,"2,408","3,473","1,048",869
2021년01월_계_50~59세,"18,717",992,235,"1,332","1,010",521,566,739,887,"1,497",585,882,275,538,"2,781","3,313","1,449","1,115"
2021년01월_계_60~69세,"21,164","1,369",331,"1,615","1,325",945,715,"1,062","1,270","1,795",931,"1,294",497,619,"2,314","2,610","1,458","1,014"
2021년01월_계_70~79세,"12,687",921,218,"1,074",792,560,476,671,691,"1,144",640,847,349,423,"1,079","1,355",936,511
2021년01월_계_80~89세,"6,887",465,138,618,488,333,252,353,383,626,380,602,246,206,466,629,508,194
2021년01월_계_90~99세,917,65,22,67,71,52,35,51,48,81,41,87,31,21,88,82,58,17
2021년01월_계_100세 이상,48,2,0,7,2,0,4,1,3,6,4,3,0,6,3,3,2,2
2021년01월_남_총인구수,"51,291","2,655",648,"3,575","2,692","1,478","1,435","2,026","2,123","4,182","1,695","2,440",861,"1,332","7,835","9,805","3,671","2,838"
2021년01월_남_연령구간인구수,"51,291","2,655",648,"3,575","2,692","1,478","1,435","2,026","2,123","4,182","1,695","2,440",861,"1,332","7,835","9,805","3,671","2,838"
2021년01월_남_0~9세,"2,841",75,9,153,69,31,31,50,43,227,39,59,13,33,633,"1,037",184,155
2021년01월_남_10~19세,"4,100",130,27,229,128,49,69,117,78,267,68,141,30,75,729,"1,373",306,284
2021년01월_남_20~29세,"5,257",188,72,296,248,100,119,144,147,395,103,176,61,153,"1,070","1,210",405,370
2021년01월_남_30~39세,"4,689",194,45,283,200,85,83,107,138,355,99,139,37,97,"1,108","1,033",375,311
2021년01월_남_40~49세,"6,830",306,64,459,282,134,153,228,185,573,191,209,81,164,"1,230","1,636",505,430
2021년01월_남_50~59세,"9,467",508,131,702,558,258,305,393,443,769,309,494,126,271,"1,381","1,566",720,533
2021년01월_남_60~69세,"10,294",690,155,778,681,457,363,551,643,904,455,642,270,286,"1,089","1,182",673,475
2021년01월_남_70~79세,"5,516",403,98,472,346,263,224,322,327,494,302,379,159,183,430,557,338,219
2021년01월_남_80~89세,"2,111",147,44,190,166,90,85,107,111,180,122,187,78,64,141,192,150,57
2021년01월_남_90~99세,177,13,3,12,14,11,2,7,7,18,6,14,6,4,24,18,14,4
2021년01월_남_100세 이상,9,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0
2021년01월_여_총인구수,"53,396","2,713",656,"3,577","2,532","1,596","1,372","1,913","2,177","4,296","1,731","2,570",906,"1,418","8,088","10,534","4,269","3,048"
2021년01월_여_연령구간인구수,"53,396","2,713",656,"3,577","2,532","1,596","1,372","1,913","2,177","4,296","1,731","2,570",906,"1,418","8,088","10,534","4,269","3,048"
2021년01월_여_0~9세,"2,740",71,10,128,55,31,25,40,35,234,42,49,19,32,688,926,175,180
2021년01월_여_10~19세,"3,704",119,21,196,114,37,50,97,73,262,56,112,28,66,663,"1,212",326,272
2021년01월_여_20~29세,"3,884",135,54,193,118,58,64,74,87,269,71,142,24,82,875,959,380,299
2021년01월_여_30~39세,"4,161",133,26,208,131,64,63,70,106,308,65,102,27,93,"1,018","1,124",330,293
2021년01월_여_40~49세,"6,061",203,32,294,191,74,102,135,126,439,111,166,49,142,"1,178","1,837",543,439
2021년01월_여_50~59세,"9,250",484,104,630,452,263,261,346,444,728,276,388,149,267,"1,400","1,747",729,582
2021년01월_여_60~69세,"10,870",679,176,837,644,488,352,511,627,891,476,652,227,333,"1,225","1,428",785,539
2021년01월_여_70~79세,"7,171",518,120,602,446,297,252,349,364,650,338,468,190,240,649,798,598,292
2021년01월_여_80~89세,"4,776",318,94,428,322,243,167,246,272,446,258,415,168,142,325,437,358,137
2021년01월_여_90~99세,740,52,19,55,57,41,33,44,41,63,35,73,25,17,64,64,44,13
2021년01월_여_100세 이상,39,1,0,6,2,0,3,1,2,6,3,3,0,4,3,2,1,2
