,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020년08월_계_총인구수,"481,124","22,845","15,111","18,486","16,707","16,392","12,661","27,251","19,264","12,451","24,134","21,992","25,302","11,184","15,294","22,082","41,499","15,912","51,055","3,846","17,189","36,925","13,195","20,347"
2020년08월_계_연령구간인구수,"481,124","22,845","15,111","18,486","16,707","16,392","12,661","27,251","19,264","12,451","24,134","21,992","25,302","11,184","15,294","22,082","41,499","15,912","51,055","3,846","17,189","36,925","13,195","20,347"
2020년08월_계_0~9세,"39,250","2,215",728,929,"1,154","1,041",682,"1,725","1,267",895,"2,000","1,206","1,542",430,830,"1,893","5,573","1,335","6,479",106,"1,597","3,381","1,018","1,224"
2020년08월_계_10~19세,"50,423","3,076","1,050","1,500","1,520","1,265",635,"2,440","1,319","1,163","2,696","1,744","2,161",594,"1,350","2,783","4,714","1,661","6,324",163,"3,423","4,483","1,402","2,957"
2020년08월_계_20~29세,"74,259","2,856","2,437","2,608","2,156","2,199","2,527","5,353","4,421","1,668","3,172","4,237","5,623","2,775","1,939","2,895","4,964","2,828","6,859",299,"1,698","5,571","2,417","2,757"
2020년08월_계_30~39세,"67,263","2,762","1,593","1,945","1,806","2,048","2,195","4,581","3,563","1,579","2,852","3,524","4,267","1,849","1,598","2,689","6,858","2,071","8,485",281,"1,452","5,520","2,028","1,717"
2020년08월_계_40~49세,"79,459","4,351","1,843","2,556","2,398","2,359","1,707","4,525","2,909","1,904","4,125","3,249","3,868","1,583","2,029","3,556","7,681","2,417","9,568",414,"4,026","6,595","2,229","3,567"
2020년08월_계_50~59세,"78,089","3,514","2,684","3,249","3,194","2,978","1,888","4,421","2,534","2,009","3,894","3,540","4,086","1,894","2,944","4,072","5,669","2,861","7,324",721,"2,451","6,346","2,214","3,602"
2020년08월_계_60~69세,"53,723","2,377","2,626","3,143","2,585","2,535","1,652","2,526","1,893","1,777","3,092","2,821","2,395","1,249","2,483","2,775","3,759","1,500","3,535",752,"1,315","3,274","1,183","2,476"
2020년08월_계_70~79세,"25,741","1,190","1,507","1,716","1,240","1,355",928,"1,080",947,998,"1,601","1,150",898,555,"1,283",909,"1,530",797,"1,640",617,816,"1,143",467,"1,374"
