,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년05월_계_총인구수,"1,538,639","281,439","351,979","212,929","90,366","43,254","81,792","65,834","68,832","46,276","38,759","41,779","37,025","45,084","24,657","22,378","31,548","26,921","27,787"
2020년05월_계_연령구간인구수,"1,538,639","281,439","351,979","212,929","90,366","43,254","81,792","65,834","68,832","46,276","38,759","41,779","37,025","45,084","24,657","22,378","31,548","26,921","27,787"
2020년05월_계_0~9세,"107,875","21,985","28,794","13,819","6,794","2,733","5,881","4,000","3,882","2,239","1,727","1,968","1,798","3,383","1,854","1,796","2,551","1,291","1,380"
2020년05월_계_10~19세,"140,101","27,394","36,301","19,592","8,909","3,939","7,594","5,223","5,327","3,504","2,943","2,992","2,632","3,914","1,820","2,117","2,299","1,689","1,912"
2020년05월_계_20~29세,"178,977","36,943","45,216","25,082","9,335","3,677","8,840","7,402","6,570","3,900","3,317","3,408","2,868","6,001","3,819","3,083","4,136","2,990","2,390"
2020년05월_계_30~39세,"168,729","34,570","45,503","21,971","9,454","4,014","9,265","6,073","6,232","3,554","2,876","3,269","3,258","4,775","2,852","2,592","3,870","2,222","2,379"
2020년05월_계_40~49세,"226,018","42,604","57,450","32,537","14,732","6,558","12,521","9,094","8,380","5,175","4,745","5,427","4,987","5,803","2,761","2,597","3,987","3,109","3,551"
2020년05월_계_50~59세,"269,022","47,033","60,341","36,745","15,637","7,540","15,146","11,519","12,976","8,855","7,465","8,192","7,160","7,379","3,992","3,633","5,372","4,943","5,094"
2020년05월_계_60~69세,"231,156","36,611","43,296","32,465","13,301","7,535","12,080","10,797","13,225","9,764","7,807","8,520","7,259","6,470","3,579","3,232","4,895","5,015","5,305"
2020년05월_계_70~79세,"135,633","21,096","21,562","19,428","8,016","4,894","6,734","7,207","7,325","5,621","4,888","5,036","4,535","4,813","2,464","2,060","2,743","3,541","3,670"
2020년05월_계_80~89세,"69,533","11,248","11,663","9,606","3,665","2,047","3,105","3,918","4,271","3,131","2,606","2,582","2,136","2,155","1,297","1,109","1,446","1,772","1,776"
2020년05월_계_90~99세,"10,774","1,846","1,749","1,580",494,255,591,552,603,503,336,344,345,346,204,144,235,333,314
2020년05월_계_100세 이상,821,109,104,104,29,62,35,49,41,30,49,41,47,45,15,15,14,16,16
2020년05월_남_총인구수,"773,923","138,877","174,701","105,604","45,769","21,847","40,436","33,390","35,290","23,699","19,996","21,376","19,224","23,475","13,336","11,802","17,051","13,910","14,140"
