카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년02월_계_총인구수,"437,961","16,859","23,387","15,507","15,165","24,469","15,009","15,681","18,570","23,418","15,353","25,466","36,086","16,938","39,524","26,924","19,840","23,904","13,843","16,580","35,438"
2021년02월_계_연령구간인구수,"437,961","16,859","23,387","15,507","15,165","24,469","15,009","15,681","18,570","23,418","15,353","25,466","36,086","16,938","39,524","26,924","19,840","23,904","13,843","16,580","35,438"
2021년02월_계_0~9세,"28,981",765,"1,123",575,807,"1,982",444,975,"1,400","1,490",580,"1,640","3,928","1,438","2,677","2,064","1,067","1,682",597,"1,762","1,985"
2021년02월_계_10~19세,"37,101","1,189","1,884",933,"1,313","2,850",845,934,"1,778","1,862",959,"2,144","4,879","1,430","3,662","2,605","1,482","1,918",885,"1,357","2,192"
2021년02월_계_20~29세,"66,357","2,776","4,209","4,428","2,049","2,976","5,022","2,676","2,307","3,236","3,083","3,239","3,423","2,078","5,710","3,058","3,529","3,321","1,948","2,121","5,168"
2021년02월_계_30~39세,"59,914","2,512","3,265","2,506","1,983","2,992","2,020","2,600","2,615","3,142","1,867","3,246","4,593","2,461","5,165","3,592","2,736","3,250","1,711","2,683","4,975"
2021년02월_계_40~49세,"69,963","2,565","3,667","1,999","2,146","4,486","1,660","2,396","3,209","3,599","1,934","4,191","7,895","2,950","6,424","4,583","2,845","3,637","1,956","2,669","5,152"
2021년02월_계_50~59세,"69,549","2,763","3,676","1,941","2,733","4,096","2,033","2,550","2,860","3,743","2,380","4,183","4,994","2,777","6,339","4,262","3,050","4,176","2,425","2,601","5,967"
2021년02월_계_60~69세,"55,491","2,075","2,771","1,492","2,171","2,738","1,470","1,917","2,257","3,374","2,240","3,611","3,295","2,110","4,848","3,593","2,690","3,321","2,200","1,966","5,352"
2021년02월_계_70~79세,"33,657","1,365","1,830","1,067","1,295","1,481",993,"1,101","1,423","2,015","1,492","2,175","2,087","1,153","2,925","2,182","1,616","1,758","1,442","1,007","3,250"
2021년02월_계_80~89세,"14,439",700,817,473,575,727,449,452,623,821,695,872,835,455,"1,489",851,711,729,566,352,"1,247"
