카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2021년01월_계_총인구수,"175,428","53,060","8,663","81,877","23,776","8,052"
2021년01월_계_연령구간인구수,"175,428","53,060","8,663","81,877","23,776","8,052"
2021년01월_계_0~9세,"19,121","3,168",402,"12,160","3,003",388
2021년01월_계_10~19세,"17,561","4,434",421,"10,627","1,645",434
2021년01월_계_20~29세,"17,093","6,330","1,036","6,643","2,354",730
2021년01월_계_30~39세,"24,958","5,587","1,040","13,244","4,405",682
2021년01월_계_40~49세,"32,391","8,256",951,"18,516","3,668","1,000"
2021년01월_계_50~59세,"24,239","9,399","1,564","8,407","3,446","1,423"
2021년01월_계_60~69세,"21,648","8,272","1,667","6,928","3,004","1,777"
2021년01월_계_70~79세,"12,424","5,014",968,"3,839","1,520","1,083"
2021년01월_계_80~89세,"5,200","2,266",513,"1,324",627,470
2021년01월_계_90~99세,749,314,90,184,98,63
2021년01월_계_100세 이상,44,20,11,5,6,2
2021년01월_남_총인구수,"86,848","25,888","4,622","40,451","11,826","4,061"
2021년01월_남_연령구간인구수,"86,848","25,888","4,622","40,451","11,826","4,061"
2021년01월_남_0~9세,"9,732","1,657",206,"6,191","1,494",184
2021년01월_남_10~19세,"9,123","2,298",236,"5,521",836,232
2021년01월_남_20~29세,"9,060","3,387",619,"3,339","1,284",431
2021년01월_남_30~39세,"12,404","2,943",607,"6,280","2,220",354
2021년01월_남_40~49세,"16,611","4,114",560,"9,478","1,902",557
2021년01월_남_50~59세,"12,253","4,656",870,"4,328","1,676",723
2021년01월_남_60~69세,"10,079","3,867",858,"3,024","1,479",851
2021년01월_남_70~79세,"5,665","2,121",488,"1,789",715,552
2021년01월_남_80~89세,"1,776",792,152,471,200,161
2021년01월_남_90~99세,137,51,20,30,20,16
2021년01월_남_100세 이상,8,2,6,0,0,0
2021년01월_여_총인구수,"88,580","27,172","4,041","41,426","11,950","3,991"
2021년01월_여_연령구간인구수,"88,580","27,172","4,041","41,426","11,950","3,991"
2021년01월_여_0~9세,"9,389","1,511",196,"5,969","1,509",204
2021년01월_여_10~19세,"8,438","2,136",185,"5,106",809,202
2021년01월_여_20~29세,"8,033","2,943",417,"3,304","1,070",299
2021년01월_여_30~39세,"12,554","2,644",433,"6,964","2,185",328
2021년01월_여_40~49세,"15,780","4,142",391,"9,038","1,766",443
2021년01월_여_50~59세,"11,986","4,743",694,"4,079","1,770",700
2021년01월_여_60~69세,"11,569","4,405",809,"3,904","1,525",926
2021년01월_여_70~79세,"6,759","2,893",480,"2,050",805,531
2021년01월_여_80~89세,"3,424","1,474",361,853,427,309
2021년01월_여_90~99세,612,263,70,154,78,47
2021년01월_여_100세 이상,36,18,5,5,6,2
