,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년08월_계_총인구수,"30,385","10,705","3,009","3,635","3,470","3,418","3,182","2,335",270,361
2020년08월_계_연령구간인구수,"30,385","10,705","3,009","3,635","3,470","3,418","3,182","2,335",270,361
2020년08월_계_0~9세,"1,735",902,121,202,121,126,110,106,16,31
2020년08월_계_10~19세,"2,229","1,161",171,245,164,184,129,129,10,36
2020년08월_계_20~29세,"2,395","1,156",183,256,212,216,201,134,20,17
2020년08월_계_30~39세,"2,255","1,112",182,273,201,170,155,122,17,23
2020년08월_계_40~49세,"3,575","1,568",315,389,366,328,244,289,30,46
2020년08월_계_50~59세,"5,005","1,741",510,581,618,580,512,364,42,57
2020년08월_계_60~69세,"5,191","1,437",585,710,669,655,630,407,44,54
2020년08월_계_70~79세,"4,768","1,048",551,552,652,673,713,462,51,66
2020년08월_계_80~89세,"2,855",515,346,375,411,412,436,296,38,26
2020년08월_계_90~99세,360,62,44,46,55,73,50,23,2,5
2020년08월_계_100세 이상,17,3,1,6,1,1,2,3,0,0
2020년08월_남_총인구수,"14,912","5,238","1,510","1,753","1,757","1,628","1,519","1,192",138,177
2020년08월_남_연령구간인구수,"14,912","5,238","1,510","1,753","1,757","1,628","1,519","1,192",138,177
2020년08월_남_0~9세,827,421,58,103,67,58,50,46,8,16
2020년08월_남_10~19세,"1,157",609,83,120,88,99,61,69,10,18
2020년08월_남_20~29세,"1,370",655,118,136,117,116,128,80,8,12
2020년08월_남_30~39세,"1,227",568,114,148,126,94,87,68,10,12
2020년08월_남_40~49세,"2,061",794,185,237,235,204,163,192,19,32
2020년08월_남_50~59세,"2,746",871,304,309,347,317,297,234,29,38
2020년08월_남_60~69세,"2,615",697,299,352,351,332,304,236,24,20
2020년08월_남_70~79세,"2,017",461,233,227,279,291,297,186,21,22
2020년08월_남_80~89세,827,152,108,111,136,106,122,78,8,6
2020년08월_남_90~99세,65,10,8,10,11,11,10,3,1,1
2020년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년08월_여_총인구수,"15,473","5,467","1,499","1,882","1,713","1,790","1,663","1,143",132,184
2020년08월_여_연령구간인구수,"15,473","5,467","1,499","1,882","1,713","1,790","1,663","1,143",132,184
2020년08월_여_0~9세,908,481,63,99,54,68,60,60,8,15
2020년08월_여_10~19세,"1,072",552,88,125,76,85,68,60,0,18
2020년08월_여_20~29세,"1,025",501,65,120,95,100,73,54,12,5
2020년08월_여_30~39세,"1,028",544,68,125,75,76,68,54,7,11
2020년08월_여_40~49세,"1,514",774,130,152,131,124,81,97,11,14
2020년08월_여_50~59세,"2,259",870,206,272,271,263,215,130,13,19
2020년08월_여_60~69세,"2,576",740,286,358,318,323,326,171,20,34
2020년08월_여_70~79세,"2,751",587,318,325,373,382,416,276,30,44
2020년08월_여_80~89세,"2,028",363,238,264,275,306,314,218,30,20
2020년08월_여_90~99세,295,52,36,36,44,62,40,20,1,4
2020년08월_여_100세 이상,17,3,1,6,1,1,2,3,0,0
