카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년12월_계_총인구수,"118,810","30,635","10,450","4,719","13,600","7,920","9,671","3,853","3,752","4,608","6,838","17,667","5,097"
2020년12월_계_연령구간인구수,"118,810","30,635","10,450","4,719","13,600","7,920","9,671","3,853","3,752","4,608","6,838","17,667","5,097"
2020년12월_계_0~9세,"7,298","2,190",950,179,737,483,635,128,117,143,226,"1,274",236
2020년12월_계_10~19세,"9,708","3,313",946,240,"1,032",548,825,215,152,197,396,"1,536",308
2020년12월_계_20~29세,"10,597","3,532",828,332,"1,238",741,604,250,232,281,482,"1,679",398
2020년12월_계_30~39세,"10,775","3,186","1,224",370,"1,213",764,815,282,202,295,413,"1,649",362
2020년12월_계_40~49세,"16,312","4,825","1,679",507,"1,818","1,051","1,493",433,356,395,685,"2,478",592
2020년12월_계_50~59세,"20,910","5,386","1,671",881,"2,451","1,381","1,732",682,686,909,"1,273","2,966",892
2020년12월_계_60~69세,"22,804","4,445","1,755","1,219","2,704","1,642","2,042",949,967,"1,156","1,672","3,059","1,194"
2020년12월_계_70~79세,"13,062","2,416",927,708,"1,606",879,"1,032",562,609,706,995,"1,901",721
2020년12월_계_80~89세,"6,268","1,168",410,234,679,369,409,310,381,439,582,942,345
2020년12월_계_90~99세,"1,012",160,57,48,112,58,79,42,45,79,111,174,47
2020년12월_계_100세 이상,64,14,3,1,10,4,5,0,5,8,3,9,2
2020년12월_남_총인구수,"59,563","15,334","5,168","2,382","6,783","3,999","4,802","1,960","1,912","2,287","3,486","8,873","2,577"
2020년12월_남_연령구간인구수,"59,563","15,334","5,168","2,382","6,783","3,999","4,802","1,960","1,912","2,287","3,486","8,873","2,577"
2020년12월_남_0~9세,"3,732","1,134",483,99,371,232,302,60,63,83,135,654,116
2020년12월_남_10~19세,"5,103","1,702",486,142,544,291,443,117,88,102,225,799,164
2020년12월_남_20~29세,"5,867","1,950",432,186,661,431,336,140,123,162,284,940,222
2020년12월_남_30~39세,"5,431","1,601",583,192,619,393,382,165,113,158,210,823,192
2020년12월_남_40~49세,"8,302","2,320",846,256,930,564,746,236,210,217,375,"1,284",318
2020년12월_남_50~59세,"10,734","2,787",831,440,"1,243",694,862,363,359,478,665,"1,545",467
2020년12월_남_60~69세,"11,340","2,228",855,588,"1,305",817,998,482,491,566,894,"1,520",596
2020년12월_남_70~79세,"6,392","1,152",481,375,783,428,552,273,293,334,463,901,357
2020년12월_남_80~89세,"2,413",420,155,96,298,131,162,117,163,167,201,368,135
2020년12월_남_90~99세,236,38,16,7,24,18,18,7,8,19,34,38,9
2020년12월_남_100세 이상,13,2,0,1,5,0,1,0,1,1,0,1,1
2020년12월_여_총인구수,"59,247","15,301","5,282","2,337","6,817","3,921","4,869","1,893","1,840","2,321","3,352","8,794","2,520"
2020년12월_여_연령구간인구수,"59,247","15,301","5,282","2,337","6,817","3,921","4,869","1,893","1,840","2,321","3,352","8,794","2,520"
2020년12월_여_0~9세,"3,566","1,056",467,80,366,251,333,68,54,60,91,620,120
2020년12월_여_10~19세,"4,605","1,611",460,98,488,257,382,98,64,95,171,737,144
2020년12월_여_20~29세,"4,730","1,582",396,146,577,310,268,110,109,119,198,739,176
2020년12월_여_30~39세,"5,344","1,585",641,178,594,371,433,117,89,137,203,826,170
2020년12월_여_40~49세,"8,010","2,505",833,251,888,487,747,197,146,178,310,"1,194",274
2020년12월_여_50~59세,"10,176","2,599",840,441,"1,208",687,870,319,327,431,608,"1,421",425
2020년12월_여_60~69세,"11,464","2,217",900,631,"1,399",825,"1,044",467,476,590,778,"1,539",598
2020년12월_여_70~79세,"6,670","1,264",446,333,823,451,480,289,316,372,532,"1,000",364
2020년12월_여_80~89세,"3,855",748,255,138,381,238,247,193,218,272,381,574,210
2020년12월_여_90~99세,776,122,41,41,88,40,61,35,37,60,77,136,38
2020년12월_여_100세 이상,51,12,3,0,5,4,4,0,4,7,3,8,1
