카테고리,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2021년01월_계_총인구수,"36,783","10,726","4,725","4,791","1,859","1,672","3,263","2,535","3,519","1,674","2,019"
2021년01월_계_연령구간인구수,"36,783","10,726","4,725","4,791","1,859","1,672","3,263","2,535","3,519","1,674","2,019"
2021년01월_계_0~9세,"1,712",634,264,289,68,36,146,96,98,35,46
2021년01월_계_10~19세,"2,541","1,018",229,376,123,106,180,164,152,94,99
2021년01월_계_20~29세,"2,792","1,015",333,404,120,119,211,177,189,108,116
2021년01월_계_30~39세,"3,059",928,707,464,96,98,292,138,176,65,95
2021년01월_계_40~49세,"4,933","1,673",728,737,213,167,440,286,315,177,197
2021년01월_계_50~59세,"6,975","1,908",781,922,372,337,638,501,744,383,389
2021년01월_계_60~69세,"7,596","1,799",871,927,424,373,789,556,884,429,544
2021년01월_계_70~79세,"4,527","1,097",555,477,279,271,370,350,554,244,330
2021년01월_계_80~89세,"2,244",535,217,173,148,130,173,222,353,116,177
2021년01월_계_90~99세,355,104,31,16,16,24,22,43,52,22,25
2021년01월_계_100세 이상,49,15,9,6,0,11,2,2,2,1,1
2021년01월_남_총인구수,"19,127","5,471","2,487","2,519",960,834,"1,746","1,278","1,872",900,"1,060"
2021년01월_남_연령구간인구수,"19,127","5,471","2,487","2,519",960,834,"1,746","1,278","1,872",900,"1,060"
2021년01월_남_0~9세,879,331,134,148,35,12,73,49,47,21,29
2021년01월_남_10~19세,"1,317",537,104,194,62,57,95,80,84,51,53
2021년01월_남_20~29세,"1,599",585,181,235,68,68,123,110,100,68,61
2021년01월_남_30~39세,"1,712",479,412,245,54,62,180,77,111,37,55
2021년01월_남_40~49세,"2,867",880,453,410,133,104,272,163,206,109,137
2021년01월_남_50~59세,"3,828","1,029",430,522,203,189,335,276,418,227,199
2021년01월_남_60~69세,"3,995",947,414,473,237,185,434,278,492,235,300
2021년01월_남_70~79세,"2,043",487,253,217,109,105,172,159,270,112,159
2021년01월_남_80~89세,786,174,90,69,54,39,56,75,130,38,61
2021년01월_남_90~99세,81,18,13,2,5,6,5,10,14,2,6
2021년01월_남_100세 이상,20,4,3,4,0,7,1,1,0,0,0
2021년01월_여_총인구수,"17,656","5,255","2,238","2,272",899,838,"1,517","1,257","1,647",774,959
2021년01월_여_연령구간인구수,"17,656","5,255","2,238","2,272",899,838,"1,517","1,257","1,647",774,959
2021년01월_여_0~9세,833,303,130,141,33,24,73,47,51,14,17
2021년01월_여_10~19세,"1,224",481,125,182,61,49,85,84,68,43,46
2021년01월_여_20~29세,"1,193",430,152,169,52,51,88,67,89,40,55
2021년01월_여_30~39세,"1,347",449,295,219,42,36,112,61,65,28,40
2021년01월_여_40~49세,"2,066",793,275,327,80,63,168,123,109,68,60
2021년01월_여_50~59세,"3,147",879,351,400,169,148,303,225,326,156,190
2021년01월_여_60~69세,"3,601",852,457,454,187,188,355,278,392,194,244
2021년01월_여_70~79세,"2,484",610,302,260,170,166,198,191,284,132,171
2021년01월_여_80~89세,"1,458",361,127,104,94,91,117,147,223,78,116
2021년01월_여_90~99세,274,86,18,14,11,18,17,33,38,20,19
2021년01월_여_100세 이상,29,11,6,2,0,4,1,1,2,1,1
