,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년03월_계_총인구수,"31,711","8,317","3,366","1,844","3,809","1,904","3,147","2,831","2,784","3,709"
2021년03월_계_연령구간인구수,"31,711","8,317","3,366","1,844","3,809","1,904","3,147","2,831","2,784","3,709"
2021년03월_계_0~9세,"1,320",513,129,63,132,49,96,101,90,147
2021년03월_계_10~19세,"2,071",757,183,68,219,87,263,135,128,231
2021년03월_계_20~29세,"2,440",761,182,122,265,134,250,194,245,287
2021년03월_계_30~39세,"2,019",677,167,109,216,102,186,174,177,211
2021년03월_계_40~49세,"3,411","1,125",348,175,365,164,280,253,295,406
2021년03월_계_50~59세,"5,422","1,360",565,287,647,350,579,480,515,639
2021년03월_계_60~69세,"5,987","1,295",655,427,782,376,561,644,564,683
2021년03월_계_70~79세,"5,062","1,033",657,317,640,338,521,464,434,658
2021년03월_계_80~89세,"3,459",685,433,236,470,264,358,338,289,386
2021년03월_계_90~99세,502,105,46,38,71,39,51,48,46,58
2021년03월_계_100세 이상,18,6,1,2,2,1,2,0,1,3
2021년03월_남_총인구수,"15,939","4,093","1,682",915,"1,905",924,"1,626","1,407","1,437","1,950"
2021년03월_남_연령구간인구수,"15,939","4,093","1,682",915,"1,905",924,"1,626","1,407","1,437","1,950"
2021년03월_남_0~9세,693,259,56,36,76,19,53,55,49,90
2021년03월_남_10~19세,"1,102",415,92,32,111,47,149,65,64,127
2021년03월_남_20~29세,"1,456",418,112,64,170,91,158,118,146,179
2021년03월_남_30~39세,"1,080",334,89,64,116,58,113,95,94,117
2021년03월_남_40~49세,"2,022",601,236,118,225,95,155,147,169,276
2021년03월_남_50~59세,"3,177",757,333,155,372,205,360,285,315,395
2021년03월_남_60~69세,"3,131",642,341,219,420,202,282,356,307,362
2021년03월_남_70~79세,"2,131",437,268,145,267,128,233,189,187,277
2021년03월_남_80~89세,"1,029",206,145,72,133,70,114,90,91,108
2021년03월_남_90~99세,116,22,10,10,15,9,9,7,15,19
2021년03월_남_100세 이상,2,2,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"15,772","4,224","1,684",929,"1,904",980,"1,521","1,424","1,347","1,759"
2021년03월_여_연령구간인구수,"15,772","4,224","1,684",929,"1,904",980,"1,521","1,424","1,347","1,759"
2021년03월_여_0~9세,627,254,73,27,56,30,43,46,41,57
2021년03월_여_10~19세,969,342,91,36,108,40,114,70,64,104
2021년03월_여_20~29세,984,343,70,58,95,43,92,76,99,108
2021년03월_여_30~39세,939,343,78,45,100,44,73,79,83,94
2021년03월_여_40~49세,"1,389",524,112,57,140,69,125,106,126,130
2021년03월_여_50~59세,"2,245",603,232,132,275,145,219,195,200,244
2021년03월_여_60~69세,"2,856",653,314,208,362,174,279,288,257,321
2021년03월_여_70~79세,"2,931",596,389,172,373,210,288,275,247,381
2021년03월_여_80~89세,"2,430",479,288,164,337,194,244,248,198,278
2021년03월_여_90~99세,386,83,36,28,56,30,42,41,31,39
2021년03월_여_100세 이상,16,4,1,2,2,1,2,0,1,3
