,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년03월_계_총인구수,"282,104","2,694","4,584","18,248","33,049","12,013","2,927","1,787","3,164","1,525",884,"3,256","5,538","2,845","3,689","6,813","25,304","6,287","44,280","7,735","8,828","2,854","2,347","3,077","18,462","40,330","19,584"
2021년03월_계_연령구간인구수,"282,104","2,694","4,584","18,248","33,049","12,013","2,927","1,787","3,164","1,525",884,"3,256","5,538","2,845","3,689","6,813","25,304","6,287","44,280","7,735","8,828","2,854","2,347","3,077","18,462","40,330","19,584"
2021년03월_계_0~9세,"23,222",44,124,"1,474","5,914",777,56,31,56,13,22,80,141,58,134,425,"1,928",333,"3,342",361,347,118,52,86,"2,090","3,443","1,773"
2021년03월_계_10~19세,"29,949",124,202,"2,532","5,016","1,007",97,69,121,39,41,148,288,156,262,583,"2,665",534,"5,255",589,669,188,105,199,"1,726","4,774","2,560"
2021년03월_계_20~29세,"37,372",189,407,"3,148","3,223","1,281",151,116,186,77,52,230,421,281,358,"1,149","3,890",754,"6,595",931,"1,101",344,266,370,"2,187","6,378","3,287"
2021년03월_계_30~39세,"33,056",114,263,"2,179","6,657","1,128",119,97,148,68,30,147,269,149,282,832,"2,854",624,"4,972",748,779,242,216,285,"2,555","4,923","2,376"
2021년03월_계_40~49세,"43,190",215,455,"3,316","6,926","1,671",211,130,226,120,57,241,520,267,432,855,"3,712",880,"6,990",968,"1,059",308,272,398,"2,856","6,739","3,366"
2021년03월_계_50~59세,"49,207",531,882,"3,545","3,442","2,191",472,306,527,274,144,536,960,562,560,"1,001","4,495","1,153","8,581","1,330","1,695",466,456,531,"3,064","7,632","3,871"
2021년03월_계_60~69세,"35,064",574,942,"1,267","1,295","1,986",642,423,706,323,194,769,"1,138",585,779,919,"3,439","1,075","5,516","1,398","1,612",527,497,577,"2,184","4,082","1,615"
2021년03월_계_70~79세,"19,026",453,718,474,390,"1,191",648,336,635,318,170,626,920,448,576,671,"1,525",614,"2,035",960,"1,061",436,317,414,"1,111","1,495",484
2021년03월_계_80~89세,"10,331",388,509,272,157,673,452,238,485,253,138,411,775,283,262,337,680,268,853,393,443,190,138,187,582,743,221
2021년03월_계_90~99세,"1,614",61,81,38,28,106,78,40,73,33,35,66,101,52,42,39,107,49,130,56,60,35,27,26,103,117,31
2021년03월_계_100세 이상,73,1,1,3,1,2,1,1,1,7,1,2,5,4,2,2,9,3,11,1,2,0,1,4,4,4,0
2021년03월_남_총인구수,"140,755","1,331","2,359","9,016","16,802","6,002","1,472",849,"1,602",789,425,"1,577","2,759","1,460","1,812","3,384","12,405","3,185","22,105","3,853","4,463","1,398","1,223","1,567","9,314","19,960","9,643"
2021년03월_남_연령구간인구수,"140,755","1,331","2,359","9,016","16,802","6,002","1,472",849,"1,602",789,425,"1,577","2,759","1,460","1,812","3,384","12,405","3,185","22,105","3,853","4,463","1,398","1,223","1,567","9,314","19,960","9,643"
2021년03월_남_0~9세,"11,889",31,56,740,"3,038",410,27,16,31,9,14,40,71,38,65,207,985,177,"1,660",197,188,61,28,44,"1,106","1,751",899
2021년03월_남_10~19세,"15,615",56,109,"1,342","2,662",531,52,27,70,23,20,82,145,86,142,321,"1,343",283,"2,742",311,356,93,59,106,902,"2,481","1,271"
2021년03월_남_20~29세,"20,349",117,244,"1,693","1,683",671,91,54,115,45,30,119,242,173,202,615,"2,113",415,"3,668",515,624,182,138,220,"1,206","3,368","1,806"
2021년03월_남_30~39세,"16,946",62,163,"1,099","3,251",599,79,55,105,50,18,79,157,93,159,450,"1,435",347,"2,584",399,412,136,132,166,"1,286","2,470","1,160"
2021년03월_남_40~49세,"21,272",131,287,"1,470","3,427",859,147,85,156,82,34,146,324,147,232,431,"1,807",449,"3,312",543,586,160,163,201,"1,464","3,154","1,475"
2021년03월_남_50~59세,"24,847",316,522,"1,769","1,856","1,173",291,167,314,173,90,285,542,313,287,498,"2,075",596,"4,106",629,870,227,256,284,"1,535","3,746","1,927"
2021년03월_남_60~69세,"17,565",312,487,637,684,"1,013",325,236,351,191,104,395,604,309,365,423,"1,676",506,"2,762",658,745,248,232,281,"1,091","2,102",828
2021년03월_남_70~79세,"8,568",188,315,187,158,537,302,135,287,132,76,283,408,197,276,306,716,296,947,418,493,189,147,189,522,656,208
2021년03월_남_80~89세,"3,381",103,165,73,41,189,138,68,158,75,34,135,248,94,77,125,234,105,294,171,179,93,60,66,185,207,64
2021년03월_남_90~99세,316,15,11,6,2,20,20,6,15,6,4,13,17,10,7,8,20,11,29,12,10,9,8,10,17,25,5
2021년03월_남_100세 이상,7,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"141,349","1,363","2,225","9,232","16,247","6,011","1,455",938,"1,562",736,459,"1,679","2,779","1,385","1,877","3,429","12,899","3,102","22,175","3,882","4,365","1,456","1,124","1,510","9,148","20,370","9,941"
2021년03월_여_연령구간인구수,"141,349","1,363","2,225","9,232","16,247","6,011","1,455",938,"1,562",736,459,"1,679","2,779","1,385","1,877","3,429","12,899","3,102","22,175","3,882","4,365","1,456","1,124","1,510","9,148","20,370","9,941"
2021년03월_여_0~9세,"11,333",13,68,734,"2,876",367,29,15,25,4,8,40,70,20,69,218,943,156,"1,682",164,159,57,24,42,984,"1,692",874
2021년03월_여_10~19세,"14,334",68,93,"1,190","2,354",476,45,42,51,16,21,66,143,70,120,262,"1,322",251,"2,513",278,313,95,46,93,824,"2,293","1,289"
2021년03월_여_20~29세,"17,023",72,163,"1,455","1,540",610,60,62,71,32,22,111,179,108,156,534,"1,777",339,"2,927",416,477,162,128,150,981,"3,010","1,481"
2021년03월_여_30~39세,"16,110",52,100,"1,080","3,406",529,40,42,43,18,12,68,112,56,123,382,"1,419",277,"2,388",349,367,106,84,119,"1,269","2,453","1,216"
2021년03월_여_40~49세,"21,918",84,168,"1,846","3,499",812,64,45,70,38,23,95,196,120,200,424,"1,905",431,"3,678",425,473,148,109,197,"1,392","3,585","1,891"
2021년03월_여_50~59세,"24,360",215,360,"1,776","1,586","1,018",181,139,213,101,54,251,418,249,273,503,"2,420",557,"4,475",701,825,239,200,247,"1,529","3,886","1,944"
2021년03월_여_60~69세,"17,499",262,455,630,611,973,317,187,355,132,90,374,534,276,414,496,"1,763",569,"2,754",740,867,279,265,296,"1,093","1,980",787
2021년03월_여_70~79세,"10,458",265,403,287,232,654,346,201,348,186,94,343,512,251,300,365,809,318,"1,088",542,568,247,170,225,589,839,276
2021년03월_여_80~89세,"6,950",285,344,199,116,484,314,170,327,178,104,276,527,189,185,212,446,163,559,222,264,97,78,121,397,536,157
2021년03월_여_90~99세,"1,298",46,70,32,26,86,58,34,58,27,31,53,84,42,35,31,87,38,101,44,50,26,19,16,86,92,26
2021년03월_여_100세 이상,66,1,1,3,1,2,1,1,1,4,0,2,4,4,2,2,8,3,10,1,2,0,1,4,4,4,0
