카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년09월_계_총인구수,"51,053","20,897","1,898","2,789","2,157","3,320","2,395","4,394","2,250","2,487","2,176","2,621","2,528","1,141"
2021년09월_계_연령구간인구수,"51,053","20,897","1,898","2,789","2,157","3,320","2,395","4,394","2,250","2,487","2,176","2,621","2,528","1,141"
2021년09월_계_0~9세,"2,416","1,612",38,56,55,95,44,191,69,41,54,65,65,31
2021년09월_계_10~19세,"3,566","2,321",54,109,111,138,76,264,96,91,80,101,96,29
2021년09월_계_20~29세,"4,048","2,156",112,172,131,191,115,342,145,143,156,162,160,63
2021년09월_계_30~39세,"3,655","1,953",104,154,168,203,100,339,121,109,107,128,116,53
2021년09월_계_40~49세,"5,832","3,042",133,224,206,351,176,505,209,206,168,248,244,120
2021년09월_계_50~59세,"8,620","3,462",304,464,388,484,426,823,392,392,399,437,444,205
2021년09월_계_60~69세,"9,851","3,098",453,590,466,738,566,921,572,536,472,566,588,285
2021년09월_계_70~79세,"7,670","2,028",370,556,346,715,483,627,414,517,405,510,490,209
2021년09월_계_80~89세,"4,717","1,107",278,400,241,359,363,330,200,393,294,355,275,122
2021년09월_계_90~99세,656,112,51,64,43,44,44,51,29,57,40,47,50,24
2021년09월_계_100세 이상,22,6,1,0,2,2,2,1,3,2,1,2,0,0
2021년09월_남_총인구수,"25,358","10,203",924,"1,403","1,122","1,675","1,192","2,249","1,157","1,222","1,073","1,283","1,248",607
2021년09월_남_연령구간인구수,"25,358","10,203",924,"1,403","1,122","1,675","1,192","2,249","1,157","1,222","1,073","1,283","1,248",607
2021년09월_남_0~9세,"1,276",839,21,33,17,44,21,108,42,24,31,36,43,17
2021년09월_남_10~19세,"1,857","1,197",35,53,62,69,47,130,57,51,41,53,49,13
2021년09월_남_20~29세,"2,292","1,197",67,104,73,103,62,190,99,77,80,94,109,37
2021년09월_남_30~39세,"1,968",946,62,94,107,130,56,197,64,75,67,70,64,36
2021년09월_남_40~49세,"3,259","1,500",85,158,131,229,122,307,124,134,101,143,145,80
2021년09월_남_50~59세,"4,787","1,748",178,278,235,291,241,457,227,241,237,270,253,131
2021년09월_남_60~69세,"4,916","1,504",218,312,260,352,295,461,274,267,257,282,280,154
2021년09월_남_70~79세,"3,355",883,159,232,148,320,218,287,200,217,171,211,212,97
2021년09월_남_80~89세,"1,511",369,86,123,78,126,118,105,65,122,82,111,86,40
2021년09월_남_90~99세,135,20,13,16,10,11,11,7,5,14,6,13,7,2
2021년09월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년09월_여_총인구수,"25,695","10,694",974,"1,386","1,035","1,645","1,203","2,145","1,093","1,265","1,103","1,338","1,280",534
2021년09월_여_연령구간인구수,"25,695","10,694",974,"1,386","1,035","1,645","1,203","2,145","1,093","1,265","1,103","1,338","1,280",534
2021년09월_여_0~9세,"1,140",773,17,23,38,51,23,83,27,17,23,29,22,14
2021년09월_여_10~19세,"1,709","1,124",19,56,49,69,29,134,39,40,39,48,47,16
2021년09월_여_20~29세,"1,756",959,45,68,58,88,53,152,46,66,76,68,51,26
2021년09월_여_30~39세,"1,687","1,007",42,60,61,73,44,142,57,34,40,58,52,17
2021년09월_여_40~49세,"2,573","1,542",48,66,75,122,54,198,85,72,67,105,99,40
2021년09월_여_50~59세,"3,833","1,714",126,186,153,193,185,366,165,151,162,167,191,74
2021년09월_여_60~69세,"4,935","1,594",235,278,206,386,271,460,298,269,215,284,308,131
2021년09월_여_70~79세,"4,315","1,145",211,324,198,395,265,340,214,300,234,299,278,112
2021년09월_여_80~89세,"3,206",738,192,277,163,233,245,225,135,271,212,244,189,82
2021년09월_여_90~99세,521,92,38,48,33,33,33,44,24,43,34,34,43,22
2021년09월_여_100세 이상,20,6,1,0,1,2,1,1,3,2,1,2,0,0
