,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년11월_계_총인구수,"186,853","59,056","5,370","7,466","3,390","5,800","15,351","5,275","6,308","7,644","6,850","3,674","1,946","12,474","23,671","22,578"
2020년11월_계_연령구간인구수,"186,853","59,056","5,370","7,466","3,390","5,800","15,351","5,275","6,308","7,644","6,850","3,674","1,946","12,474","23,671","22,578"
2020년11월_계_0~9세,"14,095","5,960",177,418,88,237,"1,426",149,388,295,231,87,42,704,"2,102","1,791"
2020년11월_계_10~19세,"18,235","7,517",300,653,144,275,"1,126",279,407,516,367,340,86,"1,056","2,566","2,603"
2020년11월_계_20~29세,"22,471","6,810",506,725,297,521,"2,026",468,784,665,700,440,186,"1,600","3,455","3,288"
2020년11월_계_30~39세,"23,151","8,458",413,667,254,539,"2,626",405,880,617,554,278,144,"1,347","3,193","2,776"
2020년11월_계_40~49세,"30,118","12,006",538,"1,060",337,714,"2,498",567,886,836,769,343,185,"1,757","4,030","3,592"
2020년11월_계_50~59세,"31,461","8,690","1,044","1,331",687,"1,096","2,397","1,042","1,199","1,421","1,452",666,388,"2,289","3,815","3,944"
2020년11월_계_60~69세,"25,077","5,264","1,157","1,370",758,"1,226","1,825","1,175",973,"1,654","1,405",738,459,"1,924","2,613","2,536"
2020년11월_계_70~79세,"13,627","2,871",719,704,472,673,907,655,481,972,810,470,254,"1,119","1,218","1,302"
2020년11월_계_80~89세,"7,535","1,312",445,462,312,459,457,443,267,580,508,285,174,582,597,652
2020년11월_계_90~99세,"1,025",162,66,73,39,55,59,88,40,83,48,26,27,88,80,91
2020년11월_계_100세 이상,58,6,5,3,2,5,4,4,3,5,6,1,1,8,2,3
2020년11월_남_총인구수,"96,313","29,805","2,845","3,753","1,781","3,145","8,554","2,779","3,565","3,991","3,637","1,893","1,013","6,237","11,983","11,332"
2020년11월_남_연령구간인구수,"96,313","29,805","2,845","3,753","1,781","3,145","8,554","2,779","3,565","3,991","3,637","1,893","1,013","6,237","11,983","11,332"
2020년11월_남_0~9세,"7,251","3,011",100,227,49,128,767,81,224,146,115,45,20,336,"1,078",924
2020년11월_남_10~19세,"9,474","3,900",177,327,80,143,582,127,244,288,187,129,50,529,"1,350","1,361"
2020년11월_남_20~29세,"12,384","3,626",290,396,186,331,"1,156",283,487,366,394,242,103,864,"1,845","1,815"
2020년11월_남_30~39세,"12,667","4,413",257,355,146,341,"1,536",239,551,382,343,186,89,729,"1,664","1,436"
2020년11월_남_40~49세,"16,080","6,148",322,577,201,441,"1,517",340,534,487,447,201,112,927,"2,077","1,749"
2020년11월_남_50~59세,"16,693","4,506",576,690,387,597,"1,391",587,654,780,838,370,204,"1,162","1,956","1,995"
2020년11월_남_60~69세,"12,642","2,473",630,698,387,666,968,634,534,837,737,382,236,932,"1,279","1,249"
2020년11월_남_70~79세,"6,227","1,264",320,303,220,323,451,314,231,476,381,227,126,510,526,555
2020년11월_남_80~89세,"2,673",427,161,168,114,163,176,160,91,212,185,107,68,228,184,229
2020년11월_남_90~99세,210,36,12,11,10,11,9,14,14,15,9,4,5,18,23,19
2020년11월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년11월_여_총인구수,"90,540","29,251","2,525","3,713","1,609","2,655","6,797","2,496","2,743","3,653","3,213","1,781",933,"6,237","11,688","11,246"
2020년11월_여_연령구간인구수,"90,540","29,251","2,525","3,713","1,609","2,655","6,797","2,496","2,743","3,653","3,213","1,781",933,"6,237","11,688","11,246"
2020년11월_여_0~9세,"6,844","2,949",77,191,39,109,659,68,164,149,116,42,22,368,"1,024",867
2020년11월_여_10~19세,"8,761","3,617",123,326,64,132,544,152,163,228,180,211,36,527,"1,216","1,242"
2020년11월_여_20~29세,"10,087","3,184",216,329,111,190,870,185,297,299,306,198,83,736,"1,610","1,473"
2020년11월_여_30~39세,"10,484","4,045",156,312,108,198,"1,090",166,329,235,211,92,55,618,"1,529","1,340"
2020년11월_여_40~49세,"14,038","5,858",216,483,136,273,981,227,352,349,322,142,73,830,"1,953","1,843"
2020년11월_여_50~59세,"14,768","4,184",468,641,300,499,"1,006",455,545,641,614,296,184,"1,127","1,859","1,949"
2020년11월_여_60~69세,"12,435","2,791",527,672,371,560,857,541,439,817,668,356,223,992,"1,334","1,287"
2020년11월_여_70~79세,"7,400","1,607",399,401,252,350,456,341,250,496,429,243,128,609,692,747
2020년11월_여_80~89세,"4,862",885,284,294,198,296,281,283,176,368,323,178,106,354,413,423
2020년11월_여_90~99세,815,126,54,62,29,44,50,74,26,68,39,22,22,70,57,72
2020년11월_여_100세 이상,46,5,5,2,1,4,3,4,2,3,5,1,1,6,1,3
