,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년12월_계_총인구수,"52,937","8,021","15,134","6,357","1,823","2,034","3,658","3,441","2,241","3,161","1,878","2,984","2,205"
2021년12월_계_연령구간인구수,"52,937","8,021","15,134","6,357","1,823","2,034","3,658","3,441","2,241","3,161","1,878","2,984","2,205"
2021년12월_계_0~9세,"3,175",523,"1,449",473,63,43,88,110,64,97,64,138,63
2021년12월_계_10~19세,"4,280",770,"1,799",645,87,57,187,116,100,162,83,183,91
2021년12월_계_20~29세,"4,898",819,"1,644",890,105,111,248,211,173,220,103,240,134
2021년12월_계_30~39세,"4,426",653,"1,768",760,112,89,194,177,125,166,97,151,134
2021년12월_계_40~49세,"7,185","1,022","2,899","1,218",158,160,356,302,181,279,136,276,198
2021년12월_계_50~59세,"9,465","1,391","2,601","1,434",324,394,642,572,414,525,297,500,371
2021년12월_계_60~69세,"8,581","1,303","1,674",559,347,467,830,800,469,627,392,615,498
2021년12월_계_70~79세,"6,139",909,860,237,300,376,636,621,384,597,365,471,383
2021년12월_계_80~89세,"4,191",523,399,117,284,289,430,469,305,424,299,352,300
2021년12월_계_90~99세,586,106,40,24,43,46,47,63,25,62,41,57,32
2021년12월_계_100세 이상,11,2,1,0,0,2,0,0,1,2,1,1,1
2021년12월_남_총인구수,"27,485","3,966","8,103","3,735",911,"1,026","1,835","1,745","1,156","1,532",907,"1,452","1,117"
2021년12월_남_연령구간인구수,"27,485","3,966","8,103","3,735",911,"1,026","1,835","1,745","1,156","1,532",907,"1,452","1,117"
2021년12월_남_0~9세,"1,622",277,702,244,36,17,41,62,46,59,27,78,33
2021년12월_남_10~19세,"2,258",406,938,339,45,36,102,65,65,90,48,81,43
2021년12월_남_20~29세,"2,885",452,917,564,64,69,171,137,106,133,61,131,80
2021년12월_남_30~39세,"2,394",327,878,461,75,47,112,108,82,89,55,76,84
2021년12월_남_40~49세,"4,304",540,"1,736",768,99,91,207,201,113,163,86,166,134
2021년12월_남_50~59세,"5,438",717,"1,516",882,203,237,348,352,235,300,169,272,207
2021년12월_남_60~69세,"4,502",664,895,337,168,274,431,403,245,321,206,306,252
2021년12월_남_70~79세,"2,655",396,393,104,129,166,268,271,167,240,149,207,165
2021년12월_남_80~89세,"1,311",163,123,32,84,80,145,135,92,125,99,121,112
2021년12월_남_90~99세,115,24,5,4,8,9,10,11,5,11,7,14,7
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,1,0,0,0
2021년12월_여_총인구수,"25,452","4,055","7,031","2,622",912,"1,008","1,823","1,696","1,085","1,629",971,"1,532","1,088"
2021년12월_여_연령구간인구수,"25,452","4,055","7,031","2,622",912,"1,008","1,823","1,696","1,085","1,629",971,"1,532","1,088"
2021년12월_여_0~9세,"1,553",246,747,229,27,26,47,48,18,38,37,60,30
2021년12월_여_10~19세,"2,022",364,861,306,42,21,85,51,35,72,35,102,48
2021년12월_여_20~29세,"2,013",367,727,326,41,42,77,74,67,87,42,109,54
2021년12월_여_30~39세,"2,032",326,890,299,37,42,82,69,43,77,42,75,50
2021년12월_여_40~49세,"2,881",482,"1,163",450,59,69,149,101,68,116,50,110,64
2021년12월_여_50~59세,"4,027",674,"1,085",552,121,157,294,220,179,225,128,228,164
2021년12월_여_60~69세,"4,079",639,779,222,179,193,399,397,224,306,186,309,246
2021년12월_여_70~79세,"3,484",513,467,133,171,210,368,350,217,357,216,264,218
2021년12월_여_80~89세,"2,880",360,276,85,200,209,285,334,213,299,200,231,188
2021년12월_여_90~99세,471,82,35,20,35,37,37,52,20,51,34,43,25
2021년12월_여_100세 이상,10,2,1,0,0,2,0,0,1,1,1,1,1
