카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년12월_계_총인구수,"31,494","10,008","3,140","2,116","2,014","4,433","2,224","1,522","2,254","1,754","2,029"
2020년12월_계_연령구간인구수,"31,494","10,008","3,140","2,116","2,014","4,433","2,224","1,522","2,254","1,754","2,029"
2020년12월_계_0~9세,"1,385",618,94,53,70,183,57,31,57,30,192
2020년12월_계_10~19세,"1,867",889,138,96,80,239,86,72,103,39,125
2020년12월_계_20~29세,"2,008",904,138,125,102,245,100,63,115,92,124
2020년12월_계_30~39세,"1,944",782,160,114,98,250,102,57,95,61,225
2020년12월_계_40~49세,"3,231","1,298",243,174,145,404,190,129,207,132,309
2020년12월_계_50~59세,"5,769","1,750",599,371,358,866,439,334,425,292,335
2020년12월_계_60~69세,"6,826","1,689",801,526,471,985,587,393,562,438,374
2020년12월_계_70~79세,"4,733","1,170",544,360,352,696,371,250,396,385,209
2020년12월_계_80~89세,"3,198",767,368,258,292,468,255,169,254,248,119
2020년12월_계_90~99세,503,136,52,37,43,90,34,23,38,34,16
2020년12월_계_100세 이상,30,5,3,2,3,7,3,1,2,3,1
2020년12월_남_총인구수,"15,853","4,929","1,578","1,027","1,014","2,202","1,117",772,"1,184",902,"1,128"
2020년12월_남_연령구간인구수,"15,853","4,929","1,578","1,027","1,014","2,202","1,117",772,"1,184",902,"1,128"
2020년12월_남_0~9세,713,321,46,29,37,98,30,15,30,12,95
2020년12월_남_10~19세,"1,002",444,88,45,40,131,49,46,63,26,70
2020년12월_남_20~29세,"1,177",502,82,77,65,139,59,38,79,62,74
2020년12월_남_30~39세,"1,053",391,91,66,55,127,49,31,58,39,146
2020년12월_남_40~49세,"1,892",691,144,110,89,239,120,70,132,88,209
2020년12월_남_50~59세,"3,120",932,309,190,207,452,232,183,240,169,206
2020년12월_남_60~69세,"3,531",845,420,265,256,505,319,209,296,217,199
2020년12월_남_70~79세,"2,120",508,251,152,145,313,171,115,188,188,89
2020년12월_남_80~89세,"1,119",274,132,86,107,170,77,57,93,90,33
2020년12월_남_90~99세,121,20,15,6,13,25,11,8,5,11,7
2020년12월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년12월_여_총인구수,"15,641","5,079","1,562","1,089","1,000","2,231","1,107",750,"1,070",852,901
2020년12월_여_연령구간인구수,"15,641","5,079","1,562","1,089","1,000","2,231","1,107",750,"1,070",852,901
2020년12월_여_0~9세,672,297,48,24,33,85,27,16,27,18,97
2020년12월_여_10~19세,865,445,50,51,40,108,37,26,40,13,55
2020년12월_여_20~29세,831,402,56,48,37,106,41,25,36,30,50
2020년12월_여_30~39세,891,391,69,48,43,123,53,26,37,22,79
2020년12월_여_40~49세,"1,339",607,99,64,56,165,70,59,75,44,100
2020년12월_여_50~59세,"2,649",818,290,181,151,414,207,151,185,123,129
2020년12월_여_60~69세,"3,295",844,381,261,215,480,268,184,266,221,175
2020년12월_여_70~79세,"2,613",662,293,208,207,383,200,135,208,197,120
2020년12월_여_80~89세,"2,079",493,236,172,185,298,178,112,161,158,86
2020년12월_여_90~99세,382,116,37,31,30,65,23,15,33,23,9
2020년12월_여_100세 이상,25,4,3,1,3,4,3,1,2,3,1
