카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년10월_계_총인구수,"392,674","32,191","12,522","45,328","28,055","25,209","29,055","32,494","23,133","27,360","25,128","14,489","14,787","38,946","23,732","20,245"
2020년10월_계_연령구간인구수,"392,674","32,191","12,522","45,328","28,055","25,209","29,055","32,494","23,133","27,360","25,128","14,489","14,787","38,946","23,732","20,245"
2020년10월_계_0~9세,"24,974","1,967",356,"2,946","2,309","1,274","1,738","2,384",846,"1,794","2,153",764,"1,108","2,307","1,563","1,465"
2020년10월_계_10~19세,"28,125","2,017",599,"3,297","1,923","1,698","1,919","2,175",924,"1,662","1,656",743,"1,000","4,238","2,539","1,735"
2020년10월_계_20~29세,"66,725","5,675","2,190","9,895","4,352","4,227","4,638","5,177","5,218","3,739","3,406","2,531","2,243","6,518","3,392","3,524"
2020년10월_계_30~39세,"62,429","5,446","1,850","6,326","4,733","4,230","4,882","4,614","4,677","4,489","4,145","2,529","2,612","5,479","3,095","3,322"
2020년10월_계_40~49세,"59,214","4,334","1,560","6,577","4,346","3,740","4,409","4,931","2,959","4,098","3,857","2,086","2,352","6,657","4,075","3,233"
2020년10월_계_50~59세,"58,663","4,720","2,175","6,394","4,146","3,905","4,447","5,261","3,110","4,217","3,668","2,122","2,204","5,860","3,740","2,694"
2020년10월_계_60~69세,"48,956","4,218","1,982","5,246","3,270","3,164","3,736","3,991","3,042","3,867","3,426","1,987","1,797","4,144","2,919","2,167"
2020년10월_계_70~79세,"29,703","2,487","1,216","3,084","1,962","2,057","2,249","2,547","1,756","2,442","2,040","1,235","1,013","2,509","1,644","1,462"
2020년10월_계_80~89세,"11,764","1,126",505,"1,299",852,792,905,"1,161",529,887,661,418,378,"1,045",657,549
2020년10월_계_90~99세,"1,810",172,77,225,134,108,119,200,65,132,95,68,67,165,101,82
2020년10월_계_100세 이상,311,29,12,39,28,14,13,53,7,33,21,6,13,24,7,12
2020년10월_남_총인구수,"189,990","16,044","6,444","21,947","13,497","12,032","14,109","15,838","11,001","13,170","12,180","6,928","7,168","18,537","11,438","9,657"
2020년10월_남_연령구간인구수,"189,990","16,044","6,444","21,947","13,497","12,032","14,109","15,838","11,001","13,170","12,180","6,928","7,168","18,537","11,438","9,657"
2020년10월_남_0~9세,"12,730",996,187,"1,487","1,189",643,884,"1,225",426,920,"1,093",401,577,"1,164",789,749
2020년10월_남_10~19세,"14,480","1,045",308,"1,705",987,859,"1,036","1,122",487,928,892,385,510,"2,069","1,258",889
