,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년07월_계_총인구수,"62,632","19,595","9,542","14,137","5,595","9,783","3,980"
2020년07월_계_연령구간인구수,"62,632","19,595","9,542","14,137","5,595","9,783","3,980"
2020년07월_계_0~9세,"3,494","1,196",558,660,161,766,153
2020년07월_계_10~19세,"4,758","1,720",807,"1,015",345,655,216
2020년07월_계_20~29세,"6,223","2,223",855,"1,342",528,"1,022",253
2020년07월_계_30~39세,"5,864","1,959",812,"1,235",378,"1,191",289
2020년07월_계_40~49세,"8,007","2,675","1,136","1,977",571,"1,229",419
2020년07월_계_50~59세,"11,466","3,501","1,765","2,699","1,122","1,649",730
2020년07월_계_60~69세,"11,821","3,186","1,943","2,633","1,347","1,744",968
2020년07월_계_70~79세,"6,858","1,925",997,"1,658",721,983,574
2020년07월_계_80~89세,"3,578","1,054",561,794,371,474,324
2020년07월_계_90~99세,517,139,104,115,47,61,51
2020년07월_계_100세 이상,46,17,4,9,4,9,3
2020년07월_남_총인구수,"32,247","9,969","4,897","7,214","2,910","5,212","2,045"
2020년07월_남_연령구간인구수,"32,247","9,969","4,897","7,214","2,910","5,212","2,045"
2020년07월_남_0~9세,"1,728",603,253,335,84,385,68
2020년07월_남_10~19세,"2,519",939,408,539,174,343,116
2020년07월_남_20~29세,"3,557","1,209",476,753,335,640,144
2020년07월_남_30~39세,"3,169","1,040",452,659,204,656,158
2020년07월_남_40~49세,"4,298","1,421",595,"1,057",317,657,251
2020년07월_남_50~59세,"6,096","1,855",946,"1,429",585,881,400
2020년07월_남_60~69세,"6,105","1,605","1,008","1,325",702,970,495
2020년07월_남_70~79세,"3,239",858,509,771,358,466,277
2020년07월_남_80~89세,"1,379",391,224,312,139,193,120
2020년07월_남_90~99세,138,44,24,29,9,17,15
2020년07월_남_100세 이상,19,4,2,5,3,4,1
2020년07월_여_총인구수,"30,385","9,626","4,645","6,923","2,685","4,571","1,935"
2020년07월_여_연령구간인구수,"30,385","9,626","4,645","6,923","2,685","4,571","1,935"
2020년07월_여_0~9세,"1,766",593,305,325,77,381,85
2020년07월_여_10~19세,"2,239",781,399,476,171,312,100
2020년07월_여_20~29세,"2,666","1,014",379,589,193,382,109
2020년07월_여_30~39세,"2,695",919,360,576,174,535,131
2020년07월_여_40~49세,"3,709","1,254",541,920,254,572,168
2020년07월_여_50~59세,"5,370","1,646",819,"1,270",537,768,330
2020년07월_여_60~69세,"5,716","1,581",935,"1,308",645,774,473
2020년07월_여_70~79세,"3,619","1,067",488,887,363,517,297
2020년07월_여_80~89세,"2,199",663,337,482,232,281,204
2020년07월_여_90~99세,379,95,80,86,38,44,36
2020년07월_여_100세 이상,27,13,2,4,1,5,2
