,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년05월_계_총인구수,"206,547","29,444","12,429","10,077","10,624","16,209","20,971","7,294","16,354","16,437","16,768","14,313","35,627"
2021년05월_계_연령구간인구수,"206,547","29,444","12,429","10,077","10,624","16,209","20,971","7,294","16,354","16,437","16,768","14,313","35,627"
2021년05월_계_0~9세,"14,158","2,482","1,056",469,707,"1,204","1,968",217,691,748,"1,018","1,208","2,390"
2021년05월_계_10~19세,"16,310","3,552","1,562",687,970,"1,235","1,314",377,901,668,"1,007","1,132","2,905"
2021년05월_계_20~29세,"25,471","3,216","1,319","1,129","1,237","1,777","2,501",788,"2,315","3,414","1,814","1,550","4,411"
2021년05월_계_30~39세,"26,292","2,999","1,247","1,060","1,115","2,085","3,591",713,"1,944","3,067","2,260","1,848","4,363"
2021년05월_계_40~49세,"31,479","5,480","2,328","1,327","1,625","2,475","3,095",916,"2,210","2,307","2,229","2,212","5,275"
2021년05월_계_50~59세,"33,611","4,772","1,953","1,626","1,836","2,584","3,115","1,286","2,701","2,378","2,628","2,420","6,312"
2021년05월_계_60~69세,"32,921","3,672","1,660","1,833","1,789","2,805","2,910","1,570","3,168","2,150","3,053","2,314","5,997"
2021년05월_계_70~79세,"18,252","2,266",906,"1,255",909,"1,463","1,694","1,019","1,712","1,219","1,880","1,190","2,739"
2021년05월_계_80~89세,"7,179",897,364,617,381,531,676,371,633,456,795,384,"1,074"
2021년05월_계_90~99세,835,103,33,74,54,47,99,36,78,28,82,47,154
2021년05월_계_100세 이상,39,5,1,0,1,3,8,1,1,2,2,8,7
2021년05월_남_총인구수,"99,464","14,233","5,946","4,763","5,229","7,929","10,067","3,481","7,835","7,836","8,110","6,986","17,049"
2021년05월_남_연령구간인구수,"99,464","14,233","5,946","4,763","5,229","7,929","10,067","3,481","7,835","7,836","8,110","6,986","17,049"
2021년05월_남_0~9세,"7,150","1,292",493,250,361,622,990,113,325,374,513,624,"1,193"
2021년05월_남_10~19세,"8,399","1,865",758,365,522,667,643,186,458,354,525,578,"1,478"
2021년05월_남_20~29세,"12,948","1,698",688,540,683,955,"1,270",410,"1,093","1,438",992,823,"2,358"
2021년05월_남_30~39세,"13,177","1,409",602,533,603,"1,068","1,752",393,"1,003","1,543","1,173",905,"2,193"
2021년05월_남_40~49세,"15,418","2,539","1,091",674,768,"1,215","1,539",456,"1,126","1,194","1,181","1,118","2,517"
2021년05월_남_50~59세,"15,926","2,348",962,767,873,"1,195","1,470",607,"1,314","1,162","1,251","1,163","2,814"
2021년05월_남_60~69세,"15,125","1,673",792,822,846,"1,295","1,317",718,"1,438","1,014","1,337","1,077","2,796"
2021년05월_남_70~79세,"8,328",991,415,554,423,682,802,450,800,554,822,555,"1,280"
2021년05월_남_80~89세,"2,793",391,138,233,141,214,258,139,254,199,298,134,394
2021년05월_남_90~99세,189,26,6,25,8,15,23,9,23,4,18,7,25
2021년05월_남_100세 이상,11,1,1,0,1,1,3,0,1,0,0,2,1
2021년05월_여_총인구수,"107,083","15,211","6,483","5,314","5,395","8,280","10,904","3,813","8,519","8,601","8,658","7,327","18,578"
2021년05월_여_연령구간인구수,"107,083","15,211","6,483","5,314","5,395","8,280","10,904","3,813","8,519","8,601","8,658","7,327","18,578"
2021년05월_여_0~9세,"7,008","1,190",563,219,346,582,978,104,366,374,505,584,"1,197"
2021년05월_여_10~19세,"7,911","1,687",804,322,448,568,671,191,443,314,482,554,"1,427"
2021년05월_여_20~29세,"12,523","1,518",631,589,554,822,"1,231",378,"1,222","1,976",822,727,"2,053"
2021년05월_여_30~39세,"13,115","1,590",645,527,512,"1,017","1,839",320,941,"1,524","1,087",943,"2,170"
2021년05월_여_40~49세,"16,061","2,941","1,237",653,857,"1,260","1,556",460,"1,084","1,113","1,048","1,094","2,758"
2021년05월_여_50~59세,"17,685","2,424",991,859,963,"1,389","1,645",679,"1,387","1,216","1,377","1,257","3,498"
2021년05월_여_60~69세,"17,796","1,999",868,"1,011",943,"1,510","1,593",852,"1,730","1,136","1,716","1,237","3,201"
2021년05월_여_70~79세,"9,924","1,275",491,701,486,781,892,569,912,665,"1,058",635,"1,459"
2021년05월_여_80~89세,"4,386",506,226,384,240,317,418,232,379,257,497,250,680
2021년05월_여_90~99세,646,77,27,49,46,32,76,27,55,24,64,40,129
2021년05월_여_100세 이상,28,4,0,0,0,2,5,1,0,2,2,6,6
