,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년11월_계_총인구수,"192,461","30,739","37,422","23,315","16,326","21,822","15,582","25,219","22,036"
2021년11월_계_연령구간인구수,"192,461","30,739","37,422","23,315","16,326","21,822","15,582","25,219","22,036"
2021년11월_계_0~9세,"14,094","4,324","2,517","1,651",683,"1,471",739,"1,232","1,477"
2021년11월_계_10~19세,"17,346","2,387","3,744","2,317","1,049","2,599","1,074","1,982","2,194"
2021년11월_계_20~29세,"26,044","3,100","5,417","3,332","2,150","2,967","2,318","3,669","3,091"
2021년11월_계_30~39세,"25,203","5,363","4,524","3,007","2,044","2,447","1,972","3,064","2,782"
2021년11월_계_40~49세,"31,472","6,043","5,957","3,863","2,410","3,653","2,223","3,524","3,799"
2021년11월_계_50~59세,"34,848","4,109","7,233","4,250","3,187","3,914","3,113","4,972","4,070"
2021년11월_계_60~69세,"26,020","3,475","4,728","2,861","2,773","2,900","2,538","4,089","2,656"
2021년11월_계_70~79세,"11,548","1,452","2,084","1,354","1,298","1,223","1,093","1,778","1,266"
2021년11월_계_80~89세,"5,165",419,"1,051",614,624,576,455,808,618
2021년11월_계_90~99세,671,65,161,65,80,68,56,96,80
2021년11월_계_100세 이상,50,2,6,1,28,4,1,5,3
2021년11월_남_총인구수,"95,429","15,225","18,409","11,392","8,371","10,583","7,799","12,532","11,118"
2021년11월_남_연령구간인구수,"95,429","15,225","18,409","11,392","8,371","10,583","7,799","12,532","11,118"
2021년11월_남_0~9세,"7,262","2,236","1,308",835,353,742,403,622,763
2021년11월_남_10~19세,"8,901","1,175","1,983","1,193",505,"1,306",567,"1,040","1,132"
2021년11월_남_20~29세,"13,393","1,562","2,782","1,674","1,138","1,541","1,147","1,918","1,631"
2021년11월_남_30~39세,"12,710","2,521","2,310","1,500","1,115","1,199","1,083","1,565","1,417"
2021년11월_남_40~49세,"15,752","3,220","2,828","1,844","1,312","1,695","1,134","1,840","1,879"
2021년11월_남_50~59세,"17,107","1,987","3,435","2,095","1,647","1,869","1,519","2,454","2,101"
2021년11월_남_60~69세,"12,967","1,656","2,404","1,386","1,424","1,413","1,289","2,025","1,370"
2021년11월_남_70~79세,"5,199",710,908,612,606,567,481,754,561
2021년11월_남_80~89세,"1,938",143,399,229,237,232,160,295,243
2021년11월_남_90~99세,180,15,50,23,22,18,15,17,20
2021년11월_남_100세 이상,20,0,2,1,12,1,1,2,1
2021년11월_여_총인구수,"97,032","15,514","19,013","11,923","7,955","11,239","7,783","12,687","10,918"
2021년11월_여_연령구간인구수,"97,032","15,514","19,013","11,923","7,955","11,239","7,783","12,687","10,918"
2021년11월_여_0~9세,"6,832","2,088","1,209",816,330,729,336,610,714
2021년11월_여_10~19세,"8,445","1,212","1,761","1,124",544,"1,293",507,942,"1,062"
2021년11월_여_20~29세,"12,651","1,538","2,635","1,658","1,012","1,426","1,171","1,751","1,460"
2021년11월_여_30~39세,"12,493","2,842","2,214","1,507",929,"1,248",889,"1,499","1,365"
2021년11월_여_40~49세,"15,720","2,823","3,129","2,019","1,098","1,958","1,089","1,684","1,920"
2021년11월_여_50~59세,"17,741","2,122","3,798","2,155","1,540","2,045","1,594","2,518","1,969"
2021년11월_여_60~69세,"13,053","1,819","2,324","1,475","1,349","1,487","1,249","2,064","1,286"
2021년11월_여_70~79세,"6,349",742,"1,176",742,692,656,612,"1,024",705
2021년11월_여_80~89세,"3,227",276,652,385,387,344,295,513,375
2021년11월_여_90~99세,491,50,111,42,58,50,41,79,60
2021년11월_여_100세 이상,30,2,4,0,16,3,0,3,2
